N	4gram	Kanaev_Sov	Dialekti
1	не что иное как	1	18
2	в то же время	1	14
3	есть не что иное	1	11
4	одна и та же	1	8
5	и в то же	1	6
6	одной и той же	1	5
7	с одной стороны и	1	4
8	мы уже знаем что	1	2
9	дело в том что	1	2
10	но все же это	1	2
11	это значит что она	1	2
12	но тем не менее	1	1
13	общего не имеет с	1	1
14	ни то ни другое	1	1
15	и до сих пор	1	1
16	и есть не что	1	1
17	все более и более	1	1
18	в такой же мере	1	1
19	бы то ни было	1	1
20	ничего общего не имеет	1	1
21	все же это не	1	1
22	но мы уже знаем	1	1
23	той или иной науки	1	1
24	что же это за	2	1
