N	4gram	Bakhtin_Pr	Literetu
1	в то же время	8	21
2	состоит в том что	1	8
3	в том числе и	13	3
4	дело в том что	2	2
5	одно и то же	1	2
6	во всей своей полноте	1	1
7	не что иное как	1	1
8	к себе самому и	1	1
9	героя никогда не бывает	1	1
10	в стихах и прозе	1	1
11	но в большинстве случаев	1	1
12	все более и более	1	1
13	и не может быть	5	1
14	нет и не может	3	1
15	и в то же	3	1
16	но дело в том	1	1
17	в одном из своих	1	1
18	собственного сознания а в	1	1
19	отношение к себе самому	3	1
20	в той или иной	1	1
21	но в то же	3	1
22	одним и тем же	1	1
23	мы имеем дело с	1	1
24	прежде всего в ее	1	1
