N	3gram	Losev_Dial	UchenyiS
1	не может быть	4	4
2	с другой стороны	7	3
3	в то же	7	3
4	то же время	8	3
5	и то что	1	2
6	в том что	12	2
7	в самом деле	3	2
8	не могут быть	1	2
9	до сих пор	4	2
10	тех или иных	1	2
11	и в частности	4	2
12	а между тем	1	2
13	в конце концов	4	2
14	то же самое	3	2
15	в этом отношении	2	2
16	но даже и	1	2
17	по крайней мере	11	2
18	в этом смысле	4	2
19	еще ничего не	1	2
20	говорить не о	1	1
21	в первую очередь	1	1
22	никогда и не	1	1
23	друг с другом	2	1
24	а это уже	1	1
25	сам по себе	8	1
26	для него она	1	1
27	так или иначе	3	1
28	на своем месте	1	1
29	но что такое	3	1
30	другой стороны в	1	1
31	должно быть по	1	1
32	на первый взгляд	2	1
33	в широком смысле	2	1
34	которые могли бы	1	1
35	конце концов не	1	1
36	прежде всего что	1	1
37	но в то	1	1
38	может быть в	2	1
39	никогда не может	2	1
40	между тем в	1	1
41	или по крайней	2	1
42	бы это было	1	1
43	большей или меньшей	1	1
44	превратилось бы в	1	1
45	с одной стороны	3	1
46	если бы это	1	1
47	в ней не	1	1
48	и с другой	2	1
49	можно сказать что	6	1
50	равно как и	1	1
51	это не только	1	1
52	не было бы	2	1
53	все что угодно	1	1
54	не в том	2	1
55	и не только	4	1
56	а не только	1	1
57	на то что	4	1
58	было бы равносильно	1	1
59	не только в	2	1
60	более или менее	5	1
61	и в то	3	1
62	но это не	2	1
63	в данном случае	1	1
64	само по себе	7	1
65	в отдельности и	1	1
66	том что она	1	1
67	все же не	1	1
68	это было бы	1	1
