N	2gram	Bakhtin_fo	Literetu
1	а не	7	50
2	и не	19	47
3	не только	16	46
4	и в	84	44
5	может быть	18	43
6	при этом	8	41
7	но и	14	41
8	в том	16	39
9	в этом	41	38
10	своего рода	1	37
11	том что	7	32
12	в частности	11	30
13	то что	13	29
14	в мире	4	28
15	в качестве	6	27
16	то же	18	26
17	как и	15	23
18	в то	13	23
19	себя в	2	22
20	не в	10	22
21	того что	5	22
22	так и	17	22
23	не может	8	22
24	я и	1	21
25	же время	13	21
26	и т.п	6	20
27	в себе	7	20
28	прежде всего	28	19
29	как бы	11	18
30	с другой	4	17
31	точки зрения	14	17
32	то есть	42	17
33	в его	19	17
34	в жизни	6	16
35	в этой	3	16
36	я не	1	15
37	только в	12	15
38	в целом	2	15
39	и даже	5	14
40	по отношению	3	14
41	однако в	1	14
42	что он	2	14
43	уже не	5	13
44	в своем	8	13
45	с одной	5	13
46	как это	2	13
47	но не	9	13
48	и его	26	13
49	в своей	2	12
50	о том	4	12
51	в данном	4	12
52	одной стороны	3	12
53	пути в	1	12
54	к себе	8	12
55	одним из	1	12
56	художественного мышления	1	12
57	еще не	8	12
58	отношению к	5	12
59	а также	5	12
60	не столько	2	11
61	в другом	2	11
62	никогда не	8	11
63	и сам	2	11
64	еще в	1	11
65	вместе с	9	11
66	как в	10	11
67	в основе	9	11
68	в отличие	3	11
69	с его	10	11
70	данном случае	2	11
71	это не	8	11
72	отличие от	3	11
73	а в	6	11
74	из них	8	10
75	в ее	6	10
76	что в	9	10
77	и на	13	10
78	для себя	8	10
79	жизни в	11	10
80	потому что	11	10
81	другого в	1	10
82	этом отношении	5	10
83	жизни и	12	10
84	отнюдь не	7	10
85	в области	1	10
86	с этой	3	9
87	мыслится как	2	9
88	к тому	6	9
89	связи с	14	9
90	один из	5	9
91	в поэзии	2	9
92	одно из	3	9
93	в начале	3	9
94	и т.д	2	9
95	лишь в	8	9
96	же в	6	9
97	в своих	1	8
98	тем что	4	8
99	все же	12	8
100	одна из	3	8
101	того же	9	8
102	с точки	9	8
103	как раз	13	8
104	на себя	2	8
105	что не	3	8
106	в конце	11	8
107	особого рода	1	8
108	слова и	4	8
109	соответствии с	2	8
110	той же	2	8
111	но в	16	8
112	уже в	5	8
113	для него	5	8
114	по существу	17	8
115	и как	12	8
116	и я	1	8
117	в искусстве	1	8
118	вплоть до	3	8
119	мира в	6	8
120	в самом	9	7
121	в одном	10	7
122	другой стороны	1	7
123	для всех	3	7
124	именно в	5	7
125	на фоне	3	7
126	по преимуществу	4	7
127	не как	2	7
128	тому же	2	7
129	в случае	1	7
130	он не	6	7
131	и тем	1	7
132	и с	10	7
133	в нем	28	7
134	из того	1	7
135	по своей	1	7
136	наконец в	2	7
137	до конца	5	7
138	друг друга	3	7
139	и для	12	7
140	перестает быть	1	7
141	он и	1	7
142	у нас	2	7
143	в их	9	7
144	так в	2	7
145	человека в	22	7
146	и других	5	7
147	это как	1	7
148	и жизни	1	7
149	а затем	3	6
150	в виду	5	6
151	например в	7	6
152	культуры в	1	6
153	при всей	1	6
154	как на	2	6
155	и он	3	6
156	у него	8	6
157	его в	8	6
158	не было	8	6
159	во всех	13	6
160	в каждом	2	6
161	было бы	2	6
162	с ее	7	6
163	но одновременно	1	6
164	то в	2	6
165	разумеется не	1	6
166	самом деле	2	6
167	самим собой	2	6
168	как о	1	6
169	еще и	3	6
170	то и	1	6
171	тем же	3	6
172	и др	13	6
173	и то	5	6
174	что ему	1	6
175	том числе	7	6
176	в ней	4	6
177	далеко не	3	6
178	при всем	1	6
179	и только	3	6
180	и наконец	6	6
181	и к	4	5
182	самого себя	1	5
183	к этой	1	5
184	тех кто	1	5
185	в связи	13	5
186	с собой	2	5
187	в соответствии	2	5
188	хотя бы	2	5
189	жизни как	2	5
190	в нашем	3	5
191	как я	1	5
192	он сам	2	5
193	всего в	4	5
194	должно быть	6	5
195	несмотря на	1	5
196	и за	1	5
197	к жизни	2	5
198	не знает	4	5
199	по аналогии	2	5
200	одном из	1	5
201	в себя	3	5
202	этой точки	1	5
203	между тем	1	5
204	так что	4	5
205	все более	2	5
206	в чужом	1	5
207	во втором	2	5
208	в сущности	5	5
209	в романе	40	5
210	в словах	1	5
211	себя и	6	5
212	идет о	2	5
213	автора и	4	5
214	так как	12	5
215	мир в	6	5
216	мы не	4	5
217	в литературе	17	5
218	как у	2	5
219	что и	5	5
220	но уже	1	5
221	однако не	2	5
222	как он	4	5
223	место в	4	5
224	или иной	4	5
225	не к	2	5
226	более того	4	5
227	что было	6	4
228	более не	1	4
229	исходя из	1	4
230	не бывает	1	4
231	и само	1	4
232	в них	11	4
233	героя как	1	4
234	с тем	5	4
235	только для	2	4
236	жизни на	2	4
237	жизни к	1	4
238	и нет	2	4
239	во всяком	5	4
240	входит в	3	4
241	для того	12	4
242	только на	3	4
243	не вполне	1	4
244	как мы	19	4
245	в индивидуальном	1	4
246	него не	1	4
247	во всей	3	4
248	к этому	5	4
249	хотя и	5	4
250	для своего	2	4
251	себе и	4	4
252	нового человека	1	4
253	здесь как	3	4
254	могли бы	1	4
255	на этом	2	4
256	ту же	4	4
257	и что	1	4
258	за пределы	1	4
259	но без	1	4
260	к своему	2	4
261	могут быть	7	4
262	и есть	3	4
263	можно сказать	2	4
264	самим собою	5	4
265	жизни а	1	4
266	о которой	1	4
267	сводится к	1	4
268	со всеми	4	4
269	и все	10	4
270	в пределах	8	4
271	отношения к	7	4
272	приводит к	1	4
273	бы не	1	4
274	аналогии с	1	4
275	все они	4	4
276	нет ничего	4	4
277	художественного мира	1	4
278	ни к	3	4
279	совершенно не	3	4
280	то он	1	4
281	не является	4	4
282	тех же	2	4
283	и выше	1	4
284	в свою	2	4
285	на том	1	4
286	каждый из	2	4
287	одной из	3	4
288	жизнь как	1	4
289	но это	1	4
290	таким образом	14	4
291	жизни не	3	4
292	в формах	1	4
293	и вот	2	4
294	для нас	2	4
295	он один	1	4
296	и прежде	4	4
297	на его	1	4
298	в каждой	1	4
299	вовсе не	20	4
300	жизненный путь	8	4
301	не оставляет	6	4
302	такой же	1	4
303	на то	1	4
304	себе самому	7	4
305	нуждается в	1	4
306	из ведущих	1	4
307	все что	2	3
308	мы и	4	3
309	же и	2	3
310	о чем	4	3
311	всем и	1	3
312	в этих	6	3
313	по себе	3	3
314	от всего	1	3
315	нет в	2	3
316	мира и	6	3
317	как ранее	1	3
318	и того	7	3
319	со своей	3	3
320	вопрос о	2	3
321	он был	2	3
322	времени в	14	3
323	особое место	2	3
324	жизни по	2	3
325	так же	7	3
326	себе в	1	3
327	свою очередь	1	3
328	и еще	3	3
329	не становится	1	3
330	по которым	1	3
331	следующим образом	1	3
332	а так	1	3
333	с ним	5	3
334	жизни с	2	3
335	говорить о	1	3
336	она и	1	3
337	этой же	1	3
338	а за	1	3
339	и перед	1	3
340	герой в	2	3
341	во главе	1	3
342	в чем	3	3
343	той или	3	3
344	я был	3	3
345	но как	1	3
346	для его	1	3
347	героя и	7	3
348	решающее значение	1	3
349	же как	2	3
350	никого не	1	3
351	и является	2	3
352	же это	1	3
353	в историческом	2	3
354	в иных	1	3
355	т п	18	3
356	и от	3	3
357	там где	4	3
358	в особенности	15	3
359	сказано в	1	3
360	если в	1	3
361	во время	7	3
362	должна быть	1	3
363	был бы	3	3
364	это уже	1	3
365	из которых	1	3
366	мы в	1	3
367	в отношении	5	3
368	себе не	1	3
369	не на	4	3
370	если не	3	3
371	ориентировано на	1	3
372	если бы	6	3
373	с ней	1	3
374	так называемый	2	3
375	где в	1	3
376	например и	1	3
377	xx века	1	3
378	и т	21	3
379	они не	4	3
380	не имеет	5	3
381	да и	4	3
382	вследствие этого	4	3
383	я тебя	1	3
384	своей жизни	6	3
385	бы и	1	3
386	такую же	1	3
387	по земле	1	3
388	того чтобы	11	3
389	и тогда	1	3
390	и уже	4	3
391	в образах	1	3
392	не могло	5	3
393	и до	7	3
394	в истории	6	3
395	еще один	1	3
396	в этот	5	3
397	под знаком	3	3
398	том же	4	3
399	здесь не	5	3
400	всяком случае	1	3
401	тот же	4	3
402	ничего не	9	3
403	ни с	3	3
404	с чем	2	3
405	ее в	2	3
406	в полном	2	3
407	на самом	1	3
408	с их	2	3
409	все равно	1	3
410	а на	1	3
411	этого рода	1	3
412	дело в	3	3
413	в ту	1	3
414	все эти	12	3
415	но по	2	3
416	имеется в	1	3
417	путь к	1	3
418	и потому	4	3
419	на один	2	3
420	как уже	3	3
421	также и	6	3
422	одну из	2	3
423	не по	1	3
424	бытия в	1	3
425	когда он	1	3
426	высшая форма	1	3
427	в пути	1	3
428	стороны и	2	3
429	поэтому для	1	3
430	числе и	4	3
431	же самое	2	3
432	отношение к	5	3
433	и о	1	3
434	за счет	2	3
435	есть не	4	3
436	в той	5	2
437	во всем	3	2
438	от него	1	2
439	в центре	2	2
440	историческом развитии	1	2
441	самого человека	3	2
442	всей жизни	2	2
443	на второй	1	2
444	тем как	1	2
445	время не	2	2
446	например с	1	2
447	литературной и	1	2
448	в результате	6	2
449	дело разумеется	1	2
450	их не	2	2
451	чтобы в	1	2
452	в борьбе	2	2
453	начинается и	1	2
454	у людей	1	2
455	оставляет места	1	2
456	начинается с	2	2
457	что по	1	2
458	роль в	12	2
459	в это	5	2
460	мир и	2	2
461	в форму	1	2
462	в самый	1	2
463	искусство и	1	2
464	на первый	2	2
465	определяется не	2	2
466	себя во	1	2
467	мире не	1	2
468	в котором	8	2
469	раз и	3	2
470	человека не	1	2
471	два момента	1	2
472	события как	1	2
473	с другим	1	2
474	к своей	2	2
475	между двумя	6	2
476	одновременно он	1	2
477	приходит к	1	2
478	здесь это	3	2
479	значительной степени	1	2
480	уже и	1	2
