N	3gram	Losev_Vlad	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	1	7
3	во всяком случае	8	6
4	по крайней мере	1	5
5	а с другой	1	5
6	для того чтобы	3	5
7	в том числе	1	5
8	более или менее	5	5
9	и вместе с	1	4
10	но все же	1	4
11	о том что	9	4
12	к тому же	3	4
13	в том что	13	3
14	в конце концов	6	3
15	главным образом в	2	3
16	в связи с	7	3
17	точно так же	2	3
18	тем не менее	8	3
19	так или иначе	3	3
20	ничего общего с	1	2
21	и потому что	3	2
22	в значительной мере	1	2
23	с тем и	1	2
24	то что он	6	2
25	на то что	6	2
26	но вместе с	1	2
27	то ни было	1	2
28	можно сказать что	3	2
29	бы то ни	2	2
30	в этом отношении	2	2
31	то же время	7	2
32	в том виде	1	2
33	в то же	7	2
34	том виде в	1	2
35	но и для	1	2
36	но все это	1	2
37	и в этом	1	2
38	может быть и	1	2
39	так и в	1	1
40	у него в	2	1
41	но в общем	2	1
42	с представлением о	1	1
43	а после смерти	1	1
44	притом не только	1	1
45	ярко свидетельствует о	2	1
46	потому что в	2	1
47	в этот период	1	1
48	не потому что	1	1
49	том как бы	1	1
50	сказать что в	1	1
51	в свою очередь	2	1
52	и тот же	2	1
53	и иной раз	1	1
54	свою очередь с	1	1
55	в настоящее время	2	1
56	не только не	1	1
57	чуть ли не	1	1
58	смысле этого слова	1	1
59	но в то	2	1
60	о его существовании	1	1
61	в то что	1	1
62	к чему не	1	1
63	в этой области	1	1
64	до известной степени	1	1
65	и только в	1	1
66	не может быть	4	1
67	и прежде чем	1	1
68	и в то	3	1
69	после смерти этого	1	1
70	и все же	2	1
71	он в конце	1	1
72	в разные стороны	1	1
73	людей но и	1	1
74	смерти этого последнего	1	1
75	и никогда не	1	1
76	смысле так и	1	1
77	а в том	3	1
78	виде в каком	1	1
79	после того как	2	1
80	до настоящего времени	1	1
81	не имеет никакого	2	1
82	из них не	2	1
83	больше чем с	1	1
84	в себе не	1	1
85	и к концу	1	1
86	что в этом	1	1
87	что касается до	1	1
88	один и тот	2	1
89	не может не	1	1
90	с тем что	1	1
91	что начиная с	1	1
92	том что духовная	1	1
93	и по своим	2	1
94	на этот раз	7	1
95	в самом деле	1	1
96	в котором он	1	1
97	что даже в	1	1
98	указывает на то	1	1
99	а следовательно и	1	1
100	несмотря на все	1	1
101	только то что	1	1
102	лицом к лицу	1	1
103	и что она	1	1
104	крайней мере до	1	1
105	с другой стороны	3	1
106	и если некоторые	1	1
107	но тем не	1	1
108	все это было	2	1
109	не в том	3	1
110	ни к чему	1	1
111	свидетельствует о том	1	1
112	в то время	6	1
113	это и есть	1	1
114	что и в	2	1
115	не только как	1	1
116	ввиду того что	2	1
117	его жизнь в	1	1
118	еще и потому	2	1
119	ему в этом	1	1
