N	2gram	Propp_Isto	Psycholo
1	то что	20	193
2	и в	43	190
3	в том	13	163
4	что в	29	123
5	потому что	8	114
6	том что	12	113
7	и что	6	108
8	может быть	22	107
9	таким образом	15	102
10	в этом	25	100
11	все время	2	86
12	в самом	1	82
13	как бы	5	80
14	что он	17	76
15	не только	28	75
16	на то	4	73
17	и не	16	73
18	что она	8	71
19	самом деле	1	70
20	точки зрения	3	69
21	и т	33	69
22	не может	8	68
23	так же	16	63
24	так как	13	63
25	было бы	5	56
26	если бы	7	55
27	то же	11	54
28	о том	4	54
29	совершенно ясно	2	54
30	при этом	4	52
31	как и	9	51
32	что и	17	50
33	а не	13	50
34	что это	4	49
35	сказать что	5	46
36	по себе	3	46
37	только в	8	46
38	заключается в	1	46
39	говорит что	4	45
40	к тому	9	45
41	не в	9	45
42	ясно что	2	43
43	в этой	7	43
44	показать что	1	43
45	никогда не	9	42
46	и все	4	42
47	вместе с	12	41
48	как это	5	40
49	но и	24	40
50	как раз	1	39
51	при помощи	11	39
52	того что	8	39
53	же самое	1	38
54	и это	5	37
55	мы видим	15	37
56	и как	6	36
57	с тем	3	35
58	вовсе не	3	34
59	как на	1	34
60	и если	3	34
61	и его	10	34
62	тому что	1	33
63	все же	13	33
64	когда он	2	33
65	в себе	2	32
66	все это	4	32
67	он не	11	31
68	мы не	3	31
69	в его	7	31
70	для нас	6	31
71	в ней	3	31
72	мы увидим	6	30
73	как будто	2	30
74	никак не	1	30
75	как в	6	30
76	с одной	2	29
77	и для	3	29
78	одной стороны	2	29
79	с точки	1	29
80	в нем	11	29
81	увидим что	2	28
82	что они	14	28
83	мы можем	10	28
84	и то	4	28
85	что мы	5	28
86	в своих	1	27
87	и на	7	27
88	а в	13	27
89	с другой	10	27
90	так что	8	26
91	совершенно не	2	26
92	только что	3	25
93	и здесь	8	25
94	жизни и	2	25
95	до сих	7	24
96	тем что	8	24
97	указывает на	6	24
98	и совершенно	1	24
99	в целом	4	24
100	в своем	2	23
101	сих пор	7	23
102	из этого	1	23
103	один из	7	23
104	целый ряд	3	23
105	когда говорит	1	23
106	для этого	1	23
107	могут быть	9	23
108	казалось бы	2	22
109	с этим	13	22
110	из них	7	22
111	что у	4	22
112	между тем	2	22
113	и даже	4	22
114	когда мы	1	22
115	т д	30	22
116	как она	2	22
117	в котором	5	21
118	том чтобы	1	21
119	в которых	7	21
120	той же	3	21
121	в своей	4	21
122	ни в	2	21
123	что эта	2	21
124	как мы	11	21
125	и вот	3	21
126	и только	6	21
127	другой стороны	10	20
128	в то	2	20
129	тот же	2	20
130	мы имеем	24	20
131	она не	4	20
132	дело с	2	20
133	несмотря на	1	20
134	на этом	5	20
135	там где	8	20
136	это не	10	20
137	все эти	8	20
138	в одном	9	19
139	что при	3	19
140	мы уже	9	19
141	мы должны	9	19
142	в ее	1	19
143	у него	4	19
144	он говорит	1	19
145	с этой	3	18
146	в которой	1	18
147	можно было	3	18
148	но в	15	18
149	зависимости от	1	18
150	в каком	1	18
151	на самом	2	18
152	но не	10	18
153	и есть	3	18
154	был бы	1	18
155	перед нами	4	18
156	видим что	7	18
157	есть не	2	18
158	в виду	2	17
159	во всяком	2	17
160	полагает что	1	17
161	время как	2	17
162	из этих	5	17
163	но это	5	17
164	одна из	2	17
165	только не	2	17
166	у нас	7	17
