N	4gram	Bakhtin_Fr	Problemy
1	в то же время	14	26
2	но в то же	6	11
3	и в то же	3	7
4	бы он ни был	1	5
5	но на самом деле	1	5
6	в той или иной	1	5
7	мы уже говорили что	1	4
8	как мы уже говорили	3	3
9	большей или меньшей степени	1	3
10	одно и то же	1	3
11	в большей или меньшей	1	3
12	одна и та же	1	2
13	той или иной форме	1	2
14	мы можем сказать что	1	2
15	дело в том что	4	2
16	с начала и до	1	2
17	ни в чем не	1	2
18	они уже не могут	1	2
19	начала и до конца	1	2
20	то же время он	1	1
21	на самом же деле	4	1
22	до сих пор еще	2	1
23	с одной стороны и	1	1
24	в огромном большинстве случаев	1	1
25	точку зрения на мир	2	1
26	своего становления и роста	1	1
27	и то же слово	1	1
28	еще одна очень существенная	1	1
29	в первой части нашей	1	1
30	есть еще одна очень	1	1
31	в своем художественном творчестве	1	1
32	и не может быть	1	1
33	с другой стороны эта	1	1
34	своем художественном творчестве не	1	1
35	не может быть и	1	1
36	недопустимо сводить к нему	1	1
37	одного и того же	1	1
38	в том что это	1	1
39	и воспринимать ее как	1	1
40	один и тот же	1	1
41	можно прямо сказать что	1	1
42	в том числе и	3	1
43	как бы он ни	1	1
44	зрения на мир и	1	1
45	в сущности лишь в	1	1
46	в самом деле в	1	1
47	с точки зрения этого	1	1
48	хотя он и не	1	1
49	то же время и	1	1
50	может быть и речи	1	1
51	в каждом из этих	1	1
52	так же как и	2	1
53	каждом из этих трех	1	1
54	в сущности одна и	1	1
55	до сих пор не	1	1
56	в этом отношении очень	1	1
57	сущности одна и та	1	1
