N	2gram	Medvedev_B	RusskieA
1	и в	1	79
2	что в	1	57
3	не только	1	41
4	и на	1	28
5	все это	2	18
6	таким образом	1	17
7	об этом	1	17
8	будто бы	1	15
9	и не	2	14
10	у нас	3	14
11	еще не	1	13
12	далеко не	1	11
13	все же	1	10
14	так и	1	10
15	в данном	1	8
16	не все	1	8
17	было бы	1	7
18	а не	1	7
19	до конца	1	7
20	как будто	1	7
21	и более	1	6
22	и о	1	6
23	вопрос о	1	5
24	с другой	1	5
25	не было	1	5
26	можно было	2	5
27	прежде всего	1	5
28	на самом	1	5
29	и потому	1	5
30	отнюдь не	1	5
31	кроме того	1	4
32	во всяком	1	4
33	нет но	1	4
34	всяком случае	1	4
35	в ней	2	4
36	к ней	1	4
37	и ее	1	4
38	на которой	1	3
39	что все	1	3
40	в области	1	3
41	также что	1	3
42	в своей	1	3
43	и во	1	3
44	же не	1	3
45	своей книге	1	3
46	другой стороны	1	2
47	говорить о	1	2
48	о них	1	2
49	между ними	1	2
50	также не	1	2
51	остановиться на	1	2
52	из своей	1	2
53	совершенно не	1	2
54	тем более	1	2
55	более подробно	1	2
56	в пределах	1	2
57	значение слова	1	2
58	значительной степени	1	1
59	не вполне	1	1
60	нас еще	1	1
61	для которой	1	1
62	не о	1	1
63	и классификация	1	1
64	представляется нам	1	1
65	по меньшей	1	1
66	заставляет думать	1	1
67	должна быть	1	1
68	еще лучше	1	1
69	никак не	1	1
70	изучение и	1	1
71	меньшей мере	1	1
72	в значительной	1	1
73	одной из	1	1
74	то как	1	1
75	можно в	1	1
76	видеть в	2	1
77	более что	1	1
78	по теории	1	1
79	не следует	1	1
80	говорить об	1	1
