N	2gram	Nazirov_Tv	VelikijI
1	во имя	3	32
2	и не	12	20
3	и в	40	16
4	свободы и	2	12
5	так как	6	9
6	то что	9	9
7	в истории	2	8
8	от бога	1	8
9	к богу	1	8
10	еще не	5	8
11	и потому	4	7
12	что они	3	7
13	а не	9	7
14	на земле	4	7
15	к людям	1	6
16	человека и	6	6
17	не есть	2	6
18	хотя и	5	5
19	того что	3	5
20	все это	14	5
21	как бы	26	5
22	бога и	3	5
23	на себя	2	5
24	великом инквизиторе	3	5
25	в мире	8	5
26	но и	10	5
27	к небытию	1	4
28	в котором	8	4
29	в этом	11	4
30	потому что	10	4
31	в его	19	4
32	в ней	2	4
33	добра и	3	4
34	так и	5	4
35	это еще	2	4
36	говорить о	1	4
37	и есть	2	4
38	мира сего	1	4
39	и все	6	4
40	что не	5	4
41	в образе	4	4
42	что все	4	4
43	как и	16	4
44	что он	11	4
45	в силах	1	4
46	и я	2	4
47	в нем	4	4
48	о великом	3	4
49	во всех	2	3
50	что в	17	3
51	нет ничего	1	3
52	бы и	1	3
53	и против	2	3
54	и мы	1	3
55	то это	2	3
56	в конце	5	3
57	должно быть	1	3
58	этого мира	1	3
59	нас и	1	3
60	в первый	1	3
61	если не	4	3
62	хотя бы	5	3
63	в том	13	3
64	первый раз	1	3
65	тому что	2	3
66	личности и	2	3
67	от которого	1	3
68	не в	3	3
69	и что	2	3
70	что и	3	3
71	свободы от	1	3
72	ни в	2	3
73	всемирной истории	2	3
74	превращается в	2	3
75	в этих	2	3
76	в них	1	3
77	оно не	1	3
78	не было	3	3
79	лишь в	1	3
80	к чему	1	3
81	что ты	2	3
82	в средство	1	3
83	не верит	1	3
84	и будет	2	3
85	в жизни	3	3
86	что я	4	3
87	по этому	1	3
88	их в	1	3
89	в своей	8	3
90	всех людей	1	3
91	с его	12	3
92	не имеет	2	3
93	восстает против	1	3
94	но это	10	3
95	жизни и	3	3
96	в чем	4	3
97	все эти	3	3
98	тот же	3	3
99	но в	11	3
100	к тому	2	3
101	за то	2	3
102	никогда не	13	3
103	людей в	2	3
104	все тот	1	2
105	человечества на	1	2
106	государства и	1	2
107	во всяком	2	2
108	от него	2	2
109	нас за	1	2
110	его и	2	2
111	уже на	1	2
112	ее и	2	2
113	а к	1	2
114	один из	5	2
115	мы и	1	2
116	не могли	2	2
117	личности а	1	2
118	и зла	2	2
119	самого себя	1	2
120	совесть и	1	2
121	и люди	1	2
122	на том	2	2
123	когда я	2	2
124	его не	1	2
125	не так	5	2
126	это не	9	2
127	это все	2	2
128	между тем	2	2
129	не только	16	2
130	для него	9	2
131	вот почему	3	2
132	человека как	2	2
133	ивана карамазова	7	2
134	и тогда	2	2
135	с ним	4	2
136	на этих	2	2
137	человечество на	1	2
138	не будет	2	2
139	с презрением	1	2
140	ее в	3	2
141	о свободе	3	2
142	и за	1	2
143	прежде всего	10	2
144	лишь из	1	2
145	для них	2	2
146	можно было	1	2
147	людей и	2	2
148	а между	1	2
149	ценности и	1	2
150	вслед за	2	2
151	и это	2	2
152	личного и	1	2
153	от этих	1	2
154	мы не	3	2
155	только в	7	2
156	все равно	1	2
157	а с	4	2
158	а в	10	2
159	до того	1	2
160	в духе	6	2
161	в бога	1	2
162	сознания от	1	2
163	люди не	1	2
164	и сам	5	2
165	человечества а	1	2
166	и любви	1	2
167	духа но	1	2
168	нет и	1	2
169	это мы	1	2
170	верит в	2	2
171	но не	7	2
172	тем что	2	2
173	легенда о	4	2
174	могут быть	4	2
175	сто тысяч	2	2
176	не имел	1	2
177	с тем	1	2
178	давно уже	2	2
179	и т	14	2
180	к нам	1	2
181	для счастья	1	2
182	одна из	5	2
183	во главе	2	2
184	для людей	1	2
185	его к	2	2
186	не могут	2	2
187	т д	10	2
188	да и	1	2
189	том что	14	2
190	когда в	1	2
191	своей свободы	1	2
192	от свободы	1	2
193	для человека	3	2
194	верит что	1	2
195	но мы	1	2
196	в себя	3	2
197	что их	1	2
198	уже не	6	2
199	мира в	2	2
200	не к	2	2
201	от своей	1	2
202	я говорю	1	2
203	бога есть	2	1
204	я был	1	1
205	свобода и	1	1
206	жизни но	2	1
207	и мир	3	1
208	в самом	6	1
209	суд над	1	1
210	более так	1	1
211	бы то	1	1
212	мире и	1	1
213	перестает быть	1	1
214	в образах	2	1
215	природы в	1	1
216	художественный образ	1	1
217	связь с	3	1
218	и другие	4	1
219	то есть	16	1
220	достоинства и	1	1
221	напомнил о	1	1
222	так ли	2	1
223	его личности	1	1
224	гораздо шире	1	1
225	мечту о	1	1
226	а потому	1	1
227	и жаждал	1	1
228	человека в	9	1
229	возможно в	1	1
230	в окончательном	2	1
231	и впрямь	1	1
232	это одна	1	1
233	небытию в	1	1
234	человеческой души	3	1
235	мы видим	3	1
236	природы человека	1	1
237	земли с	1	1
238	идет к	1	1
239	что оно	2	1
240	бога в	1	1
241	заботиться о	2	1
242	человек был	1	1
243	это тот	1	1
244	речь идет	1	1
245	вообще в	1	1
246	тоже не	2	1
247	в вечность	1	1
248	он говорит	3	1
249	и на	12	1
250	он дал	1	1
251	человеку не	1	1
252	что бог	1	1
253	а ты	1	1
254	на этом	1	1
255	же и	2	1
256	может быть	11	1
257	видим что	1	1
258	к человеку	3	1
259	не имеют	4	1
260	и было	1	1
261	отпадения от	1	1
262	человека не	1	1
263	если в	3	1
264	вся история	3	1
