N	3gram	Potebnia_M	KulturaY
1	и т п	7	93
2	и т д	5	42
3	для того чтобы	5	38
4	с точки зрения	2	36
5	в том что	22	33
6	в самом деле	1	29
7	тем не менее	7	19
8	во всяком случае	3	19
9	с другой стороны	4	17
10	до сих пор	4	14
11	в том чтобы	4	14
12	по отношению к	10	13
13	по крайней мере	8	13
14	только потому что	5	13
15	и в самом	3	11
16	не может быть	7	11
17	в этом отношении	2	11
18	в этом смысле	2	10
19	о том что	5	10
20	вместе с тем	5	9
21	не в том	6	8
22	само по себе	6	8
23	на самом деле	4	8
24	не только в	4	8
25	в этом случае	2	8
26	тех пор пока	2	7
27	т п и	1	7
28	в том случае	2	7
29	до тех пор	5	7
30	в свою очередь	6	7
31	только в том	5	7
32	с одной стороны	4	7
33	после того как	2	7
34	хотя бы и	1	6
35	к тому же	1	6
36	то же время	8	6
37	только тогда когда	11	6
38	в то же	8	6
39	не говоря уже	1	6
40	т п но	1	6
41	в свое время	1	6
42	говоря уже о	1	5
43	так и в	2	5
44	потому что он	3	5
45	более или менее	6	5
46	в данном случае	3	5
47	сплошь да рядом	1	5
48	и в этом	1	5
49	что же касается	1	5
50	не потому что	1	5
51	тем более что	1	5
52	как мы видели	1	5
53	лишь в том	1	4
54	то же в	1	4
55	потому что как	1	4
56	но вряд ли	1	4
57	что все эти	1	4
58	так или иначе	1	4
59	сам по себе	9	4
60	том что он	2	4
61	в первом случае	2	4
62	смысле этого слова	9	4
63	и того же	2	4
64	а в том	5	4
65	к тому что	3	4
66	к вопросу о	1	4
67	состоит в том	1	4
68	одного и того	2	4
69	сих пор еще	1	4
70	в том и	1	4
71	на то что	3	4
72	заключается в том	1	4
73	только то что	1	4
74	именно в том	3	4
75	дает нам право	1	4
76	чтобы понять что	1	3
77	и тогда когда	1	3
78	в таком случае	2	3
79	силу того что	2	3
80	потому что не	4	3
81	того что в	1	3
82	с тем что	1	3
83	не то что	2	3
84	том случае когда	1	3
85	сама по себе	3	3
86	большей или меньшей	1	3
87	то тем самым	3	3
88	в силу того	2	3
89	мере того как	8	3
90	от того что	7	3
91	в том смысле	6	3
92	по мере того	8	3
93	и не в	1	3
94	к тому чтобы	1	3
95	в настоящее время	1	3
96	в то время	7	3
97	что язык есть	2	3
98	в большей или	1	3
99	в этом слове	2	3
100	в противном случае	1	3
101	у нас есть	1	3
102	состоит не в	2	3
103	от этого не	1	3
104	что и в	4	3
105	именно в силу	1	3
106	и в той	1	3
107	не могут быть	3	3
108	в таких случаях	2	3
109	тогда когда он	1	3
110	том случае если	1	3
111	что он не	3	2
112	и что вообще	1	2
113	потому что я	1	2
114	видно уже из	1	2
115	а может быть	2	2
116	как увидим ниже	1	2
117	в языке нет	1	2
118	рано или поздно	2	2
119	еще один пример	1	2
120	том смысле что	2	2
121	а следовательно и	1	2
122	что слово есть	1	2
123	можно себе представить	1	2
124	что в ней	2	2
125	только о том	1	2
126	в большинстве случаев	2	2
127	это дает нам	1	2
128	уже не в	1	2
129	и в таком	1	2
130	если бы например	2	2
131	самом деле в	1	2
132	у нас в	1	2
133	в собственном смысле	2	2
134	по себе не	2	2
135	вовсе не в	1	2
136	когда мы говорим	1	2
137	мы могли бы	1	2
138	и в других	1	2
139	и тот же	2	2
140	не означает еще	1	2
141	потому что в	4	2
142	друг от друга	2	2
143	в строгом смысле	1	2
144	что сплошь да	1	2
145	этого слова и	2	2
146	и то же	7	2
147	может быть только	4	2
148	уже потому что	1	2
149	сами по себе	3	2
150	и если бы	1	2
151	формы и содержания	1	2
152	была бы уже	1	2
153	то же слово	2	2
154	в силу этого	1	2
155	ничего общего с	1	2
156	между тем как	4	2
157	потому что оно	2	2
158	т д не	1	2
159	в целом и	1	2
160	на наших глазах	1	2
161	а не с	1	2
162	и там где	1	2
163	что даже в	1	2
164	том что оно	2	2
165	тем самым мы	1	2
166	бы то ни	1	2
167	в буквальном смысле	2	2
168	из того что	1	2
169	и в том	3	2
170	быть не может	2	2
171	общем смысле этого	1	2
172	по преимуществу но	1	2
173	в одном из	1	2
174	того как мы	1	2
175	лишь тогда когда	4	2
176	а вместе с	1	2
177	и тем же	4	2
178	что в языке	1	2
179	только после того	1	2
180	один и тот	2	2
181	с течением времени	2	2
182	внутренняя форма слова	2	2
183	можно сказать что	3	2
184	то что мы	3	2
185	и той же	4	2
186	себе представить что	1	2
187	таким образом в	1	2
188	из этих слов	2	2
189	мы видели выше	1	2
190	не что иное	1	2
191	одним и тем	4	2
192	может быть не	2	2
193	что если бы	3	2
194	одной и той	4	2
195	мы не знаем	3	2
196	пор пока мы	1	2
197	но язык не	2	2
198	речи не только	1	2
199	на первых порах	2	2
200	что иное как	1	2
201	это потому что	2	2
202	сводится к тому	1	2
203	потому что они	1	2
204	если бы не	1	2
205	может быть и	1	2
206	именно с а	1	1
207	исчерпывается тем что	1	1
208	в ней все	1	1
209	указывает на это	1	1
210	вовсе не то	1	1
211	указывает нам на	1	1
212	достаточно для того	1	1
213	или в том	1	1
214	что оно имеет	1	1
215	до и после	1	1
216	ясно также что	1	1
217	не все равно	1	1
218	своей точки зрения	1	1
219	внутренняя форма в	1	1
220	не могла бы	2	1
221	не отличающее ее	1	1
222	все то что	2	1
223	только в силу	1	1
224	во многих других	1	1
225	себе еще не	1	1
226	единства образа дает	1	1
227	в действительности и	1	1
228	потому что есть	1	1
229	свою мысль так	1	1
230	случае если бы	2	1
231	он уже не	1	1
232	предмета а образ	1	1
233	что он говорит	1	1
234	что внутренняя форма	3	1
235	тесной связи с	1	1
236	здесь может быть	1	1
237	в силу которого	1	1
238	эти слова сказал	1	1
239	образ предмета а	1	1
240	что оно не	2	1
241	какова должна быть	1	1
242	со своей точки	1	1
243	форма и содержание	1	1
244	она есть не	1	1
245	о слове как	1	1
246	не сам по	1	1
247	в первый раз	1	1
248	мы должны признать	1	1
249	имеет своим предметом	1	1
250	том самом смысле	1	1
251	того что она	1	1
252	в высокой степени	1	1
253	до недавнего времени	1	1
254	потому должно быть	1	1
255	предметы существующие независимо	1	1
256	оно не было	1	1
257	для себя и	1	1
258	внутренней формы в	1	1
259	в себе всю	1	1
260	не может но	2	1
261	рядом с ними	2	1
262	дает еще знание	1	1
263	что в первом	1	1
264	дело нашей души	1	1
265	не говоря о	2	1
266	не будем говорить	1	1
267	бы не было	1	1
268	нашей души впрочем	1	1
269	вслед за тем	3	1
270	думать что именно	1	1
271	тогда когда мы	1	1
272	но и с	1	1
273	что само по	1	1
274	язык есть средство	2	1
275	обратив внимания на	1	1
276	том что она	1	1
277	внутреннюю форму слова	1	1
278	смысле в каком	3	1
279	нас и без	1	1
280	свою очередь есть	1	1
281	по тому что	2	1
282	но самое это	1	1
283	точек зрения и	1	1
284	предположить что в	1	1
285	но не только	1	1
286	его как и	1	1
287	от души животного	1	1
288	том и состоит	1	1
289	все более и	1	1
290	фактического единства образа	1	1
291	именно потому что	1	1
292	не только из	1	1
293	не менее есть	1	1
294	право сказать что	1	1
295	есть не что	1	1
296	форма кроме фактического	1	1
297	еще знание этого	1	1
298	то же что	5	1
299	как в самом	1	1
300	же что в	1	1
301	по себе еще	1	1
