N	4gram	Bakhtin_fo	VLabPisa
1	в то же время	10	5
2	и в то же	6	3
3	в том числе и	4	2
4	одном и том же	1	2
5	в точном смысле слова	1	2
6	с одной стороны и	2	2
7	в ту же ночь	1	1
8	только в том что	1	1
9	именно в том что	1	1
10	с этой точки зрения	1	1
11	материал по этому вопросу	1	1
12	в значительной мере и	1	1
13	может быть и речи	2	1
14	но все же и	1	1
15	одно и то же	4	1
16	в одном и том	1	1
17	но вместе с тем	1	1
18	как об этом свидетельствует	1	1
19	прежде всего бросается в	1	1
20	всего бросается в глаза	1	1
21	и т п все	1	1
22	в качестве одной из	1	1
23	одну и ту же	1	1
24	в той или иной	2	1
25	и т д обычно	1	1
26	с другой стороны в	1	1
27	но в то же	2	1
28	не может быть и	2	1
29	так же как и	2	1
30	в то время как	2	1
31	по этому вопросу и	1	1
32	и вместе с тем	1	1
33	до сих пор не	1	1
34	говорит о том что	1	1
