N	2gram	Propp_Morf	ViktorSh
1	и в	17	2
2	в том	10	2
3	том что	7	2
4	в другом	2	1
5	что способы	1	1
6	но это	6	1
7	одно и	1	1
8	их как	2	1
9	по существу	13	1
10	главным образом	5	1
11	как же	3	1
12	один пример	1	1
13	образы которые	1	1
14	от других	2	1
15	именно в	1	1
16	веселовского этот	1	1
17	ни к	2	1
18	имеется в	3	1
19	самом деле	4	1
20	более чем	1	1
21	ясно что	5	1
22	с большой	2	1
23	в частности	2	1
24	и то	1	1
25	так в	1	1
26	к созданию	1	1
27	этом и	1	1
28	каждая новая	1	1
29	веселовский с	1	1
30	то чего	1	1
31	и его	3	1
32	даже не	3	1
33	к чему	3	1
34	вызвать только	1	1
35	на одном	1	1
36	хотя бы	5	1
37	других и	1	1
38	далеко не	5	1
39	в которых	2	1
40	к этому	4	1
41	только в	3	1
42	же с	1	1
43	потому что	7	1
44	в их	1	1
45	и только	3	1
46	то же	10	1
47	не будем	5	1
48	и не	16	1
49	дело в	1	1
50	в этом	18	1
51	так как	20	1
52	все это	2	1
53	совершенно ясно	1	1
