N	3gram	Vygotskiy_	VelikijI
1	все что есть	1	3
2	в первый раз	2	3
3	к тому что	2	3
4	то что мы	1	3
5	и т д	10	2
6	в том что	21	2
7	его во всех	1	2
8	в вопросе о	1	2
9	а между тем	1	2
10	вместо того чтобы	1	2
11	но и в	1	2
12	том что он	2	2
13	и над ними	1	2
14	то что я	2	2
15	не могли бы	1	1
16	того что он	1	1
17	так и в	2	1
18	во что бы	1	1
19	что бы то	1	1
20	и в сознании	1	1
21	он говорит что	2	1
22	т д и	1	1
23	другой стороны в	1	1
24	вслед за ним	1	1
25	в конце концов	6	1
26	конечно ни в	1	1
27	все это имеет	1	1
28	от него в	1	1
29	но прежде всего	1	1
30	против того что	1	1
31	вместе с тем	3	1
32	и во всяком	1	1
33	и вместе с	1	1
34	в сознании и	2	1
35	жизнь так и	1	1
36	мы видим что	4	1
37	есть один из	1	1
38	о смысле и	1	1
39	в нашу эпоху	1	1
40	потому что оно	1	1
41	в ней и	1	1
42	в разные эпохи	2	1
43	и никогда не	1	1
44	по сравнению с	3	1
45	есть прежде всего	1	1
46	как и в	5	1
47	как детскую игру	1	1
48	с тем чтобы	2	1
49	на составные части	1	1
50	и что в	2	1
51	по крайней мере	1	1
52	д и т	1	1
53	не могут быть	2	1
54	в жизни и	1	1
55	как бы в	1	1
56	и не было	1	1
57	что он так	1	1
58	с другой стороны	7	1
59	в известном смысле	1	1
60	но и тут	1	1
61	его к жизни	1	1
62	бы то ни	2	1
63	и каким образом	1	1
64	после того как	1	1
65	и в этом	1	1
66	то ни стало	1	1
67	так как она	2	1
