N	3gram	Voloshinov	Narrotol
1	в том что	1	18
2	в данном случае	1	17
3	о том что	2	9
4	не может быть	3	8
5	той или иной	1	8
6	в этом отношении	1	8
7	можно сказать что	3	6
8	с одной стороны	1	6
9	для того чтобы	1	5
10	на самом деле	4	5
11	подобно тому как	1	5
12	имеем дело с	1	5
13	в конечном счете	2	4
14	во всяком случае	3	4
15	в самом деле	2	3
16	друг на друга	2	3
17	до сих пор	3	3
18	в этом и	1	3
19	в связи с	1	3
20	то же самое	1	3
21	а то и	1	3
22	обратим внимание на	1	3
23	с точки зрения	6	3
24	дело в том	1	3
25	все то что	2	2
26	одного и того	1	2
27	можно ли признать	1	2
28	чем иным как	1	2
29	и того же	1	2
30	и т.п и	1	2
31	а с другой	1	2
32	прежде всего на	1	2
33	в том смысле	1	2
34	именно то что	1	2
35	можно было бы	1	2
36	так же как	2	2
37	на первый взгляд	1	2
38	что иное как	1	2
39	и столь же	1	1
40	мы уже знаем	1	1
41	в большинстве случаев	3	1
42	в постель к	1	1
43	в этом смысле	3	1
44	по сравнению с	3	1
45	ничего не говорит	1	1
46	не говорит и	1	1
47	для него уже	1	1
48	во всех его	2	1
49	самом деле в	1	1
50	все эти столь	1	1
51	всех без исключения	1	1
52	следует заметить что	1	1
53	говорили что на	1	1
54	при всей ее	1	1
55	связи с этим	1	1
56	так и в	1	1
57	друг с другом	1	1
58	всей моей жизни	1	1
59	по аналогии с	2	1
60	каждого из этих	1	1
61	и в этот	1	1
62	еще в году	1	1
63	в чем не	3	1
64	и даже чисто	1	1
65	не может иметь	1	1
66	то ни было	1	1
67	до поры до	1	1
68	нет никаких оснований	2	1
69	поры до времени	1	1
70	бы то ни	1	1
71	сих пор еще	1	1
72	может быть только	1	1
73	разных местах и	1	1
74	как со стороны	1	1
75	по крайней мере	3	1
76	как это было	1	1
77	этой точки зрения	1	1
78	а потому не	1	1
79	как один из	1	1
80	если они становятся	1	1
81	и в чем	1	1
82	не что иное	1	1
83	и та же	1	1
84	мы узнаем о	1	1
85	в другом человеке	1	1
86	но отнюдь не	2	1
87	с самого начала	4	1
88	же как и	1	1
89	одна и та	1	1
90	она может быть	1	1
91	по его мнению	1	1
92	как это делает	1	1
93	смысле они не	1	1
94	то что я	1	1
95	было на самом	1	1
96	ни в чем	3	1
97	с этой точки	1	1
98	мы не можем	1	1
