N	3gram	Tiupa_Hudo	slovoVRo
1	не может быть	4	19
2	то же время	7	18
3	в то же	7	18
4	той или иной	5	15
5	с точки зрения	3	15
6	в отличие от	7	14
7	в той или	2	13
8	в отношении к	2	12
9	с одной стороны	3	11
10	более или менее	6	9
11	в этом случае	1	9
12	в зависимости от	1	8
13	в значительной степени	2	7
14	но в то	1	7
15	и в то	2	6
16	с другой стороны	6	6
17	к чужому слову	1	6
18	в том что	8	5
19	по отношению к	10	5
20	может быть и	2	5
21	одной стороны и	1	4
22	для того чтобы	5	4
23	в известной степени	1	4
24	в свою очередь	2	4
25	то есть как	1	4
26	можно сказать что	3	4
27	в лучшем случае	1	4
28	не могут быть	1	4
29	в новое время	1	4
30	и в сущности	1	4
31	до известной степени	2	3
32	и то же	3	3
33	того или иного	4	3
34	человека и его	1	3
35	тех или иных	2	3
36	по ту сторону	1	3
37	в связи с	3	3
38	сама по себе	2	3
39	к тому что	2	3
40	в евгении онегине	1	3
41	как и в	1	3
42	в основе его	1	3
43	включает в себя	2	3
44	одно и то	3	3
45	в истории литературы	1	3
46	своими корнями в	1	2
47	то или иное	1	2
48	с этой точки	2	2
49	тем не менее	3	2
50	то есть для	1	2
51	не в качестве	1	2
52	здесь как бы	1	2
53	не только на	1	2
54	в известном смысле	2	2
55	а не только	1	2
56	и в том	1	2
57	в том и	2	2
58	отношение к своему	1	2
59	иметь в виду	1	2
60	о том что	1	2
61	этой точки зрения	2	2
62	тем и другим	1	2
63	в то время	1	2
64	то есть от	1	2
65	языка не может	1	2
66	бы они ни	1	2
67	они ни были	1	2
68	между автором и	1	2
69	уходит своими корнями	1	2
70	и в частности	1	2
71	и тем и	1	2
72	тот или иной	3	2
73	что он не	1	1
74	все то что	1	1
75	одним из существеннейших	1	1
76	он еще не	1	1
77	романного слова эта	1	1
78	слова так и	1	1
79	в конечном счете	5	1
80	по себе а	1	1
81	на задний план	1	1
82	точки зрения не	1	1
83	входит в эстетический	1	1
84	только в условиях	1	1
85	на мир глазами	1	1
86	при этом что	1	1
87	в xix веке	1	1
88	которые лежат в	1	1
89	мы говорим о	1	1
90	дело не в	1	1
91	имеет дело со	1	1
92	в том числе	3	1
93	оттесняет на задний	1	1
94	в частности в	1	1
95	том что она	1	1
96	бы ни был	1	1
97	отношений между людьми	1	1
98	как бы не	2	1
99	так или иначе	4	1
100	высказывания и в	1	1
101	не принадлежат к	1	1
102	в том случае	1	1
103	в особенности в	1	1
104	именно потому что	1	1
105	а также в	1	1
106	в иных случаях	1	1
107	по себе еще	1	1
108	речь идет о	1	1
109	не на языке	1	1
110	в его сознании	1	1
111	том числе и	2	1
112	при этом и	1	1
113	к автору и	1	1
114	и прежде всего	2	1
115	или даже вовсе	1	1
116	а в том	1	1
117	не могло быть	2	1
118	как это может	1	1
119	такого языка в	1	1
120	и в пределах	1	1
121	то ни было	2	1
122	с его внешними	1	1
123	иметь место в	1	1
124	дистанции между ними	1	1
125	не входит в	1	1
126	чужой речи и	1	1
127	а не с	1	1
128	своему смыслу и	1	1
129	жизни на основании	1	1
130	во всей своей	1	1
131	бы то ни	2	1
132	перед нами не	1	1
133	в равной степени	2	1
134	могли бы быть	1	1
135	говорящего и его	1	1
136	шире и глубже	1	1
137	века и в	1	1
138	может и не	1	1
139	в этих случаях	1	1
140	поэт не может	1	1
141	но в отличие	1	1
142	то есть в	1	1
143	никогда не бывает	1	1
144	что даже в	1	1
145	между собой в	1	1
146	лежат в основе	1	1
147	он не только	1	1
148	кто говорит и	2	1
149	по крайней мере	1	1
150	человек имеет дело	1	1
151	в данный момент	2	1
152	заключается в том	1	1
153	в эстетический объект	2	1
154	становления и развития	1	1
155	за ним всегда	1	1
156	имеем в виду	3	1
157	в последние десятилетия	1	1
158	прямого авторского слова	1	1
159	в свое время	1	1
160	в виду не	3	1
161	и не могла	1	1
162	как один из	1	1
163	между тем это	1	1
164	к одному из	1	1
165	может быть развернута	1	1
166	и романного слова	1	1
167	связи с этим	1	1
168	являются такими же	1	1
169	отношении к нему	1	1
170	но не знает	1	1
171	в противном случае	2	1
172	у нее нет	1	1
173	как раз в	1	1
174	подобно тому как	3	1
175	рассеянной чужой речи	1	1
176	так же как	1	1
177	мы имеем в	3	1
178	то есть его	1	1
179	том что он	2	1
180	и оценки и	1	1
181	в нем по	1	1
182	не в самом	2	1
183	тем или иным	2	1
184	в русском языке	1	1
185	том случае если	1	1
186	языка но и	1	1
187	это возможно в	1	1
188	и на его	1	1
189	в таких случаях	1	1
190	однако при этом	2	1
191	становления мира в	1	1
192	точки зрения и	1	1
193	прежде всего в	1	1
194	таким образом с	1	1
195	это было бы	1	1
