N	4gram	Bakhtin_Pr	Komedia
1	в то же время	13	16
2	в то время как	2	9
3	бы то ни было	2	7
4	в том что он	4	4
5	в том числе и	1	3
6	до сих пор не	1	3
7	с одной стороны и	1	2
8	и в то же	2	2
9	мы имеем в виду	1	2
10	и до сих пор	1	1
11	сих пор остается почти	1	1
12	не с точки зрения	1	1
13	в зависимости от того	1	1
14	и во всяком случае	1	1
15	именно потому что он	1	1
16	до сих пор остается	1	1
17	и т п в	1	1
18	о том что он	1	1
19	тем не менее и	1	1
20	в собственном смысле слова	1	1
21	тем не менее в	1	1
22	и в частности на	1	1
23	в пределах того же	1	1
24	с точки зрения того	1	1
25	не укладывается ни в	1	1
26	так же как и	1	1
27	и каждый из них	1	1
28	с точки зрения ее	1	1
