1	в большей или меньшей	4	7
2	в том числе и	1	7
3	большей или меньшей степени	4	7
4	в той или иной	13	5
5	в то же время	18	5
6	как мы уже говорили	1	4
7	как мы уже сказали	4	4
8	на самом же деле	1	3
9	мы уже говорили что	1	3
10	и в то же	6	2
11	но в то же	7	2
12	всегда в той или	4	2
13	в средние века и	1	2
14	и не может быть	2	2
15	средние века и в	1	2
16	дело в том что	1	2
17	сореля скаррона и др	1	1
18	нет и не может	1	1
19	и в новое время	2	1
20	в этом отношении он	1	1
21	так как если бы	1	1
22	на то или иное	1	1
23	и связанное с ним	1	1
24	свое наиболее полное и	1	1
25	мы имеем в виду	1	1
26	идеологии и литературы но	1	1
27	и др то есть	1	1
28	на мир и на	1	1
29	не в меньшей степени	1	1
30	в xvii и xviii	1	1
31	выражение в ряде особенностей	1	1
32	то же время в	2	1
33	в тесной связи с	1	1
34	xvii и xviii веках	1	1
35	что не укладывается в	1	1
36	можно только на фоне	1	1
37	той или иной степени	13	1
38	во всяком случае не	1	1
39	этапах своего исторического развития	1	1
40	еще раз подчеркнуть что	1	1
41	вводит в свое произведение	1	1
42	и в значительной степени	1	1
43	не укладывается в прокрустово	1	1
44	находит свое выражение в	1	1
45	лежащее в основе этих	1	1
46	в основе его лежит	1	1
47	в том что он	1	1
48	особенно в xix веке	1	1
49	у стерна и жан-поля	1	1
50	рядом друг с другом	1	1
51	по себе никогда не	1	1
52	или во всяком случае	2	1
53	еще на двух моментах	1	1
54	как бы ни были	1	1
55	всегда включает в себя	1	1
56	всех его моментах как	1	1
57	точки зрения на мир	3	1
58	включает в себя момент	1	1
59	свое выражение в ряде	1	1
60	остановимся еще на двух	1	1
61	и до настоящего времени	1	1
62	и в последующем развитии	1	1
63	во всех его моментах	5	1
64	то есть только в	1	1
65	и перестает быть тем	1	1
66	одной и той же	1	1
67	все более и более	1	1
68	укладывается в прокрустово ложе	1	1
69	точка зрения на мир	3	1
70	в меньшей степени чем	1	1
71	при всех различиях в	1	1
