N	4gram	Berdyaev_M	slovoVRo
1	никогда не может быть	2	3
2	не значит конечно что	1	2
3	и не может быть	1	2
4	ни в чем не	2	2
5	в то время как	2	2
6	это не значит конечно	1	2
7	до сих пор не	1	2
8	она не может быть	1	1
9	мы имеем в виду	1	1
10	в начале xx века	1	1
11	одни и те же	1	1
12	в зависимости от этого	1	1
13	в том случае если	1	1
14	а также в значительной	1	1
15	оно не может быть	1	1
16	одной и той же	2	1
17	также в значительной степени	1	1
18	и потому не может	1	1
19	все время находится в	1	1
20	не видят и не	1	1
21	в том что он	1	1
22	все более и более	1	1
23	одну и ту же	1	1
24	он не может быть	1	1
25	у него нет и	1	1
26	так же как и	1	1
27	менее всего может быть	1	1
