N	3gram	Tiupa_Lite	Myslijsy
1	в том что	15	47
2	по отношению к	4	26
3	не может быть	5	19
4	тем не менее	4	18
5	по крайней мере	2	17
6	в свою очередь	2	14
7	то же время	12	13
8	в то же	12	13
9	с другой стороны	5	12
10	и в этом	1	12
11	до сих пор	1	12
12	только в том	2	12
13	во всяком случае	2	12
14	для того чтобы	1	11
15	и т п	2	11
16	подобно тому как	4	11
17	с одной стороны	8	10
18	то что я	1	10
19	одного и того	1	9
20	и того же	1	9
21	на то что	1	9
22	о том что	3	9
23	до тех пор	2	9
24	мы не можем	1	9
25	не могут быть	1	9
26	на самом деле	1	8
27	только потому что	1	8
28	в этом случае	2	8
29	и то же	1	7
30	с точки зрения	4	7
31	не в состоянии	1	7
32	одно и то	1	7
33	не только в	4	7
34	с самого начала	1	6
35	в эту минуту	1	6
36	после того как	1	6
37	может быть назван	1	5
38	между тем как	1	5
39	к тому что	1	5
40	в сравнении с	2	5
41	и то что	2	5
42	в том же	3	4
43	все то что	1	4
44	с этой точки	3	4
45	все более и	1	4
46	в данном случае	6	4
47	в произведении искусства	1	4
48	быть не может	1	4
49	лишь тогда когда	1	4
50	и тем же	1	4
51	в том чтобы	1	4
52	более и более	1	4
53	одним и тем	1	4
54	дело в том	2	4
55	именно в том	1	4
56	в этом отношении	5	4
57	что он не	1	3
58	если б мы	1	3
59	тех пор пока	2	3
60	как и во	1	3
61	одной стороны и	1	3
62	в большинстве случаев	1	3
63	говоря уже о	2	3
64	то есть в	1	3
65	так или иначе	8	3
66	том что он	1	3
67	ничего общего с	2	3
68	и тем самым	2	3
69	во многих случаях	1	3
70	а не в	1	3
71	в связи с	4	3
72	в наше время	1	3
73	об одном из	1	3
74	бы то ни	1	3
75	в одном из	1	3
76	которые не могут	1	3
77	не может стать	1	3
78	из того что	2	3
79	не говоря уже	3	3
80	можно было бы	2	3
81	не подлежит сомнению	1	3
82	могли бы быть	1	3
83	на первый взгляд	1	3
84	этой точки зрения	3	3
85	а так как	1	3
86	тогда как в	1	3
87	нам остается только	1	3
88	но с другой	3	3
89	потому что я	1	2
90	себя и других	1	2
91	что в ней	1	2
92	в первый раз	2	2
93	при этом в	3	2
94	бы не было	1	2
95	но при этом	2	2
96	одно из них	1	2
97	и мы в	1	2
98	этом случае мы	1	2
99	нельзя сказать что	1	2
100	а не с	1	2
101	состоит в том	8	2
102	но все же	1	2
103	только то что	2	2
104	то ни было	1	2
105	и не может	1	2
106	мы имеем дело	2	2
107	в этом последнем	1	2
108	может и не	1	2
109	на вопрос что	1	2
110	тем что в	2	2
111	не только от	1	2
112	но дело в	1	2
113	того что они	1	2
114	не нуждается в	1	2
115	а не как	1	2
116	здесь как и	1	2
117	в свое время	1	2
118	и других в	1	2
119	к тому чтобы	1	2
120	и тем более	1	2
121	при этом не	1	2
122	в себе не	1	2
123	для того кто	1	2
124	то есть от	1	2
125	как мы видели	1	2
126	и не только	1	2
127	в каком отношении	1	1
128	со второй половины	1	1
129	на бесконечно малые	1	1
130	как было сказано	1	1
131	в самом деле	1	1
132	то он легко	1	1
133	имеет ничего общего	1	1
134	каждого из них	1	1
135	и даже отчасти	1	1
136	не есть произведение	1	1
137	только в силу	1	1
138	это приводит к	1	1
139	в целом как	1	1
140	же время не	2	1
141	раньше и не	1	1
142	на мой взгляд	1	1
143	это должно быть	1	1
144	если оно вообще	1	1
145	ни было но	1	1
146	том что этот	1	1
147	и самого себя	1	1
148	в той мере	1	1
149	том что его	2	1
150	с мудростью и	1	1
151	всех этих и	1	1
152	на задний план	1	1
153	на наш взгляд	7	1
154	во всех этих	1	1
155	в которых однако	1	1
156	нет ничего кроме	1	1
157	на том что	1	1
158	связи с чем	2	1
159	потому что сами	1	1
160	свое собственное слово	1	1
161	скрывайся и таи	1	1
162	каждому из них	1	1
163	не могли быть	1	1
164	в том числе	2	1
165	поэзии и прозы	1	1
166	по отношению ко	2	1
167	далеко не всегда	1	1
168	собственно говоря и	1	1
169	но даже и	1	1
170	то в его	1	1
171	во многих отношениях	1	1
172	внутренней и внешней	1	1
173	с каким в	1	1
174	в разговоре с	2	1
175	лишь в той	1	1
176	иметь в виду	1	1
177	что перед нами	1	1
178	что он в	1	1
179	на всю жизнь	1	1
180	другому как понять	1	1
181	например с точки	1	1
182	однако с точки	1	1
