N	4gram	Propp_Russ	VLabPisa
1	видно из приведенных выше	1	3
2	одном и том же	1	2
3	приводит к тому что	1	2
4	том же говорит и	1	1
5	описывает его следующим образом	1	1
6	о том же говорит	1	1
7	иметь в виду что	1	1
8	не имеет ничего общего	1	1
9	в одном и том	1	1
10	но вместе с тем	3	1
11	было бы значительно увеличить	1	1
12	по этому поводу с	1	1
13	в виду что в	1	1
14	имеет ничего общего с	1	1
15	можно было бы значительно	1	1
16	так же как и	3	1
17	в то время как	1	1
18	как видно из приведенных	1	1
19	говорит о том что	1	1
