N	2gram	Tiupa_Narr	PoTuStor
1	может быть	24	17
2	и в	22	16
3	таким образом	5	9
4	в этом	23	9
5	прежде всего	7	9
6	мы можем	2	9
7	и только	2	9
8	совершенно не	1	8
9	точки зрения	8	8
10	и с	3	8
11	не может	16	8
12	и его	12	8
13	не только	50	7
14	сказать что	5	7
15	с его	6	7
16	и к	7	6
17	при этом	31	6
18	для него	8	6
19	самом деле	4	6
20	с точки	2	6
21	ни в	1	5
22	все эти	3	5
23	в чем	3	5
24	еще не	6	5
25	как бы	11	5
26	отношение к	2	5
27	нуждается в	1	5
28	в него	2	5
29	а потому	2	4
30	все что	4	4
31	для всех	1	4
32	и на	5	4
33	так как	1	4
34	все это	1	4
35	в его	12	4
36	мысли и	1	4
37	так и	12	4
38	на самом	1	4
39	его в	1	4
40	и даже	4	4
41	и все	7	4
42	с ними	5	4
43	только в	23	4
44	и не	34	4
45	но мы	1	4
46	можно сказать	11	4
47	но и	39	4
48	хотя бы	4	4
49	в этой	8	4
50	как мы	3	4
51	отнюдь не	6	4
52	в нем	9	4
53	с ее	3	4
54	в один	1	4
55	и ее	3	4
56	и наконец	2	4
57	но в	10	4
58	и вот	2	3
59	если б	1	3
60	до сих	3	3
61	к себе	11	3
62	в том	20	3
63	с другими	1	3
64	между ними	3	3
65	в конечном	6	3
66	их в	4	3
67	отношения к	1	3
68	этом смысле	1	3
69	и как	4	3
70	что в	6	3
71	и она	1	3
72	том что	15	3
73	большинстве случаев	1	3
74	вместе с	3	3
75	на этом	1	3
76	в этих	3	3
77	мира и	2	3
78	сравнению с	1	3
79	и оно	1	3
80	матери и	5	3
81	во всех	2	3
82	во всяком	2	3
83	и потому	2	3
84	в основе	1	3
85	и притом	3	3
86	тех же	1	3
87	по сравнению	1	3
88	по крайней	1	3
89	и теперь	1	3
90	как это	7	3
91	только на	4	3
92	в одном	5	3
93	даже не	1	3
94	чем не	1	3
95	а в	19	3
96	в большинстве	1	3
97	то что	14	3
98	никаких оснований	1	3
99	на две	2	3
100	могут быть	1	3
101	и есть	1	3
102	сих пор	3	3
103	в общем	1	3
104	жизни и	7	3
105	в области	4	3
106	всяком случае	2	3
107	во время	2	3
108	крайней мере	1	3
109	едва ли	5	3
110	в самом	8	2
111	в свое	1	2
112	рождение и	1	2
113	него только	1	2
114	это делает	1	2
115	и мы	1	2
116	к другим	1	2
117	на протяжении	12	2
118	они не	3	2
119	возникает в	1	2
120	мы не	5	2
121	с этой	3	2
122	ни было	1	2
123	что это	4	2
124	нашего времени	1	2
125	аналогии с	1	2
126	ее в	1	2
127	может иметь	1	2
128	для нас	2	2
129	и через	2	2
130	но как	3	2
131	что и	3	2
132	сознания и	2	2
133	быть может	1	2
134	сводится к	10	2
135	у него	13	2
136	не на	1	2
137	не могут	1	2
138	со всеми	3	2
139	в душе	3	2
140	а на	2	2
141	из сказанного	1	2
142	не знает	2	2
143	всех его	2	2
144	так называемый	1	2
145	по аналогии	2	2
146	что не	2	2
147	конечном счете	4	2
148	в жизни	9	2
149	можно назвать	2	2
150	но ведь	1	2
151	как и	15	2
152	что он	7	2
153	есть в	1	2
154	же как	2	2
155	похожим на	1	2
156	только то	1	2
157	в своей	8	2
158	и так	1	2
159	как с	1	2
160	по своему	3	2
161	в итоге	4	2
162	не менее	6	2
163	на границе	1	2
164	в каком	1	2
165	во сне	4	2
166	на первый	1	2
167	и вообще	1	2
168	не удается	1	2
169	с этим	1	2
170	при всей	5	2
