N	2gram	Medvedev_F	StatiiOP
1	в и	1	145
2	и в	54	103
3	в том	17	89
4	том что	3	77
5	в этом	39	76
6	что в	10	74
7	не только	14	60
8	и т	22	51
9	о том	1	47
10	но и	18	46
11	то что	14	44
12	что он	8	42
13	в его	30	42
14	и не	34	41
15	может быть	30	38
16	т е	50	33
17	было бы	10	32
18	т д	11	32
19	в этой	10	31
20	вовсе не	18	31
21	тем что	6	29
22	все это	11	29
23	таким образом	28	28
24	в г	1	28
25	а в	11	27
26	а не	11	27
27	но в	9	26
28	что это	1	25
29	так и	24	25
30	этом отношении	7	24
31	и его	27	24
32	все же	8	23
33	точки зрения	21	23
34	не в	16	23
35	так что	2	23
36	потому что	2	23
37	для того	3	22
38	в которой	5	22
39	как в	12	22
40	того что	7	22
41	прежде всего	34	22
42	у нас	6	22
43	в области	6	22
44	и пр	30	21
45	того чтобы	4	21
46	до сих	7	20
47	это не	4	20
48	в своей	16	19
49	сих пор	7	19
50	т п	11	19
51	в то	14	19
52	только в	6	19
53	в котором	2	18
54	с другой	8	18
55	он не	8	18
56	не может	26	18
57	в самом	17	17
58	в году	2	17
59	как на	5	17
60	между прочим	1	17
61	в русской	1	17
62	самом деле	12	17
63	в россии	4	17
64	как бы	10	17
65	в данном	2	17
66	в этих	3	16
67	с этим	6	16
68	сказать что	3	16
69	можно было	1	16
70	в статье	5	16
71	если бы	8	16
72	в ней	15	16
73	г и	1	16
74	другой стороны	5	15
75	с тем	11	15
76	как и	18	15
77	по поводу	1	15
78	из этих	4	15
79	у него	1	15
80	и на	10	15
81	например в	1	15
82	в отношении	3	15
83	как раз	8	15
84	для него	9	15
85	также и	1	15
86	то же	16	14
87	но все	4	14
88	так например	3	14
89	к тому	6	14
90	с точки	17	14
91	между тем	4	14
92	и что	2	14
93	была бы	4	14
94	в той	3	13
95	именно в	12	13
96	во всяком	6	13
97	в своем	12	13
98	из них	5	13
99	в качестве	2	13
100	а с	1	13
101	в конце	2	13
102	в нем	25	13
103	в языке	5	13
104	вместе с	8	13
105	со стороны	7	13
106	всяком случае	6	13
107	но это	4	13
108	дело в	1	13
109	что касается	1	13
110	жизни и	10	13
111	тому что	3	13
112	в своих	3	12
113	не менее	12	12
114	хотя бы	10	12
115	что у	1	12
116	в первой	2	12
117	ни в	3	12
118	так как	4	12
119	что они	4	12
120	в них	4	11
121	в другом	2	11
122	должна была	2	11
123	никогда не	6	11
124	не было	7	11
125	ясно что	3	11
126	и с	17	11
127	и по	3	11
128	своего рода	1	11
129	из его	2	11
130	вопрос о	3	11
131	все эти	12	11
132	это было	3	11
133	на то	2	11
134	на эти	1	10
135	кроме того	3	10
136	не столько	5	10
137	в виду	2	10
138	связь с	1	10
139	так же	5	10
140	отметить что	2	10
141	в целом	7	10
142	что такое	2	10
143	что и	10	10
144	xix века	1	10
145	но он	2	10
146	во всех	9	10
147	а как	5	10
148	в каком	1	10
149	в истории	10	10
150	же время	13	10
151	ничего не	5	10
152	на самом	8	10
153	но не	5	10
154	во второй	3	10
155	в частности	4	10
156	и к	7	9
157	с этой	4	9
158	говорит о	1	9
159	можно сказать	2	9
160	он был	1	9
161	в одном	2	9
162	несмотря на	2	9
163	его жизни	1	9
164	и это	4	9
165	в чем	2	9
166	в каждом	3	9
167	и тем	3	9
168	что эта	2	9
169	вряд ли	2	9
170	не является	3	9
171	такого рода	1	9
172	что же	6	9
173	и для	5	9
174	для нас	1	9
175	там где	3	9
176	по этому	2	9
177	место в	8	9
178	но ведь	4	8
179	в результате	8	8
180	и даже	7	8
181	связано с	1	8
182	еще более	6	8
183	к которому	2	8
184	к этому	3	8
185	связи с	12	8
186	одним из	1	8
187	и др	8	8
188	могут быть	7	8
189	в общем	8	8
190	к сожалению	2	8
191	нужно сказать	1	8
192	должен был	3	8
193	заключается в	1	8
194	не имеет	2	8
195	тем не	2	8
196	совершенно не	5	8
197	и более	4	8
198	мы имеем	1	8
199	при помощи	2	8
200	статьи в	1	8
201	той же	2	8
202	до конца	9	8
203	в их	16	8
204	а также	1	8
205	в какой	3	8
206	п в	2	8
207	по мнению	1	8
208	отношение к	4	8
209	и о	3	8
210	такой же	2	8
211	это в	1	8
212	с которыми	1	7
213	и очень	1	7
214	по себе	10	7
215	представление о	2	7
216	отличается от	4	7
217	в это	1	7
218	а а	1	7
219	уже о	1	7
220	не мог	1	7
221	точка зрения	3	7
222	того же	1	7
223	гораздо более	1	7
224	на почве	20	7
225	в ее	10	7
226	в эту	3	7
227	кажется что	1	7
228	как это	8	7
229	нельзя не	1	7
230	что для	3	7
231	из этого	2	7
232	во втором	7	7
233	то в	3	7
234	и то	1	7
235	можно назвать	1	7
236	том как	1	7
237	еще не	6	7
238	одной из	2	7
239	на этот	1	7
240	связан с	1	7
241	этой области	1	7
242	данном случае	2	7
243	уже в	1	7
244	в виде	2	7
245	материал для	1	7
246	тем более	1	7
247	с самого	2	7
248	конце концов	2	7
249	русского языка	1	7
250	этому поводу	1	7
251	лишь в	15	7
252	отношению к	4	7
253	случае в	1	6
254	же и	2	6
255	на его	2	6
256	в некоторых	2	6
257	и сам	1	6
258	в жизни	3	6
259	говорить о	4	6
260	по отношению	4	6
261	и пушкин	1	6
262	даже в	2	6
263	ни одного	2	6
264	в отдельных	1	6
265	крайней мере	1	6
266	к нему	3	6
267	только не	2	6
268	том отношении	1	6
269	же как	3	6
270	должно было	4	6
271	этом смысле	3	6
272	этот вопрос	2	6
273	его как	5	6
274	в себе	4	6
275	и языка	1	6
276	в особенности	7	6
277	и здесь	8	6
278	из которых	1	6
279	и все	9	6
280	времени не	1	6
281	в в	2	6
282	том смысле	3	6
283	по крайней	1	6
284	языка и	13	6
285	идет о	3	6
286	тем же	3	6
287	и во	2	6
288	с его	12	6
289	литературного языка	3	6
290	мы не	6	6
291	ни на	5	6
292	независимо от	5	6
293	по существу	8	6
294	должен быть	5	6
295	этих двух	2	6
296	его не	2	6
297	в литературном	2	6
298	что на	3	6
299	нас не	3	5
300	своей статье	5	5
301	до него	1	5
302	при этом	14	5
303	не как	7	5
304	в духе	1	5
305	целый ряд	4	5
306	на эту	1	5
307	уже не	9	5
308	то это	1	5
309	и такие	1	5
310	одной стороны	5	5
311	но они	1	5
312	конечно не	5	5
313	самого начала	2	5
314	поэта и	1	5
315	без всякого	1	5
316	том чтобы	3	5
317	в основу	2	5
318	что именно	2	5
319	с одной	5	5
320	хотя и	3	5
321	его в	5	5
322	не была	2	5
323	не о	7	5
324	на себя	1	5
325	что не	4	5
326	даже не	2	5
327	в двух	1	5
328	же касается	1	5
329	в сторону	4	5
330	не был	1	5
331	если не	1	5
332	не приходится	4	5
333	в тех	1	5
334	она была	3	5
335	столь же	2	5
336	или иного	8	5
337	всех этих	6	5
338	не так	4	5
339	один из	4	5
340	должна быть	11	5
341	не на	3	5
342	оно не	6	5
343	конечно и	1	5
