N	2gram	Berdyaev_N	OGranits
1	и в	16	13
2	и его	1	12
3	прежде всего	4	9
4	может быть	7	8
5	и не	11	8
6	не может	16	8
7	и пр	3	7
8	в его	1	7
9	и т.п	2	7
10	и их	1	7
11	не только	5	6
12	мы должны	1	6
13	только в	1	6
14	то что	4	6
15	хотя бы	2	5
16	но ведь	1	5
17	мы не	2	4
18	было бы	1	4
19	все это	5	4
20	лишь в	6	4
21	в своей	3	4
22	но в	2	4
23	вопроса о	1	4
24	с этим	2	3
25	что в	9	3
26	к одному	1	3
27	связана с	2	3
28	так и	2	3
29	говорить о	1	3
30	есть прежде	1	3
31	не столько	1	3
32	за пределы	3	3
33	превращается в	1	3
34	в ее	3	3
35	не в	6	3
36	в которой	1	3
37	и все	4	3
38	но для	2	3
39	в себе	2	3
40	так как	1	3
41	я хочу	1	3
42	но и	3	3
43	к единству	1	3
44	и для	4	3
45	как и	7	3
46	никогда не	6	3
47	в области	1	2
48	своего рода	1	2
49	в самом	1	2
50	во всем	1	2
51	нет ничего	1	2
52	и к	5	2
53	может иметь	1	2
54	мы уже	1	2
55	и этот	1	2
56	в этом	7	2
57	с одной	2	2
58	для себя	1	2
59	одной стороны	2	2
60	и должно	2	2
61	роль в	2	2
62	в этот	1	2
63	и истории	1	2
64	смысле слова	3	2
65	в том	8	2
66	в которую	1	2
67	ни одно	1	2
68	другой стороны	2	2
69	во времени	1	2
70	не на	1	2
71	от этого	1	2
72	так же	2	2
73	думать что	2	2
74	в них	4	2
75	а в	2	2
76	от всех	1	2
77	а также	1	2
78	еще в	1	2
79	в ней	5	2
80	тем что	1	2
81	могут быть	2	2
82	в зависимости	1	2
83	все эти	2	2
84	с другой	3	2
85	как в	3	2
86	не менее	4	2
87	нуждается в	1	2
88	не имеет	4	2
89	том что	2	2
90	в нем	5	2
91	уже в	1	2
92	зависимости от	1	2
93	а не	17	2
94	в чем	1	2
95	к тому	3	2
96	к которому	1	1
97	то он	1	1
98	эпохи не	1	1
99	для всех	1	1
100	это конечно	1	1
101	в замкнутые	1	1
102	как ни	1	1
103	то это	1	1
104	выходит за	1	1
105	отличие от	1	1
106	вопрос о	3	1
107	что мы	1	1
108	они не	1	1
109	на нем	1	1
110	не имеют	2	1
111	или иная	1	1
112	человеческом обществе	1	1
113	ее на	1	1
114	должно быть	4	1
115	не могу	1	1
116	такого рода	2	1
117	эти слова	1	1
118	может идти	1	1
119	потому что	4	1
120	в значительной	1	1
121	должны быть	1	1
122	того чтобы	2	1
123	же как	2	1
124	можно лишь	1	1
125	и более	1	1
126	и у	1	1
127	не должно	1	1
128	с миром	1	1
129	в человеческом	1	1
130	это и	2	1
131	для того	1	1
132	совсем не	12	1
133	тому как	3	1
134	быть не	1	1
135	он и	1	1
136	они считают	2	1
137	ее жизни	1	1
138	не всегда	1	1
139	в своем	1	1
140	должны перейти	1	1
141	мысли и	2	1
142	как это	2	1
143	переходит от	1	1
144	в свои	2	1
145	что такое	3	1
146	к тем	1	1
147	мы в	1	1
148	она создает	1	1
149	и через	1	1
150	вступает в	1	1
151	только потому	1	1
152	переходит в	1	1
153	и что	2	1
154	для них	1	1
155	можно было	2	1
156	в этой	1	1
157	о переходе	1	1
158	людей и	1	1
159	ни одна	2	1
160	во все	1	1
161	в виду	1	1
162	быть может	4	1
163	и до	1	1
164	истории и	9	1
165	нет никакого	1	1
166	с их	2	1
167	и есть	10	1
168	конечно не	3	1
169	подобно тому	3	1
170	и вполне	1	1
171	не хотят	2	1
172	но это	6	1
173	творчества ни	1	1
174	и развивается	1	1
175	по себе	1	1
176	в истории	3	1
177	по своей	1	1
178	приходится выбирать	1	1
179	человека и	3	1
180	а на	1	1
181	не было	4	1
182	когда мы	2	1
183	зависимость от	1	1
184	не знает	6	1
185	этой системы	1	1
186	традиционные формы	1	1
187	сильнее и	2	1
188	в основе	3	1
189	равно как	2	1
190	в отличие	1	1
191	про себя	1	1
192	их в	1	1
193	считают себя	1	1
194	нет и	2	1
195	быть понята	1	1
196	противостоит не	1	1
197	сам собой	1	1
198	сказать что	3	1
199	на себя	1	1
200	менее всего	1	1
201	та или	1	1
202	в эпоху	9	1
203	возможности в	1	1
204	времени не	1	1
205	такой же	2	1
206	с большим	1	1
207	в конце	1	1
208	в образе	1	1
209	призыв к	2	1
210	к более	2	1
211	свои права	2	1
212	долгое время	1	1
213	все время	2	1
214	что он	1	1
215	времени в	2	1
216	что она	2	1
217	не существует	3	1
218	привела к	1	1
219	в мире	3	1
220	вместе с	2	1
221	который в	2	1
222	и вместе	1	1
223	одна из	2	1
224	но не	2	1
225	но если	1	1
226	с его	6	1
227	себя и	1	1
228	оно может	1	1
229	на место	1	1
230	в природе	2	1
231	в такой	1	1
232	в то	2	1
233	мыслей и	1	1
234	должно было	2	1
235	не будут	2	1
236	и оно	1	1
237	ведь и	2	1
238	связанный с	1	1
239	для этого	2	1
240	с ее	5	1
241	новой социальной	1	1
242	в нашу	2	1
243	и это	2	1
244	переходе от	2	1
245	того же	1	1
246	что вообще	1	1
247	у в	1	1
248	не должна	1	1
249	к нему	1	1
250	мысли в	2	1
251	формы и	2	1
252	обратиться к	1	1
253	и особенно	1	1
254	еще не	3	1
255	в статье	1	1
