N	3gram	Vygotskiy_	Otkroven
1	у него в	1	5
2	для того чтобы	11	3
3	до самого конца	1	2
4	не могут быть	2	2
5	с тем что	2	2
6	не может быть	14	2
7	искать не в	2	2
8	но и в	1	2
9	нет ничего кроме	1	2
10	и никогда не	1	2
11	это было бы	1	2
12	и в этом	1	2
13	что у него	3	2
14	сам по себе	4	1
15	хотя и не	2	1
16	и не быть	1	1
17	о том что	9	1
18	в том что	21	1
19	не так как	1	1
20	все что есть	1	1
21	того чтобы сделать	1	1
22	не в том	7	1
23	и характер его	1	1
24	и не очень	1	1
25	в том случае	3	1
26	он никогда не	1	1
27	и то что	3	1
28	и когда он	2	1
29	ли может быть	1	1
30	как и в	5	1
31	в совершенно ином	1	1
32	все его творчество	1	1
33	как например в	1	1
34	то что в	1	1
35	в самом деле	13	1
36	том случае если	2	1
37	а вовсе не	1	1
38	как будто бы	2	1
39	указывали на то	1	1
40	смысле этого слова	2	1
41	во всяком случае	7	1
42	для всякого кто	1	1
43	и в самом	3	1
44	нужно прежде всего	1	1
45	бросается в глаза	1	1
46	он указывает на	1	1
47	как бы в	1	1
48	вместо того чтобы	1	1
49	прежде всего и	1	1
50	там и здесь	1	1
51	о том как	1	1
52	действующие лица в	1	1
53	само по себе	8	1
54	в этом отношении	7	1
55	тем что у	1	1
56	по сравнению с	3	1
57	но и тут	1	1
58	потому что в	1	1
59	а не только	1	1
60	на то что	12	1
61	и состоит чтобы	1	1
62	от того что	2	1
63	заключает в себе	3	1
64	том что в	1	1
65	он не только	3	1
66	и в том	2	1
67	могут быть сопоставлены	1	1
68	после того как	1	1
69	и там и	1	1
70	и не может	2	1
71	никогда не откажется	1	1
72	друг к другу	1	1
