N	2gram	Bakhtin_Fr	VeschiIm
1	и не	23	57
2	не только	23	48
3	то что	9	48
4	не может	9	46
5	и в	67	45
6	и есть	5	40
7	может быть	4	39
8	а не	6	37
9	что я	1	26
10	потому что	8	25
11	не просто	1	24
12	было бы	5	24
13	только в	6	23
14	что она	4	23
15	в себе	3	23
16	сказать что	12	22
17	в смысле	1	22
18	и что	3	22
19	как бы	18	20
20	что это	4	19
21	но и	23	19
22	и ее	2	19
23	в этом	27	18
24	все же	7	18
25	есть только	1	18
26	так как	16	17
27	прежде всего	19	17
28	и это	5	17
29	есть не	1	17
30	таким образом	20	16
31	того что	4	16
32	как раз	5	16
33	от всего	1	15
34	как и	19	15
35	уже не	1	15
36	в том	16	15
37	в ней	10	15
38	но это	10	14
39	и то	2	14
40	не в	8	14
41	в самом	7	13
42	не будет	2	13
43	том что	13	13
44	и больше	2	13
45	есть и	8	13
46	и для	4	13
47	это и	10	13
48	в себя	6	13
49	что в	14	12
50	и с	18	12
51	то же	18	12
52	и даже	6	12
53	есть нечто	2	12
54	о том	8	12
55	еще не	5	12
56	не что	1	12
57	если мы	3	12
58	точки зрения	7	12
59	но если	1	12
60	ничего не	5	12
61	что они	3	12
62	что иное	1	12
63	что и	8	12
64	между собою	6	12
65	и как	7	12
66	смысл и	1	12
67	если она	1	12
68	иное как	1	12
69	и их	6	11
70	не менее	4	11
71	себя в	1	11
72	и пр	1	11
73	еще и	6	11
74	тем не	1	11
75	ни в	5	11
76	что не	4	11
77	вовсе не	19	11
78	также и	11	11
79	в то	17	11
80	и только	2	11
81	в чем	6	10
82	ясно что	1	10
83	с ее	7	10
84	есть ли	1	10
85	с ним	6	9
86	в результате	5	9
87	бы и	2	9
88	хотя бы	2	9
89	нисколько не	4	9
90	говорить о	5	9
91	в своем	13	9
92	ни с	2	9
93	это не	5	9
94	у нас	3	9
95	бы в	5	9
96	другими словами	3	9
97	так что	1	9
98	но не	6	9
99	на то	2	9
100	и его	19	9
101	должна быть	1	8
102	если бы	2	8
103	с тем	3	8
104	что он	7	8
105	себя и	2	8
106	в свете	3	8
107	но в	20	8
108	мы не	6	8
109	что значит	1	8
110	для него	4	8
111	в ее	2	8
112	все это	15	8
113	со своим	1	8
114	с другими	3	8
115	в отношении	2	8
116	его в	10	8
117	указывает на	1	8
118	в явление	1	8
119	только и	1	8
120	и потому	1	8
121	с другой	3	8
122	можно сказать	4	8
123	с этой	1	7
124	в сущности	13	7
125	то не	1	7
126	самом деле	6	7
127	все эти	12	7
128	тем что	3	7
129	существенный смысл	1	7
130	ни на	1	7
131	в действительности	1	7
132	относится к	3	7
133	и тогда	1	7
134	слова и	2	7
135	можно ли	1	7
136	без всякого	1	7
137	мог бы	1	7
138	никак не	3	7
139	и тут	1	7
140	вообще не	3	7
141	есть именно	1	7
142	от того	3	7
143	а в	4	7
144	из них	5	7
145	в той	2	6
146	с полной	3	6
147	в разных	2	6
148	мы говорим	1	6
149	их в	2	6
150	в своей	6	6
151	в данном	4	6
152	из себя	1	6
153	в одном	7	6
154	и до	3	6
155	как только	1	6
156	как я	1	6
157	момент в	2	6
158	одна из	1	6
159	ее не	1	6
160	несмотря на	3	6
161	с точки	5	6
162	есть просто	1	6
163	дело в	5	6
164	между ними	4	6
165	в нем	20	6
