N	4gram	Propp_Isto	Mirosoze
1	и вместе с тем	2	5
2	в то время как	4	4
3	одна и та же	1	3
4	в том что он	1	3
5	так же как и	1	3
6	о том что в	2	2
7	того ни с сего	1	1
8	с того ни с	1	1
9	с другой стороны у	1	1
10	можно ли сказать что	1	1
11	и не может быть	1	1
12	другой стороны у него	1	1
13	в свою противоположность в	1	1
14	это не значит что	1	1
15	есть вместе с тем	1	1
16	бежит от нее к	1	1
17	ни с того ни	1	1
18	с одной стороны он	1	1
19	в тех случаях когда	6	1
20	и она не может	1	1
21	это приводит нас к	1	1
