N	4gram	Berdyaev_M	VelikijI
1	необычайного гадательного и неопределенного	1	2
2	тысяч великих и сильных	1	2
3	легенда о великом инквизиторе	1	2
4	в том что он	1	2
5	как песок морской слабых	1	2
6	отверг единственное абсолютное знамя	1	1
7	знамя которое предлагалось тебе	1	1
8	человечество как стадо благодарное	1	1
9	земного и отверг во	1	1
10	их веры тебе была	1	1
11	с невинными плясками о	1	1
12	и раскаленной пустыне? обрати	1	1
13	песнями хором с невинными	1	1
14	говорит великий инквизитор христу	1	1
15	и послушное хотя и	1	1
16	а видишь ли сии	1	1
17	мучительнее как найти того	1	1
18	во имя счастья людей	2	1
19	хором с невинными плясками	1	1
20	и своим что наконец-то	1	1
21	стадо благодарное и послушное	1	1
22	жизнь как детскую игру	1	1
23	не было для человека	1	1
24	свободы а видишь ли	1	1
25	для него не существует	1	1
26	мы разрешим им и	1	1
27	невыносимее свободы а видишь	1	1
28	пустыне? обрати их в	1	1
29	свободы с которым это	1	1
30	тот дар свободы с	1	1
31	и за тобой побежит	1	1
32	заслугу себе и своим	1	1
33	разрешим им и грех	1	1
34	все что было не	1	1
35	от труда часы мы	1	1
36	найти того кому бы	1	1
37	себе и своим что	1	1
38	побежит человечество как стадо	1	1
39	сделали так для того	1	1
40	было для человека и	1	1
41	любви человека чтобы свободно	1	1
42	но в свободные от	1	1
43	у человека заботы мучительнее	1	1
44	заботы мучительнее как найти	1	1
45	которое предлагалось тебе чтобы	1	1
46	им и грех они	1	1
47	веры тебе была дороже	1	1
48	и сделали так для	1	1
49	бы это ни стоило	1	1
50	нет у человека заботы	1	1
51	в этой нагой и	1	1
52	предлагалось тебе чтобы заставить	1	1
53	тобой побежит человечество как	1	1
54	в свободные от труда	1	1
55	легенде о великом инквизиторе	2	1
56	какими они и созданы	1	1
57	должно быть от веры	1	1
58	детскую игру с детскими	1	1
59	возжелал свободной любви человека	2	1
60	их работать но в	1	1
61	за тобой побежит человечество	1	1
62	кому бы передать поскорее	1	1
63	и есть то что	1	1
64	и грех они слабы	1	1
65	имя свободы и хлеба	1	1
66	труда часы мы устроим	1	1
67	а потому поступил как	1	1
68	никогда не было для	1	1
69	того кому бы передать	1	1
70	человека заботы мучительнее как	1	1
71	человеческого общества невыносимее свободы	1	1
72	плясками о мы разрешим	1	1
73	ты отверг единственное абсолютное	1	1
74	хотя и вечно трепещущее	1	1
75	с которым это несчастное	1	1
76	чтобы заставить всех преклониться	1	1
77	чтобы свободно пошел он	1	1
78	раскаленной пустыне? обрати их	1	1
79	свободные от труда часы	1	1
80	своей свободы и своего	1	1
81	как стадо благодарное и	1	1
82	свободной любви человека чтобы	1	1
83	мы заставим их работать	1	1
84	это не было еще	1	1
85	было не по силам	1	1
86	слабосильных существ какими они	1	1
87	сии камни в этой	1	1
88	в заслугу себе и	1	1
89	счастье слабосильных существ какими	1	1
90	послушное хотя и вечно	1	1
91	хлеба земного и отверг	1	1
92	камни в этой нагой	1	1
93	нагой и раскаленной пустыне?	1	1
94	грех они слабы и	1	1
95	поскорее тот дар свободы	1	1
96	свободно пошел он за	1	1
97	бы передать поскорее тот	1	1
98	свобода их веры тебе	1	1
99	это ни стоило и	1	1
100	они слабы и бессильны	1	1
101	тебе что нет у	1	1
102	потому поступил как бы	1	1
103	дар свободы с которым	1	1
104	ли сии камни в	1	1
105	знамя хлеба земного и	1	1
106	чтобы сделать людей счастливыми	1	1
107	что было не по	1	1
108	работать но в свободные	1	1
109	и никогда не было	1	1
110	существ какими они и	1	1
111	благодарное и послушное хотя	1	1
112	кто знает может быть	1	1
113	ничего и никогда не	1	1
114	общества невыносимее свободы а	1	1
115	единственное абсолютное знамя которое	1	1
116	заставим их работать но	1	1
117	образ и подобие божье	1	1
118	говорю тебе что нет	1	1
119	как найти того кому	1	1
120	во имя свободы и	1	1
121	в легенде о великом	2	1
122	отверг во имя свободы	1	1
123	свободы и хлеба небесного	1	1
124	абсолютное знамя которое предлагалось	1	1
125	любовь к человеку не	1	1
126	чего бы это ни	1	1
127	это несчастное существо рождается	1	1
128	своим что наконец-то они	1	1
129	чудо должно быть от	1	1
130	и вместе с тем	4	1
131	видишь ли сии камни	1	1
132	этой нагой и раскаленной	1	1
133	о мы разрешим им	1	1
134	как детскую игру с	1	1
135	с детскими песнями хором	1	1
136	и уж конечно не	2	1
137	что нет у человека	1	1
138	и отверг во имя	1	1
139	тебе чтобы заставить всех	1	1
140	которым это несчастное существо	1	1
141	детскими песнями хором с	1	1
142	игру с детскими песнями	1	1
143	передать поскорее тот дар	1	1
144	человека чтобы свободно пошел	1	1
145	тебе была дороже всего	1	1
146	невинными плясками о мы	1	1
