N	2gram	Ircho_Kome	KFilosof
1	может быть	16	45
2	в его	8	42
3	в нем	8	32
4	не может	3	29
5	и не	19	28
6	и в	40	28
7	по отношению	5	26
8	в котором	6	24
9	отношению к	5	22
10	в себе	3	21
11	только в	6	18
12	и его	17	18
13	в своем	6	17
14	в ее	2	17
15	а не	1	17
16	в этом	9	15
17	для него	1	13
18	не в	8	13
19	точки зрения	7	13
20	к нему	5	12
21	мир в	1	12
22	ни в	9	12
23	и единственного	1	12
24	но не	3	12
25	и это	3	12
26	в своей	3	11
27	все эти	1	11
28	во всех	4	11
29	из себя	1	11
30	в единственном	3	10
31	все это	7	10
32	это не	2	10
33	и для	4	10
34	в целом	6	10
35	в их	6	9
36	и все	4	9
37	но и	14	9
38	как бы	3	9
39	не было	1	8
40	если бы	4	8
41	в мире	3	8
42	со стороны	3	8
43	было бы	8	8
44	в себя	3	8
45	жизни и	4	8
46	себя в	2	8
47	во всем	1	7
48	и здесь	6	7
49	что и	10	7
50	должен быть	1	7
51	вовсе не	3	7
52	совершенно не	1	7
53	то что	8	7
54	конечно не	1	7
55	на основе	1	7
56	для себя	2	7
57	и только	1	7
58	отнюдь не	2	7
59	но все	4	6
60	не имеет	1	6
61	и я	2	6
62	в том	19	6
63	и их	3	6
64	отношение к	3	6
65	место в	7	6
66	он не	5	6
67	но это	2	6
68	мира в	5	6
69	от его	1	5
70	то же	7	5
71	ко всему	2	5
72	мы имеем	1	5
73	не только	12	5
74	с ним	1	5
75	его в	6	5
76	не знает	1	5
77	в основе	1	5
78	но в	6	5
79	именно в	5	5
80	бы быть	1	5
81	как и	12	5
82	все же	7	5
83	жизни в	1	5
84	еще не	7	5
85	время и	3	5
86	хотя бы	2	5
87	в одном	10	5
88	а в	9	5
89	и единственное	1	5
90	культуры и	1	5
91	его как	1	5
92	в контексте	1	5
93	там где	1	5
94	что в	12	4
95	познания и	1	4
96	при этом	5	4
97	ни было	4	4
98	что это	5	4
99	о нем	1	4
100	прежде всего	8	4
101	в своих	2	4
102	места в	1	4
103	места и	1	4
104	нет в	1	4
105	с ними	2	4
106	за свое	2	4
107	мира и	1	4
108	это противопоставление	1	4
109	том что	19	4
110	в чем	3	4
111	в каком	1	4
112	могло бы	1	4
113	только как	1	4
114	во всей	1	4
115	могла бы	2	4
116	не по	5	4
117	между тем	9	4
118	здесь мы	3	4
119	времени и	2	4
120	тем самым	1	4
121	чем не	1	4
122	быть в	1	4
123	из него	1	4
124	жизни но	1	3
125	ближе к	1	3
126	от него	1	3
127	та же	1	3
128	и на	9	3
129	здесь нет	1	3
130	мы не	4	3
131	и этот	1	3
132	того что	1	3
133	где он	2	3
134	и этим	1	3
135	на самом	1	3
136	ясно что	9	3
137	в виду	2	3
138	и тот	1	3
139	тем что	5	3
140	людей и	1	3
141	стороны в	1	3
142	не дает	1	3
143	рядом с	1	3
144	не менее	6	3
145	для этой	3	3
146	по своему	5	3
147	бы не	1	3
148	поскольку он	1	3
149	но конечно	1	3
150	той или	1	3
151	в каждом	2	3
152	того или	1	3
153	бы и	1	3
154	что не	1	3
155	отсюда и	1	3
156	в свою	2	3
157	не должен	1	3
158	и ни	1	3
159	в другом	5	3
160	для того	3	3
161	в ней	2	3
162	и та	1	3
163	этом смысле	2	3
164	от того	3	3
165	с человеком	1	3
166	мы здесь	1	3
167	из его	6	3
168	нет и	2	3
169	могут быть	3	3
170	до конца	3	3
171	о том	12	3
172	тем как	2	3
173	в то	14	3
174	для которого	1	3
175	или иного	1	3
176	независимо от	5	3
177	тот же	5	3
178	и тем	2	3
179	ничего не	4	3
180	были бы	1	2
181	бы то	4	2
182	всех отношениях	1	2
183	и эти	1	2
184	которой я	1	2
185	один из	9	2
186	бы он	1	2
187	ему в	2	2
188	его с	2	2
189	дело с	3	2
190	одна и	1	2
191	еще более	2	2
192	конечно в	1	2
193	тому что	4	2
194	нее в	1	2
195	это уже	2	2
196	тем не	3	2
197	так и	17	2
198	из которых	5	2
199	в принципе	3	2
200	и за	3	2
201	в качестве	8	2
202	сюда и	1	2
203	и когда	1	2
204	сводится к	1	2
205	по себе	2	2
206	как единственного	1	2
207	в виде	3	2
208	все остальное	1	2
209	если не	1	2
210	он имеет	1	2
211	отказаться от	2	2
212	он может	1	2
213	не о	1	2
214	ее от	1	2
215	ни одна	2	2
216	в сознании	4	2
217	содержание и	1	2
218	и эта	1	2
219	не следует	2	2
220	на степень	1	2
221	в жизни	1	2
222	не остается	1	2
223	с тем	5	2
224	и как	3	2
225	что он	11	2
226	в соответствии	2	2
227	и она	1	2
228	как в	8	2
229	сознания как	1	2
230	во главе	1	2
231	от этого	2	2
232	и специально	1	2
233	это было	5	2
234	в это	3	2
235	ли это	2	2
236	жизнь и	2	2
237	вошли в	1	2
238	и мир	2	2
239	этого слова	1	2
240	действительности в	1	2
241	к этому	8	2
242	и потому	1	2
243	было и	1	2
244	а с	1	2
245	в данном	1	2
246	и других	7	2
247	вытекает из	1	2
248	вопрос о	5	2
249	ни у	1	2
250	которой он	2	2
251	мысль и	1	2
252	мира как	1	2
253	она могла	1	2
254	потому что	8	2
255	того чтобы	4	2
256	то ни	4	2
257	совсем не	2	2
258	но всегда	1	2
259	быть не	1	2
260	к себе	1	2
261	именно на	2	2
262	на нем	2	2
263	а по	1	2
264	говорить о	3	2
265	содержания и	2	2
266	свою жизнь	1	2
267	что эта	1	2
268	для этого	2	2
269	отношении к	1	2
