N	3gram	Ircho_Kome	NovoeSre
1	в высшей степени	2	6
2	не может быть	1	4
3	подобно тому как	1	3
4	лицом к лицу	1	3
5	вопрос о том	1	2
6	вместе с тем	5	2
7	равно как и	3	2
8	так же как	1	2
9	он не может	1	2
10	с одной стороны	4	2
11	с другой стороны	2	2
12	в том что	15	1
13	до сих пор	12	1
14	еще не знает	1	1
15	он не хочет	1	1
16	как будто бы	1	1
17	что она не	1	1
18	в зависимости от	1	1
19	по существу своему	1	1
20	нового времени в	1	1
21	том числе и	2	1
22	можно было бы	1	1
23	то что он	1	1
24	и не менее	1	1
25	не только в	1	1
26	но и в	1	1
27	в том чтобы	1	1
28	не было и	1	1
29	в отличие от	3	1
30	как это было	1	1
31	в нем не	1	1
32	о том что	7	1
33	и до сих	1	1
34	и того же	1	1
35	не знает что	1	1
36	наряду с этим	2	1
37	а не в	1	1
38	во всяком случае	3	1
39	в том числе	2	1
40	в котором и	1	1
41	к вопросу о	1	1
42	прежде всего они	1	1
43	мы конечно не	1	1
44	в то время	3	1
45	то время как	3	1
46	о том чтобы	3	1
47	ни в чем	2	1
48	вполне возможно что	2	1
49	и не может	1	1
50	одного и того	1	1
51	может быть только	1	1
