N	3gram	Losev_Vesc	RusskieA
1	в том что	9	49
2	и т д	36	21
3	тем не менее	11	14
4	в этом случае	1	12
5	вместе с тем	3	11
6	о том что	4	10
7	в том чтобы	2	9
8	для того чтобы	2	8
9	в данном случае	2	8
10	подобно тому как	5	8
11	т е в	7	7
12	мы не можем	3	7
13	не может быть	22	6
14	так же как	2	6
15	в связи с	1	5
16	к тому что	2	5
17	мы видели что	3	5
18	не что иное	12	4
19	том что это	1	4
20	только тогда когда	2	4
21	что иное как	12	4
22	в то время	4	4
23	можно было бы	3	4
24	во всяком случае	2	4
25	т е на	2	3
26	более или менее	4	3
27	до сих пор	1	3
28	самом же деле	1	3
29	на самом же	1	3
30	в свою очередь	5	3
31	и потому что	1	3
32	на то что	7	3
33	с точки зрения	6	3
34	все же не	3	3
35	тому как в	1	3
36	далеко не все	1	3
37	с тем что	1	3
38	может быть и	1	3
39	это не значит	1	2
40	о том как	4	2
41	дело не в	1	2
42	не значит что	1	2
43	решить вопрос о	1	2
44	может быть только	6	2
45	друг с другом	2	2
46	из них в	1	2
47	потому что он	1	2
48	но все же	2	2
49	с другой стороны	3	2
50	в этой связи	1	2
51	но так как	1	2
52	и у нас	1	2
53	т д и	11	2
54	равно как и	4	2
55	одна из основных	1	2
56	ту или иную	3	2
57	можно сказать что	3	2
58	в этом и	2	2
59	вопрос о том	2	2
60	не только в	5	2
61	и в этом	2	2
62	стоит в связи	1	2
63	т е как	1	2
64	с одной стороны	3	2
65	в этом отношении	2	2
66	того чтобы обеспечить	1	1
67	в одном и	2	1
68	же корень что	1	1
69	и как бы	1	1
70	как будто бы	1	1
71	очень интересный и	1	1
72	т д а	1	1
73	смысл может быть	1	1
74	на том основании	1	1
75	но тот же	1	1
76	т е путем	1	1
77	никак не может	1	1
78	но если это	3	1
79	этого вопроса в	1	1
80	только о том	2	1
81	только одна из	1	1
82	не в этом	1	1
83	быть потому что	1	1
84	для него не	1	1
85	они все же	1	1
86	в xix веке	1	1
87	у нас в	2	1
88	того или другого	1	1
89	же отличаются от	1	1
90	тот же корень	1	1
91	связанных друг с	1	1
92	брать на себя	1	1
93	его отношении к	1	1
94	потому что она	1	1
95	только потому что	1	1
96	все то что	2	1
97	и пр и	1	1
98	одного и того	1	1
99	на этом основании	1	1
100	они состоят из	1	1
101	сам по себе	4	1
102	и то и	1	1
103	слово для обозначения	1	1
104	что было в	1	1
105	смысл т е	2	1
106	нужно было бы	2	1
107	того что в	1	1
108	она не может	3	1
109	как мы видим	1	1
110	один из самых	1	1
111	той и другой	2	1
112	то что ему	1	1
113	и таким образом	2	1
114	не может считаться	2	1
115	быть не только	2	1
116	можно говорить о	2	1
117	мы видим что	2	1
118	и того же	1	1
119	не дает права	1	1
120	не может не	3	1
121	то же самое	1	1
122	сама по себе	7	1
123	не связанных друг	1	1
124	несмотря ни на	1	1
125	и оно же	1	1
126	несмотря на все	1	1
127	оно все же	1	1
128	если это не	1	1
129	в применении к	2	1
130	одном и том	1	1
131	быть не может	1	1
132	и один из	1	1
133	которого является не	1	1
134	это выражение в	1	1
135	в научной литературе	1	1
136	между собою и	3	1
137	т е не	5	1
138	и том же	1	1
139	еще и в	1	1
140	есть один из	1	1
141	и может быть	1	1
142	но и в	1	1
143	так как по	1	1
144	основных направлений в	1	1
145	как мы знаем	1	1
146	же она не	1	1
147	только в свете	1	1
148	и несмотря на	1	1
149	картину исторического развития	1	1
150	что и сама	1	1
151	в одно целое	1	1
152	эта точка зрения	1	1
153	т д в	1	1
154	главным образом на	1	1
155	что не только	1	1
156	не потому что	5	1
157	то что в	1	1
158	перед нами как	1	1
159	а следовательно и	2	1
160	только в том	1	1
161	независимо от того	1	1
162	так чтобы они	1	1
163	свое внимание на	1	1
164	имени в этом	1	1
165	из того что	3	1
166	живой человек на	1	1
167	те или другие	4	1
168	дело в том	4	1
169	не было ни	2	1
170	и другие виды	1	1
171	что мы имеем	2	1
172	смысле этого слова	1	1
173	же а не	1	1
174	отнюдь не есть	2	1
175	очень много и	1	1
176	по меньшей мере	1	1
177	и если она	1	1
178	не только потому	1	1
179	т е очень	1	1
180	от жизни и	1	1
181	ни с какими	1	1
182	у него нет	1	1
183	в собственном смысле	3	1
184	так что в	3	1
185	в новое время	1	1
186	и этого мало	1	1
187	а так как	2	1
188	у нас это	1	1
189	в свете того	1	1
190	потому что они	4	1
191	и не только	6	1
192	е в данном	1	1
193	остановиться несколько подробнее	1	1
194	в себе и	1	1
195	это и есть	4	1
196	самого главного нет	1	1
197	то время как	4	1
198	что и в	1	1
199	же т е	3	1
200	один из основных	1	1
201	в основе своей	2	1
202	и в и	2	1
