N	3gram	Medvedev_U	Problemy
1	то же время	3	26
2	в то же	3	26
3	в этом смысле	2	16
4	не может быть	4	14
5	но в то	1	11
6	в конце концов	2	11
7	до сих пор	2	10
8	в самом деле	2	9
9	с другой стороны	3	9
10	в том что	2	8
11	друг с другом	1	8
12	и в то	1	7
13	бы то ни	3	7
14	же время не	1	6
15	не входит в	1	6
16	то ни было	3	6
17	хотя бы и	2	5
18	сам по себе	1	5
19	по крайней мере	2	5
20	а между тем	2	4
21	по себе еще	1	4
22	более или менее	1	4
23	само по себе	1	4
24	и прежде всего	1	4
25	то что было	1	4
26	в этом отношении	2	4
27	в той же	1	3
28	можно сказать что	1	3
29	в данном случае	1	3
30	на то что	1	3
31	большей или меньшей	1	3
32	в большей или	1	3
33	все же не	1	3
34	или меньшей степени	1	3
35	в этом случае	1	3
36	тем что он	1	3
37	для него не	1	2
38	никогда не может	1	2
39	то же самое	2	2
40	но это не	1	2
41	конечно не в	1	2
42	и что все	1	2
43	в художественном творчестве	2	2
44	он может быть	1	2
45	не только в	1	2
46	уже не как	1	2
47	таким образом на	1	1
48	еще один пример	1	1
49	проблем связанных с	1	1
50	этом смысле можно	1	1
51	не все в	1	1
52	и независимо от	1	1
53	не в том	1	1
54	но даже и	2	1
55	так или иначе	1	1
56	никогда и не	1	1
57	дело конечно не	1	1
58	он и делает	1	1
59	если бы это	1	1
60	бы это было	1	1
61	заключенных в нем	1	1
62	тех или иных	2	1
63	о нем но	1	1
64	и у других	1	1
65	мы полагаем что	1	1
66	в ухо ивану	1	1
67	в точном смысле	1	1
68	художественной формы в	1	1
69	на одно из	1	1
70	а не только	1	1
71	на первый взгляд	1	1
72	литературного жанра в	1	1
73	быть не может	1	1
74	в художественном произведении	2	1
75	но прежде всего	1	1
76	приходится признать что	1	1
77	смысле можно сказать	1	1
78	было и так	1	1
79	у пушкина но	1	1
80	это было и	1	1
81	но он уже	1	1
82	в своей работе	1	1
83	не только к	1	1
84	это не только	1	1
85	этом отношении очень	1	1
86	но именно этот	1	1
87	оно перестает быть	1	1
88	не было бы	1	1
89	в противном случае	2	1
90	в которых слово	1	1
91	и в их	1	1
92	и в частности	2	1
93	и быть не	1	1
94	он прежде всего	1	1
95	имеем в виду	1	1
96	мы имеем в	1	1
97	у него уже	1	1
98	и то что	2	1
99	не может обойтись	1	1
100	не могут быть	2	1
101	конце концов не	1	1
102	все же остается	1	1
103	с одной стороны	1	1
104	все это в	1	1
105	в своей совокупности	1	1
106	является одним из	1	1
