N	2gram	Bakhtin_fo	Problemy
1	и в	84	106
2	и не	19	90
3	как бы	11	70
4	может быть	18	66
5	в его	19	56
6	в этом	41	52
7	в нем	28	51
8	не может	8	49
9	как и	15	44
10	что он	2	44
11	точки зрения	14	40
12	но и	14	40
13	для него	5	39
14	и его	26	39
15	а не	7	38
16	то же	18	36
17	не только	16	36
18	в пределах	8	35
19	то что	13	33
20	но в	16	33
21	прежде всего	28	32
22	он не	6	29
23	в то	13	29
24	все это	10	29
25	и все	10	28
26	в одном	10	27
27	не в	10	27
28	к другому	2	27
29	к себе	8	26
30	же время	13	26
31	в самом	9	25
32	и с	10	25
33	с точки	9	25
34	в сущности	5	25
35	и т	21	25
36	себе самому	7	25
37	с самим	6	24
38	не как	2	24
39	вовсе не	20	24
40	героя и	7	24
41	самом деле	2	24
42	рядом с	4	23
43	и на	13	23
44	слова и	4	23
45	по себе	3	22
46	в каждом	2	22
47	таким образом	14	22
48	там где	4	21
49	как мы	19	21
50	все же	12	20
51	никогда не	8	20
52	только в	12	20
53	потому что	11	20
54	что в	9	19
55	с его	10	19
56	отношению к	5	19
57	уже не	5	18
58	по отношению	3	18
59	т п	18	18
60	в себе	7	18
61	еще не	8	18
62	на самом	1	18
63	но не	9	18
64	все эти	12	18
65	и к	4	17
66	себе самом	1	17
67	самим собою	5	17
68	с ним	5	17
69	а в	6	17
70	в том	16	17
71	это не	8	17
72	так и	17	17
73	человека из	1	17
74	так же	7	16
75	если бы	6	16
76	в своей	2	16
77	в другом	2	16
78	у него	8	15
79	до конца	5	15
80	и для	12	15
81	и наконец	6	15
82	и сам	2	14
83	в своем	8	14
84	как раз	13	14
85	в конце	11	14
86	а как	3	14
87	в отношении	5	14
88	себя самого	1	14
89	так как	12	14
90	я не	1	14
91	он и	1	14
92	с другим	1	14
93	лишь в	8	14
94	но все	6	13
95	на него	1	13
96	точка зрения	4	13
97	с другими	3	13
98	его в	8	13
99	большинстве случаев	2	13
100	в мире	4	13
101	и это	5	13
102	героя в	1	13
103	в романе	40	13
104	себя и	6	13
105	перед нами	1	13
106	в романах	2	13
107	в большинстве	3	13
108	в целом	2	13
109	при этом	8	12
110	и как	12	12
111	и даже	5	12
112	и слово	1	12
113	к тому	6	12
114	во всяком	5	12
115	в котором	8	12
116	что и	5	12
117	не знает	4	12
118	так сказать	14	12
119	себе и	4	12
120	так что	4	12
121	и что	1	12
122	за пределы	1	12
123	было бы	2	12
124	между тем	1	12
125	как в	10	12
126	том что	7	12
127	но это	1	12
128	ничего не	9	12
129	слово в	1	12
130	в одной	2	12
131	в плане	1	12
132	тем что	4	11
133	их в	6	11
134	входит в	3	11
135	с другой	4	11
136	ни одного	1	11
137	он сам	2	11
138	должно быть	6	11
139	это слово	1	11
140	слово и	1	11
141	м б	1	11
142	бы в	1	11
143	видения и	4	11
144	мы уже	17	11
145	в форме	5	11
146	не могут	4	11
147	дело идет	2	11
148	бы и	1	11
149	сливается с	1	11
150	самого героя	1	11
151	этого слова	2	11
152	она не	2	11
153	или как	5	11
154	конце концов	1	11
155	более того	4	11
156	самого начала	3	10
157	в произведении	1	10
158	что не	3	10
159	сих пор	4	10
160	в него	2	10
161	я сам	1	10
162	до сих	4	10
163	для себя	8	10
164	с собою	1	10
165	приводит к	1	10
166	той же	2	10
167	в самой	3	10
168	далеко не	3	10
169	как не	1	10
170	лишь как	3	10
171	отношение к	5	10
172	ведь и	1	10
173	в той	5	9
174	зрения на	1	9
175	другой стороны	1	9
176	в них	11	9
177	хотя бы	2	9
178	друг с	5	9
179	хотя и	5	9
180	но он	4	9
181	с самого	3	9
182	точек зрения	1	9
183	из одного	1	9
184	могут быть	7	9
185	всяком случае	1	9
186	ни в	9	9
187	самим собой	2	9
188	да и	4	9
189	или в	3	9
190	раз и	3	9
191	и потому	4	9
192	человека в	22	9
193	же и	2	8
194	в результате	6	8
195	и до	7	8
196	о том	4	8
197	мы увидим	2	8
198	из них	8	8
199	переходим к	1	8
200	к герою	1	8
201	и он	3	8
202	несмотря на	1	8
203	но как	1	8
204	одним из	1	8
205	здесь не	5	8
206	и у	8	8
207	и от	3	8
208	мы должны	2	8
209	должна быть	1	8
210	был бы	3	8
211	что это	1	8
212	не на	4	8
213	с ними	1	8
214	и так	2	8
215	наконец в	2	8
216	его целом	2	8
217	уже в	5	8
218	того что	5	8
219	это и	1	8
220	с их	2	8
221	менее всего	2	8
222	с другом	5	8
223	то перед	1	8
224	и о	1	8
225	бы он	2	8
226	от него	1	7
227	уже говорили	6	7
228	тем как	1	7
229	в виду	5	7
230	на свой	1	7
231	на мир	1	7
232	в жизни	6	7
233	к самому	1	7
234	отличается от	1	7
235	и со	1	7
236	вопрос о	2	7
237	в себя	3	7
238	только на	3	7
239	сказать что	4	7
240	что все	4	7
241	что они	3	7
242	все его	7	7
243	не было	8	7
244	не о	2	7
245	как его	3	7
246	лишь на	1	7
247	между ними	5	7
248	себя как	1	7
249	в этих	6	7
250	и следовательно	5	7
251	во всех	13	7
252	друг другу	4	7
253	и др	13	7
254	с которым	1	7
255	его к	2	7
256	и ее	4	7
257	были бы	1	7
258	и изображения	2	7
259	его с	2	7
260	например в	7	7
261	мы остановимся	1	7
262	в процессе	4	7
263	не входит	2	7
264	его и	2	7
265	автора и	4	7
266	на этот	1	7
267	т д	3	7
268	точку зрения	3	7
269	тот же	4	7
270	но на	4	7
271	в их	9	7
272	все равно	1	7
273	в виде	1	7
274	но эта	5	7
275	сама по	1	7
276	мира и	6	7
277	к своему	2	7
278	и другого	1	7
279	и их	11	7
280	такой же	1	7
281	что было	6	6
282	во всем	3	6
283	кроме того	7	6
284	я для	1	6
285	время не	2	6
286	в своих	1	6
287	в построении	1	6
288	самому и	2	6
289	и внутренне	1	6
290	на фоне	3	6
291	и нет	2	6
292	с этим	11	6
293	но эти	4	6
294	конечно не	7	6
295	этого мира	5	6
296	как на	2	6
297	не становится	1	6
298	одна из	3	6
299	на почве	2	6
300	эта особенность	2	6
301	в разрезе	4	6
302	здесь с	1	6
303	и этим	2	6
304	человек и	2	6
305	на этом	2	6
306	выражение в	3	6
307	для его	1	6
308	человека как	1	6
309	но зато	1	6
310	бы уже	1	6
311	этот вопрос	1	6
312	в этой	3	6
313	себя в	2	6
314	во время	7	6
315	и самое	5	6
316	и здесь	2	6
317	в плоскости	2	6
318	отношения к	7	6
319	ни был	2	6
320	в которых	4	6
321	зависимости от	1	6
322	в основе	9	6
323	и вот	2	6
324	другого в	1	6
325	в отличие	3	6
326	его художественного	1	6
327	и во	13	6
328	он может	1	6
329	друг друга	3	6
330	и пр	2	6
331	сочетается с	3	6
332	стремится к	2	6
333	по существу	17	6
334	словом и	2	6
335	на его	1	6
336	на них	2	6
337	слова как	1	6
338	отличие от	3	6
339	как он	4	6
340	в начале	3	6
341	художественного мира	1	6
342	идет о	2	6
343	жизни и	12	6
344	на то	1	6
345	и только	3	6
346	но для	2	6
347	те же	5	5
348	с собой	2	5
349	именно в	5	5
350	с тем	5	5
351	мир и	2	5
352	на материале	3	5
353	самом и	1	5
354	в высшей	1	5
355	в глаза	3	5
356	в зависимости	1	5
357	того же	9	5
358	него не	1	5
359	этот мир	2	5
360	тому же	2	5
361	про себя	1	5
362	на себя	2	5
363	я и	1	5
364	в чем	3	5
365	той или	3	5
366	в уста	2	5
367	когда я	2	5
368	говорили что	1	5
369	что ты	1	5
370	однако в	1	5
371	его как	1	5
372	бы его	1	5
373	в общем	1	5
374	это он	1	5
375	один из	5	5
376	та же	4	5
377	в последнем	3	5
378	то есть	42	5
379	он только	2	5
380	была бы	2	5
381	него нет	1	5
382	функции в	1	5
383	со всеми	4	5
384	поэтому и	4	5
385	все то	2	5
386	здесь мы	4	5
387	о своей	2	5
388	героев и	5	5
389	на протяжении	3	5
390	вместе с	9	5
391	и голос	1	5
392	совершенно не	3	5
393	тотчас же	1	5
394	но здесь	1	5
395	мы не	4	5
396	нет и	4	5
397	том же	4	5
398	в ее	6	5
399	высшей степени	1	5
400	и то	5	5
401	они не	4	5
402	того и	3	5
403	он как	1	5
404	где он	2	5
405	по ту	2	5
406	ведь это	2	5
407	для других	7	5
408	слова но	1	5
409	в обычном	1	5
410	между собою	1	5
411	как можно	3	5
412	по своему	3	5
413	нисколько не	1	5
414	лежит в	2	5
415	в скрытой	1	5
416	он ни	2	5
417	в ней	4	5
418	быть и	4	5
419	когда он	1	5
420	есть и	4	5
421	же что	3	5
422	человека с	1	5
423	с человеком	2	5
424	диалога с	1	5
425	благодаря этому	1	5
426	или иной	4	5
427	тому что	1	5
428	мира в	6	5
429	все что	2	4
430	что если	1	4
431	к другу	2	4
432	мы и	4	4
433	с этой	3	4
434	без исключения	1	4
435	еще более	7	4
436	они уже	1	4
437	нами в	1	4
438	друг к	2	4
439	в одно	3	4
440	на друга	4	4
441	абстрактный характер	1	4
442	при всей	1	4
443	европейского романа	4	4
444	он был	2	4
445	всего этого	3	4
446	всем этим	4	4
447	уже и	1	4
448	к третьему	1	4
449	но этот	1	4
450	друг на	4	4
451	самосознание и	1	4
452	понятно что	4	4
453	находится в	3	4
454	входят в	2	4
455	во всей	3	4
456	от них	1	4
457	на котором	2	4
458	все в	3	4
459	него как	1	4
460	вполне понятно	4	4
461	связи с	14	4
462	в которой	3	4
463	дано в	1	4
464	и своего	1	4
465	характер и	8	4
466	то в	2	4
467	время как	5	4
468	в эту	1	4
469	на себе	1	4
470	под влиянием	1	4
471	оно не	3	4
472	одно и	4	4
473	им и	1	4
474	а вовсе	1	4
475	изображения в	1	4
476	протяжении всего	2	4
477	не значит	1	4
478	с ее	7	4
479	всех этих	9	4
480	с идеей	2	4
481	мы видели	2	4
482	романа не	2	4
483	образом и	2	4
484	разобранные нами	1	4
485	переходит в	1	4
486	романа в	7	4
487	из которых	1	4
488	если не	3	4
489	конечно и	5	4
490	и действительно	1	4
491	не знал	1	4
492	в словах	1	4
493	бы не	1	4
494	героев в	1	4
495	вследствие этого	4	4
496	нет в	2	4
497	здесь нет	3	4
498	то он	1	4
499	ибо не	1	4
500	то и	1	4
501	и лишь	1	4
502	он хочет	1	4
503	в первых	1	4
504	как если	2	4
505	времени и	10	4
506	каждый из	2	4
507	вне его	2	4
508	сами по	2	4
509	мире в	1	4
510	появляется в	1	4
511	только с	1	4
512	он должен	2	4
513	что оно	1	4
514	тоже не	1	4
515	мир в	6	4
516	перестает быть	1	4
517	романа но	5	4
518	одного куска	1	4
519	этом отношении	5	4
520	в формах	1	4
521	в литературе	17	4
522	здесь в	6	4
523	смысле этого	1	4
524	вообще не	4	4
525	к концу	3	4
526	войти в	1	4
527	это было	2	4
528	в каждой	1	4
529	об этом	3	4
530	а так	1	4
531	особенно в	3	4
532	бы ни	1	4
533	жизнь и	4	4
534	это как	1	4
535	ни один	2	4
536	также и	6	4
537	самосознания и	1	4
538	особый тип	1	4
539	конечно в	1	4
540	еще в	1	4
541	стороны и	2	4
542	герой не	1	4
543	как их	2	4
544	него и	1	4
545	оно должно	1	4
546	в чужом	1	4
547	и прежде	4	4
548	таким же	1	4
549	образ героя	1	4
550	мы сказали	1	4
551	момент его	2	4
552	нет здесь	3	3
553	нем в	2	3
554	по всему	3	3
555	дана как	1	3
556	говорить о	1	3
557	глаза и	1	3
558	о чем	4	3
559	говорит о	1	3
560	а затем	3	3
561	и само	1	3
562	но что	1	3
563	чтобы в	1	3
564	героя как	1	3
565	жизнь в	2	3
566	есть в	3	3
567	к другим	1	3
568	функций в	1	3
569	его самосознание	1	3
570	можно сказать	2	3
571	и отчасти	1	3
572	здесь конечно	2	3
573	в данном	4	3
574	жизни а	1	3
575	что этот	1	3
576	и окружающий	1	3
577	отсюда и	3	3
578	слову и	1	3
579	между двумя	6	3
580	увидим что	1	3
581	но они	3	3
582	в различных	2	3
583	и еще	3	3
584	герою и	2	3
585	одной из	3	3
