N	2gram	Trubetskoy	Tragedij
1	и в	24	18
2	в этом	13	9
3	не только	10	8
4	и на	6	7
5	и не	9	7
6	может быть	17	7
7	и с	5	7
8	как бы	10	7
9	он сам	1	7
10	что он	7	6
11	у него	5	6
12	же время	2	6
13	но в	5	6
14	и его	2	6
15	это не	3	5
16	несмотря на	6	5
17	что это	5	5
18	так и	10	5
19	к жизни	1	5
20	все же	15	5
21	в дальнейшем	4	5
22	то же	4	5
23	как и	10	5
24	не может	18	5
25	в то	6	5
26	что в	9	4
27	в себе	5	4
28	и даже	1	4
29	все это	13	4
30	прежде всего	3	4
31	и все	9	4
32	я не	2	4
33	еще не	6	4
34	но и	11	4
35	том что	20	4
36	и что	9	4
37	так же	8	4
38	то что	18	4
39	в этой	7	4
40	что я	1	4
41	в нем	3	4
42	в целом	5	4
43	что с	6	3
44	один из	1	3
45	должно быть	5	3
46	уже в	1	3
47	в его	5	3
48	для него	2	3
49	в своем	12	3
50	с ним	6	3
51	и сам	2	3
52	что за	2	3
53	в конце	4	3
54	и как	1	3
55	в мире	6	3
56	как в	1	3
57	никто не	2	3
58	то есть	2	3
59	при этом	9	3
60	жизнь и	3	3
61	тем самым	3	3
62	с ее	2	3
63	как будто	5	3
64	отнюдь не	2	3
65	все эти	19	3
66	к нему	2	3
67	в самом	8	2
68	не так	4	2
69	и то	4	2
70	данном случае	3	2
71	в том	31	2
72	он и	1	2
73	с тем	4	2
74	в ее	1	2
75	по мнению	1	2
76	как у	3	2
77	даже если	3	2
78	что и	7	2
79	из своих	1	2
80	отказывается от	1	2
81	но при	1	2
82	что все	5	2
83	не могут	4	2
84	в виде	4	2
85	его в	5	2
86	как же	1	2
87	не в	9	2
88	в первом	1	2
89	но все	5	2
90	из самых	1	2
91	в таком	4	2
92	между этими	2	2
93	ничем не	5	2
94	этими двумя	2	2
95	вопрос о	3	2
96	состоит из	4	2
97	веру в	1	2
98	знает что	1	2
99	и это	3	2
100	нет в	2	2
101	уже не	1	2
102	к тому	8	2
103	о том	7	2
104	перед нами	1	2
105	не имеет	2	2
106	что эти	2	2
107	и я	1	2
108	впечатление что	1	2
109	на всем	1	2
110	в данном	3	2
111	только к	1	2
112	что этот	1	2
113	отличие от	3	2
114	она должна	1	2
115	то и	2	2
116	потому что	9	2
117	так что	6	2
118	он не	4	2
119	в частности	2	2
120	точно так	1	2
121	и до	3	2
122	я буду	1	2
123	отношение к	4	2
124	до конца	1	2
125	в глазах	2	2
126	столь же	5	2
127	что она	2	2
128	одна из	2	2
129	с его	1	2
130	а как	1	2
131	не мог	1	2
132	тем что	1	2
133	не случайно	1	2
134	и ее	2	2
135	никогда не	4	2
136	ничего не	1	2
137	друг друга	2	2
138	для самого	2	1
139	все в	2	1
140	во всем	3	1
141	то в	2	1
142	от нее	2	1
143	от него	3	1
144	теперь я	1	1
145	этом случае	4	1
146	могут быть	1	1
147	только не	2	1
148	мы бы	1	1
149	социальной жизни	4	1
150	к сожалению	1	1
151	мы видим	1	1
152	в центре	1	1
153	что оно	3	1
154	таким образом	34	1
155	смотреть на	2	1
156	только что	3	1
157	на вопрос	4	1
158	свидетельствует о	1	1
159	того как	1	1
160	если он	2	1
161	перестает быть	1	1
162	с одной	3	1
163	столкновение с	1	1
164	и вот	1	1
165	должна быть	6	1
166	но еще	1	1
167	с такой	1	1
168	он считает	2	1
169	с этой	3	1
170	и при	6	1
171	ко всему	2	1
172	тогда и	1	1
173	то для	1	1
174	что эта	4	1
175	естественно что	1	1
176	на деле	1	1
177	что при	7	1
178	того что	7	1
179	тем не	4	1
180	не вызывает	1	1
181	сравняться с	1	1
182	сам автор	1	1
183	всегда будут	1	1
184	жалкую и	1	1
185	а затем	2	1
186	для нас	3	1
187	в человеке	1	1
188	одному из	1	1
189	своею и	1	1
190	одно из	3	1
191	высших классов	1	1
192	же не	3	1
193	в результате	9	1
194	ведь с	1	1
195	в виду	2	1
196	смысле этого	1	1
197	быть может	1	1
198	что противоречит	3	1
199	только в	6	1
200	в самой	2	1
201	а на	1	1
202	же являются	1	1
203	и притом	1	1
204	борьбу с	1	1
205	не было	2	1
206	ко всем	3	1
207	в борьбе	1	1
208	в духе	1	1
209	это должно	1	1
210	но он	1	1
211	этого господина	1	1
212	здесь мы	1	1
213	исходит от	1	1
214	этого не	1	1
215	начала в	1	1
216	может случиться	1	1
217	что под	2	1
218	психику этого	1	1
219	заключается в	3	1
220	на нее	2	1
221	одним из	4	1
222	мысль о	1	1
223	на себя	1	1
224	развития в	1	1
225	под тяжелым	1	1
226	не есть	4	1
227	именно в	5	1
228	представление о	3	1
229	сходство с	2	1
230	я и	1	1
231	тому что	2	1
232	эти черты	2	1
233	в связи	3	1
234	лишь на	1	1
235	с ними	2	1
236	с такими	1	1
237	виде в	1	1
238	есть в	2	1
239	на земле	3	1
240	в своей	1	1
241	рядом с	1	1
242	такова сила	1	1
243	слов как	1	1
244	вместе с	7	1
245	жизни ее	1	1
246	на этом	2	1
247	при таком	2	1
248	всю эту	1	1
249	стремление к	1	1
250	жизни в	1	1
251	роль в	1	1
252	не менее	7	1
253	на все	5	1
254	бы не	1	1
255	в такой	4	1
256	со своей	2	1
257	между собой	4	1
258	с чертами	1	1
259	роли в	1	1
260	эти мысли	3	1
261	именно эта	1	1
262	сравнению с	5	1
263	это было	1	1
264	всего предшествующего	1	1
265	ли это	1	1
266	и способствует	1	1
267	но мы	1	1
268	у в	2	1
269	смысл этого	1	1
270	тогда как	6	1
271	гораздо больше	3	1
272	а из	1	1
273	бы в	3	1
274	в них	2	1
275	на них	1	1
276	он творит	1	1
277	во всех	10	1
278	к одному	1	1
279	во всяком	2	1
280	и потому	3	1
281	это и	1	1
282	присмотреться к	1	1
283	необходимое условие	1	1
284	совершенно не	4	1
285	никакой роли	1	1
286	но как	2	1
287	не является	1	1
288	за то	1	1
289	а к	2	1
290	в котором	2	1
291	же я	1	1
292	с самого	1	1
293	совершенно в	1	1
294	как нечто	1	1
295	всегда с	1	1
296	и которую	1	1
297	которой он	1	1
298	на свои	1	1
299	связи с	4	1
300	и ко	1	1
301	силы и	1	1
302	наивность этого	1	1
303	для ее	1	1
304	хотя бы	4	1
305	она не	2	1
306	эти слова	1	1
307	бы может	1	1
308	распространяется на	1	1
309	того чтобы	8	1
310	и если	6	1
311	от самого	1	1
312	одну из	2	1
313	но не	3	1
314	в другом	2	1
315	между тем	12	1
316	быть не	1	1
317	не быть	1	1
318	в ней	3	1
319	однако ни	1	1
320	обстоит дело	1	1
321	вызывает в	1	1
322	x так	1	1
323	самом деле	12	1
324	из себя	10	1
325	вполне ясно	1	1
326	это по	1	1
327	в развитии	1	1
328	в которой	5	1
329	идет в	1	1
330	лишь в	5	1
331	если так	1	1
332	только один	2	1
333	об отношении	1	1
334	а не	1	1
335	а за	1	1
336	грубость и	1	1
337	только на	1	1
338	и их	5	1
339	не могла	1	1
340	связь между	1	1
341	это была	1	1
342	можно было	1	1
343	а между	8	1
344	конечно в	2	1
345	вместо того	1	1
346	тем и	1	1
347	себя на	1	1
348	факт что	4	1
349	и хотя	1	1
350	действительности от	1	1
351	не вполне	3	1
352	что ее	1	1
353	слова были	1	1
354	друга и	1	1
355	в истории	3	1
356	по своей	7	1
357	он есть	1	1
358	что когда	1	1
359	ту же	2	1
360	это может	2	1
361	борьбе за	1	1
362	говорили что	1	1
363	на всю	1	1
364	самого начала	1	1
365	самую суть	1	1
366	всегда будет	4	1
367	в настоящей	1	1
368	на новую	1	1
369	и т.д	4	1
370	всего что	1	1
371	но этот	1	1
372	с другим	1	1
373	на вид	1	1
374	того кто	1	1
375	я в	2	1
376	к ним	2	1
377	и еще	1	1
378	может ли	1	1
379	он в	1	1
380	к ней	1	1
381	как мы	3	1
382	со своими	2	1
383	и особенно	2	1
384	ее не	1	1
385	ко всей	1	1
386	над собою	1	1
387	наряду с	1	1
388	той же	2	1
389	по сравнению	5	1
390	самой природе	1	1
391	только по	1	1
392	всяких прикрас	1	1
393	быть в	1	1
394	в высшей	2	1
395	во времена	1	1
396	и от	5	1
397	в голову	1	1
398	в общем	6	1
399	причем в	1	1
400	его культуры	1	1
401	исходит из	1	1
402	из трех	1	1
403	что без	1	1
404	силой что	1	1
405	этого слова	2	1
406	например в	1	1
407	себя а	1	1
408	что именно	1	1
409	а это	2	1
410	но если	2	1
411	в области	4	1
412	и по	3	1
413	и эта	1	1
414	является ли	3	1
415	всяком случае	2	1
416	на котором	1	1
417	конце концов	4	1
418	за себя	1	1
419	и наконец	3	1
420	некоторые черты	1	1
421	что на	2	1
422	лицом во	1	1
423	не к	1	1
424	чем у	8	1
425	судя по	1	1
426	высшей степени	2	1
