N	2gram	Tiupa_Anal	KulturaY
1	и т	1	143
2	т е	2	102
3	и в	36	84
4	в том	16	74
5	потому что	1	68
6	не только	40	60
7	точки зрения	3	59
8	в этом	19	57
9	было бы	6	53
10	и не	14	52
11	может быть	19	47
12	что в	15	44
13	том что	19	44
14	того чтобы	1	44
15	в самом	7	41
16	для того	1	41
17	у нас	1	38
18	хотя бы	1	37
19	самом деле	2	37
20	с точки	2	36
21	таким образом	4	33
22	а не	16	33
23	если бы	2	32
24	можно было	2	32
25	не в	9	30
26	в его	12	30
27	прежде всего	7	30
28	все же	6	29
29	не менее	9	28
30	того что	4	28
31	все эти	2	28
32	уже не	9	26
33	в силу	2	26
34	то что	5	25
35	вовсе не	2	25
36	не может	3	25
37	вопрос о	1	24
38	с другой	10	24
39	еще не	7	24
40	то же	7	23
41	с помощью	1	23
42	только в	9	23
43	так и	19	23
44	иными словами	1	22
45	тем не	3	21
46	по себе	6	20
47	во всяком	6	20
48	и что	2	20
49	но и	26	20
50	тем что	3	19
51	о том	9	19
52	что он	5	19
53	зависимости от	1	19
54	языка и	1	19
55	что же	1	19
56	всяком случае	6	19
57	но в	8	19
58	и с	1	18
59	с тем	2	18
60	к тому	10	18
61	в сущности	5	18
62	в качестве	22	18
63	связи с	1	18
64	между тем	8	18
65	вместе с	3	18
66	как бы	14	18
67	все это	5	18
68	в той	3	17
69	другой стороны	7	17
70	как это	7	17
71	что это	1	17
72	слова и	1	17
73	как раз	8	17
74	это не	4	17
75	в виду	1	16
76	в зависимости	1	16
77	что и	10	16
78	что не	3	16
79	тот же	3	16
80	ничего не	3	16
81	но не	13	16
82	при этом	19	15
83	именно в	4	15
84	в данном	12	15
85	как на	1	15
86	в нашем	4	15
87	том чтобы	2	15
88	не было	3	15
89	и тем	3	15
90	один из	6	15
91	по отношению	9	15
92	ни к	3	15
93	целый ряд	1	15
94	того как	1	15
95	а в	17	15
96	лишь в	9	15
97	должно быть	1	15
98	в них	4	14
99	и на	5	14
100	сказать что	2	14
101	хотя и	4	14
102	что такое	1	14
103	в связи	1	14
104	я не	3	14
105	сих пор	1	14
106	в ней	2	14
107	до сих	1	14
108	если мы	1	14
109	как мы	4	14
110	мы имеем	5	14
111	отношению к	9	14
112	что она	3	13
113	к языку	1	13
114	крайней мере	5	13
115	между прочим	1	13
116	в этой	10	13
117	там где	2	13
118	не случайно	13	13
119	не могут	2	13
120	по крайней	5	13
121	той же	7	13
122	для нас	1	13
123	это и	4	13
124	по существу	1	13
125	в пределах	5	13
126	и его	18	13
127	с этой	1	12
128	говорить о	6	12
129	в результате	6	12
130	того же	7	12
131	а только	1	12
132	вопроса о	2	12
133	этот вопрос	1	12
134	могут быть	4	12
135	как в	9	12
136	этого слова	3	12
137	однако не	2	12
138	в рамках	10	12
139	для этого	1	12
140	те же	3	11
141	в своем	7	11
142	на себе	1	11
143	речи и	1	11
144	он не	9	11
145	в нем	3	11
146	и здесь	4	11
147	и то	2	11
148	еще и	4	11
149	совершенно не	3	11
150	из этих	4	11
151	и если	2	11
152	этом отношении	3	11
153	уже в	5	11
154	слова в	2	11
155	в их	7	11
156	в таких	2	11
157	или иной	9	11
158	в особенности	4	10
159	в первом	2	10
160	как и	27	10
161	речь идет	3	10
162	так же	1	10
163	к этому	3	10
164	несмотря на	2	10
165	бы в	1	10
166	этом смысле	1	10
167	в общем	4	10
168	в то	8	10
169	вряд ли	1	10
170	после того	1	10
