N	4gram	Voloshinov	SlovoVZh
1	дело в том что	1	4
2	так как если бы	2	4
3	бы то ни было	11	3
4	не может быть и	4	2
5	но тем не менее	1	2
6	с одной стороны и	1	2
7	одно и то же	3	2
8	же самое справедливо и	2	2
9	то же самое справедливо	2	2
10	одна и та же	1	1
11	не может быть понято	1	1
12	бы они ни были	1	1
13	ни в какой степени	1	1
14	на самом же деле	5	1
15	какой бы то ни	3	1
16	но в то же	6	1
17	следовательно только в процессе	1	1
18	как мы уже сказали	1	1
19	ни на один миг	1	1
20	одним и тем же	2	1
21	все более и более	2	1
22	так же как и	2	1
23	социальной группы к которой	1	1
24	от каких бы то	2	1
25	группы к которой принадлежит	1	1
26	внутренней и внешней речи	1	1
27	в процессе социального взаимодействия	1	1
28	ни в коем случае	2	1
29	бы оно ни было	1	1
30	в коем случае нельзя	1	1
31	до сих пор не	1	1
32	и не может быть	5	1
33	до сих пор мы	1	1
34	каких бы то ни	3	1
35	самое справедливо и относительно	2	1
36	в какой степени не	1	1
37	в то же время	7	1
38	более или менее широким	1	1
39	той социальной группы к	1	1
40	справедливо и относительно всех	1	1
41	один и тот же	3	1
42	находит свое выражение в	1	1
