N	2gram	Bakhtin_Fr	Tragedij
1	и в	105	18
2	в романе	8	10
3	в этом	22	9
4	в году	13	9
5	не только	24	8
6	и на	25	7
7	и не	34	7
8	может быть	11	7
9	и с	8	7
10	как бы	33	7
11	что он	5	6
12	у него	2	6
13	же время	5	6
14	в образе	1	6
15	но в	16	6
16	и его	24	6
17	это не	4	5
18	несмотря на	5	5
19	так и	16	5
20	к жизни	2	5
21	это очень	2	5
22	все же	10	5
23	в дальнейшем	10	5
24	то же	6	5
25	как и	15	5
26	не может	9	5
27	в то	5	5
28	что в	4	4
29	в себе	7	4
30	и даже	10	4
31	он всегда	2	4
32	все это	16	4
33	прежде всего	26	4
34	и все	7	4
35	я не	1	4
36	этот образ	1	4
37	об этом	2	4
38	еще не	8	4
39	но и	20	4
40	том что	9	4
41	так же	2	4
42	то что	7	4
43	в этой	11	4
44	в нем	16	4
45	но это	5	4
46	в целом	3	4
47	своего рода	2	3
48	и он	3	3
49	что с	1	3
50	один из	5	3
51	в основном	4	3
52	уже в	5	3
53	в его	24	3
54	для него	12	3
55	в своем	11	3
56	с ним	6	3
57	о чем	3	3
58	и сам	2	3
59	что за	1	3
60	в конце	3	3
61	и как	2	3
62	в мире	1	3
63	как в	6	3
64	никто не	1	3
65	то есть	71	3
66	при этом	10	3
67	жизнь и	3	3
68	на страницах	2	3
69	как это	1	3
70	тем самым	1	3
71	к людям	1	3
72	с ее	3	3
73	все эти	15	3
74	к нему	5	3
75	в самом	7	2
76	лицо его	2	2
77	вместе со	1	2
78	еще раз	4	2
79	xix веке	2	2
80	и здесь	4	2
81	это был	3	2
82	и за	2	2
83	в том	17	2
84	это уже	4	2
85	он и	3	2
86	с тем	1	2
87	в ее	5	2
88	говорит о	2	2
89	что и	2	2
90	отказывается от	1	2
91	ни в	1	2
92	но при	2	2
93	по словам	1	2
94	что все	1	2
95	не могут	4	2
96	в виде	1	2
97	его в	7	2
98	как же	1	2
99	не в	4	2
100	но этого	1	2
101	но все	5	2
102	но эта	2	2
103	было в	1	2
104	из самых	1	2
105	еще в	3	2
106	от всего	3	2
107	в таком	2	2
108	одном из	1	2
109	вряд ли	1	2
110	состоит из	1	2
111	имеет в	1	2
112	знает что	1	2
113	и это	3	2
114	нет в	1	2
115	но особенно	1	2
116	под влиянием	3	2
117	уже не	3	2
118	к тому	3	2
119	о том	5	2
120	перед нами	1	2
121	не был	1	2
122	что эти	1	2
123	бросается в	1	2
124	только к	1	2
125	что этот	1	2
126	отличие от	5	2
127	раз и	2	2
128	он был	3	2
129	то и	1	2
130	потому что	6	2
131	так что	1	2
132	времени в	1	2
133	он не	3	2
134	по поводу	2	2
135	в частности	6	2
136	но они	4	2
137	в это	2	2
138	в одном	8	2
139	в письмах	1	2
140	говорит что	1	2
141	и до	6	2
142	в глаза	1	2
143	в отличие	4	2
144	отношение к	9	2
145	году в	3	2
146	в самую	1	2
147	о его	1	2
148	до конца	4	2
149	который в	1	2
150	одна из	5	2
151	с его	9	2
152	а как	1	2
153	не мог	1	2
154	тем что	5	2
155	не просто	3	2
156	и ее	1	2
157	никогда не	11	2
158	в известной	7	2
159	ничего не	3	2
160	жизнью и	1	2
161	друг друга	3	2
162	не выдерживает	1	1
163	в той	5	1
164	в особенности	7	1
165	во всем	5	1
166	очень характерный	1	1
167	с помощью	1	1
168	в кругу	1	1
169	от него	2	1
170	его романа	1	1
171	этом случае	1	1
172	могут быть	4	1
173	только не	1	1
174	проникает в	2	1
175	в последующих	7	1
176	с последним	1	1
177	самостоятельное значение	1	1
178	мы видим	2	1
179	в большую	1	1
180	в центре	1	1
181	в прошлое	3	1
182	в настоящем	1	1
183	и мира	2	1
184	этого мотива	1	1
185	мы встречаем	1	1
186	таким образом	5	1
187	мог быть	1	1
188	смотреть на	1	1
189	маски в	1	1
190	над всем	1	1
191	под маской	1	1
192	он перестает	1	1
193	что наконец	1	1
194	не знал	1	1
195	условие ее	1	1
196	с начала	1	1
197	того как	1	1
198	вступил в	1	1
199	главное для	1	1
200	почти не	2	1
201	перестает быть	3	1
202	с одной	2	1
203	и вот	5	1
204	должна быть	1	1
205	но еще	1	1
206	к себе	3	1
207	вот его	1	1
208	с этой	1	1
209	и при	1	1
210	ко всему	2	1
211	в применении	3	1
212	любовь к	1	1
213	на работу	1	1
214	года с	1	1
215	к числу	2	1
216	то для	1	1
217	но от	1	1
218	xii и	1	1
219	с образом	1	1
220	на деле	1	1
221	содержит в	2	1
222	к истории	1	1
223	позиция в	1	1
224	подчеркнуть что	2	1
225	что при	1	1
226	которым все	1	1
227	с этими	2	1
228	того что	3	1
229	и xiii	1	1
230	о нем	4	1
231	нам еще	1	1
232	а затем	4	1
233	для нас	5	1
234	его произведение	2	1
235	где он	1	1
236	по-видимому не	1	1
237	является чисто	1	1
238	в человеке	1	1
239	одно из	7	1
240	смысл этой	1	1
241	как он	1	1
242	как своего	1	1
243	xix века	6	1
244	роман в	1	1
245	в результате	1	1
246	на творчество	1	1
247	есть с	1	1
248	в виду	5	1
249	с собой	1	1
250	и теперь	1	1
251	только в	16	1
252	не столько	1	1
253	по себе	1	1
254	я первая	1	1
255	в самой	5	1
256	видит в	1	1
257	а на	1	1
258	не было	3	1
259	мире при	1	1
260	ко всем	1	1
261	в борьбе	1	1
262	в духе	9	1
263	но он	5	1
264	здесь мы	2	1
265	мы понимаем	1	1
266	мировой литературы	7	1
267	своей книге	3	1
268	говорит в	1	1
269	для постановки	1	1
270	он рассматривает	1	1
271	которые так	2	1
272	наших дней	1	1
273	выглядит в	1	1
274	начала в	5	1
275	явлений эпохи	1	1
276	и судьбы	2	1
277	одним из	4	1
278	и чисто	5	1
279	же по	1	1
280	эти образы	4	1
281	что не	3	1
282	развития в	2	1
283	в эпоху	17	1
284	нет он	1	1
285	не есть	1	1
286	xviii века	2	1
287	именно в	6	1
288	это право	1	1
289	представление о	2	1
290	вообще не	1	1
291	из популярнейших	2	1
292	но самое	2	1
293	перед миром	2	1
294	веке в	1	1
295	она стремится	1	1
296	из тех	2	1
297	начала является	1	1
298	в связи	2	1
299	лишь на	1	1
300	этой борьбе	1	1
301	с ними	2	1
302	и она	2	1
303	так часто	1	1
304	переплетается с	1	1
305	страха и	4	1
306	есть в	6	1
307	на земле	3	1
308	сливается с	1	1
309	в переводе	1	1
310	в своей	8	1
311	рядом с	9	1
312	за свое	1	1
313	вместе с	1	1
314	на этом	2	1
315	при таком	2	1
316	стремление к	2	1
317	жизни в	8	1
318	роль в	6	1
319	не менее	2	1
320	так сказать	5	1
321	была и	1	1
322	на все	5	1
323	целое на	2	1
324	еще к	1	1
325	контекст в	1	1
326	в xx	1	1
327	бы не	1	1
328	в такой	1	1
329	полноте и	1	1
330	со своей	1	1
331	но у	2	1
332	века в	5	1
333	средство для	1	1
334	именно эта	2	1
335	власти и	2	1
336	сравнению с	2	1
337	это было	2	1
338	но уже	1	1
339	выходящее за	1	1
340	романе в	1	1
341	вместе и	1	1
342	в стихах	1	1
343	xix век	1	1
344	шутов и	1	1
345	в чем	2	1
346	лишь бы	1	1
347	человеком и	1	1
348	и стал	1	1
349	цинизма и	1	1
350	дальнейшем этот	1	1
351	мира сего	1	1
352	это самое	1	1
353	года и	1	1
354	всем его	1	1
355	а из	1	1
356	становится не	1	1
357	бы в	2	1
358	в них	13	1
359	на них	3	1
360	нашему мнению	1	1
361	и образ	1	1
362	вдруг в	1	1
363	во всех	13	1
364	на свете	1	1
365	которых можно	1	1
366	во всяком	2	1
367	и потому	14	1
368	понятно что	2	1
369	это и	3	1
370	и дело	1	1
371	в жизнь	1	1
372	совершенно не	5	1
373	самое главное	1	1
374	но как	3	1
375	чем же	1	1
376	всего необходимо	2	1
377	не является	4	1
378	в противовес	1	1
379	это как	5	1
380	в котором	1	1
381	с самого	1	1
382	возвращается к	1	1
383	не могли	1	1
384	совершенно в	1	1
385	и новые	1	1
386	образов этой	1	1
387	применении к	3	1
388	своей любовнице	1	1
389	связи с	5	1
390	чувствует себя	1	1
391	называет его	2	1
392	хотя бы	2	1
393	она не	2	1
394	эти слова	1	1
395	этом мы	2	1
396	распространяется на	1	1
397	того чтобы	3	1
398	и если	1	1
399	власть и	1	1
400	века а	2	1
401	одну из	2	1
402	но не	7	1
403	в другом	2	1
404	силе и	1	1
405	между тем	5	1
406	необходимо подчеркнуть	1	1
407	xvii века	12	1
408	он раскрывал	2	1
409	в ней	7	1
410	вот почему	1	1
411	в быту	1	1
412	сохраняют свою	1	1
413	объясняется и	1	1
414	в условиях	15	1
415	в новой	2	1
416	самом деле	3	1
417	к своей	1	1
418	он стал	1	1
419	это по	2	1
420	только раз	1	1
421	в развитии	1	1
422	в которой	1	1
423	в образах	1	1
424	какой-то мере	1	1
425	лишь в	4	1
426	именно на	2	1
427	не понимает	4	1
428	только один	1	1
429	а не	1	1
430	а за	1	1
431	а по	1	1
432	все образы	1	1
433	значение для	2	1
434	только на	3	1
435	и их	3	1
436	очень хорошо	2	1
437	он именно	1	1
438	есть и	2	1
439	за свои	2	1
440	не могла	2	1
441	можно было	4	1
442	в форме	6	1
443	за пределы	10	1
444	к смерти	1	1
445	а между	1	1
446	конечно в	2	1
447	тем и	1	1
448	эта книга	1	1
449	мир на	1	1
450	в xix	2	1
451	отметим также	1	1
452	не вполне	3	1
453	относит к	2	1
454	в истории	5	1
455	даже самый	1	1
456	по своей	3	1
457	он есть	1	1
458	человека с	1	1
459	свое значение	1	1
460	над ним	1	1
461	человека и	4	1
462	говорили что	3	1
463	отметить что	2	1
464	на всю	4	1
465	или как	1	1
466	литературы и	7	1
467	должны были	1	1
468	жизни на	1	1
469	это его	2	1
470	и т.д	2	1
471	он еще	3	1
472	всего что	2	1
473	сохраняет свое	1	1
474	но этот	1	1
475	в какой-то	2	1
476	значение и	3	1
477	последнее слово	1	1
478	могло быть	1	1
479	знает и	2	1
480	известной степени	2	1
481	за этим	1	1
482	дистанция между	1	1
483	одному человеку	1	1
484	к ним	1	1
485	и еще	5	1
486	в эпизоде	2	1
487	не получил	2	1
488	ту сторону	1	1
489	в книге	3	1
490	он в	2	1
491	к ней	2	1
492	как мы	12	1
493	жизнь как	1	1
494	у себя	1	1
495	не для	2	1
496	и особенно	4	1
497	во многом	3	1
498	на две	1	1
499	и о	4	1
500	пародия на	3	1
501	претензии на	1	1
502	его как	1	1
503	образы и	1	1
504	и служит	1	1
505	наряду с	2	1
506	той же	1	1
507	и др	32	1
508	ответа на	1	1
509	но несмотря	3	1
510	по сравнению	2	1
511	самой природе	1	1
512	деле же	1	1
513	только по	1	1
514	считает что	1	1
515	характерно что	2	1
516	на пороге	1	1
517	тот самый	1	1
518	во времена	1	1
519	xx веке	1	1
520	по плечу	1	1
521	входит и	1	1
522	и от	3	1
523	роль играет	1	1
524	же слова	1	1
525	входят в	1	1
526	он показывает	1	1
527	в общем	4	1
528	и художественной	1	1
529	на этот	3	1
530	xx века	1	1
531	всегда оказывается	1	1
532	по улицам	1	1
533	любовь в	1	1
534	что без	1	1
535	для понимания	1	1
536	перед смертью	2	1
537	например в	3	1
538	году и	1	1
539	а это	1	1
540	заявляет что	1	1
541	время он	1	1
542	о своих	1	1
543	в литературе	9	1
544	в области	10	1
545	и по	3	1
546	не понял	1	1
547	и эта	5	1
548	нуждается в	1	1
549	для достижения	1	1
550	это в	5	1
551	стороне его	1	1
552	всяком случае	2	1
553	на котором	3	1
554	глаза в	1	1
555	конце концов	1	1
556	не из	1	1
557	поэтому за	1	1
558	носит в	1	1
559	он с	1	1
560	откровенностью и	1	1
561	за счет	1	1
562	и наконец	2	1
563	что на	1	1
564	вплоть до	2	1
565	шутки и	1	1
566	известной мере	6	1
567	не к	2	1
568	людей в	1	1
569	по нашему	1	1
570	поэтому он	1	1
571	сильнее и	1	1
