N	2gram	Tiupa_Teor	Otkroven
1	у него	2	22
2	и в	24	19
3	и не	17	13
4	но и	14	13
5	в этом	12	12
6	а не	14	11
7	не только	24	11
8	не в	9	11
9	может быть	22	11
10	вопрос о	1	10
11	человека и	2	10
12	в нем	7	10
13	потому что	3	9
14	прежде всего	3	9
15	не было	1	9
16	в самой	2	9
17	никогда не	4	9
18	от него	1	7
19	в его	12	7
20	ивана карамазова	1	7
21	он не	5	7
22	но он	4	7
23	лишь в	10	7
24	до конца	1	7
25	все это	2	6
26	как и	6	6
27	в самом	7	5
28	в том	20	5
29	для него	5	5
30	в этой	3	5
31	а в	15	5
32	отношение к	7	5
33	о его	2	5
34	то что	6	5
35	что в	10	4
36	только и	2	4
37	того чтобы	5	4
38	не может	8	4
39	человеческих отношений	2	4
40	что не	1	4
41	все эти	3	4
42	на земле	1	4
43	и его	11	4
44	его мысли	1	4
45	с его	6	4
46	только одно	1	3
47	в русской	6	3
48	и от	1	3
49	все что	1	3
50	чем на	1	3
51	и вот	3	3
52	это не	4	3
53	для того	5	3
54	с ним	1	3
55	быть может	1	3
56	в этих	4	3
57	не могут	2	3
58	в своих	1	3
59	как бы	8	3
60	было бы	1	3
61	могут быть	5	3
62	в себе	14	3
63	и есть	1	3
64	что он	4	3
65	никто не	3	3
66	человеческого духа	1	3
67	различие между	1	3
68	это было	2	3
69	и ее	4	3
70	о том	2	3
71	того что	5	3
72	к нему	2	3
73	еще не	6	3
74	свобода и	1	2
75	человека к	3	2
76	и к	3	2
77	как к	5	2
78	и потому	3	2
79	так и	14	2
80	что они	2	2
81	и то	3	2
82	и против	1	2
83	в душе	9	2
84	все же	1	2
85	не могли	2	2
86	так как	1	2
87	при чтении	2	2
88	должно быть	1	2
89	ничто не	1	2
90	в другом	4	2
91	совсем не	1	2
92	этом мире	2	2
93	личности и	4	2
94	так что	1	2
95	в своем	7	2
96	с тем	1	2
97	с которой	1	2
98	в которой	3	2
99	ее в	2	2
100	не все	3	2
101	одно из	1	2
102	что и	2	2
103	в уста	1	2
104	добро и	1	2
105	в истории	1	2
106	в единстве	1	2
107	его в	4	2
108	свободы и	1	2
109	должен был	1	2
110	их не	1	2
111	ведь это	1	2
112	мысль о	1	2
113	этого мира	1	2
114	он в	1	2
115	и о	5	2
116	сказать что	4	2
117	что для	1	2
118	тем что	1	2
119	него не	1	2
120	из всего	1	2
121	и на	2	2
122	с чем	2	2
123	что все	1	2
124	хотя и	4	2
125	не есть	1	2
126	в своей	8	2
127	момент в	1	2
128	жизни в	2	2
129	по себе	2	2
130	не имеет	1	2
131	том что	11	2
132	что достоевский	1	2
133	и для	3	2
134	в ее	6	2
135	своей жизни	2	2
136	но в	12	2
137	открытие и	1	1
138	мире это	2	1
139	и мир	1	1
140	ближе к	1	1
141	к одному	2	1
142	в каждом	1	1
143	не так	1	1
144	ни к	3	1
145	во внешнем	2	1
146	совершенно не	1	1
147	все и	1	1
148	том случае	1	1
149	человеческая личность	1	1
150	а с	3	1
151	не существует	1	1
152	в центре	1	1
153	самой жизни	1	1
154	и завершает	1	1
155	один из	2	1
156	в котором	1	1
157	и здесь	2	1
