N	4gram	Bakhtin_Pr	Vladivir
1	дело в том что	2	11
2	в то же время	8	9
3	и в то же	3	5
4	не что иное как	1	4
5	на самом же деле	2	3
6	как мы уже сказали	2	3
7	но дело в том	1	2
8	один и тот же	1	2
9	одно и то же	1	2
10	с точки зрения того	1	2
11	но в то же	3	2
12	есть не что иное	1	2
13	и не могло быть	1	1
14	как раз и не	1	1
15	состоит в том что	1	1
16	то что можно назвать	1	1
17	не с точки зрения	1	1
18	но тем не менее	1	1
19	у него как бы	1	1
20	в одной плоскости с	1	1
21	в дальнейшем мы будем	1	1
22	в них нет ничего	1	1
23	но это конечно не	1	1
24	однако нам кажется что	1	1
25	не может быть никаких	2	1
26	тем не менее он	1	1
27	в письме к страхову	1	1
28	нет и не может	3	1
29	то что он не	1	1
30	одной и той же	1	1
31	в собственном смысле слова	1	1
32	а может быть и	1	1
33	рассказ о том что	1	1
34	не чем иным как	1	1
35	мы уже знаем что	1	1
36	дальнейшем мы будем называть	1	1
37	мы имеем дело с	1	1
38	с самого начала в	1	1
39	в строгом смысле слова	1	1
40	мы находим у достоевского	1	1
41	на то что он	1	1
42	и в конце концов	1	1
43	говорит в письме к	1	1
44	мы не будем здесь	1	1
45	самом же деле это	1	1
46	и не может быть	5	1
