N	3gram	Tiupa_Anal	EvropaiE
1	с точки зрения	2	16
2	в то же	7	15
3	то же время	7	14
4	с одной стороны	3	8
5	в том что	12	6
6	как нам кажется	3	5
7	для того чтобы	1	5
8	того или иного	5	4
9	той или иной	6	4
10	само по себе	1	4
11	не только в	5	4
12	в той или	2	3
13	в применении к	1	3
14	можно было бы	1	3
15	в этом смысле	1	3
16	же как и	1	3
17	как бы ни	1	3
18	хотя бы и	1	3
19	ту или иную	1	3
20	между тем в	2	3
21	во всяком случае	6	3
22	можно сказать что	2	3
23	и прежде всего	2	3
24	в известном смысле	2	3
25	в этом отношении	3	3
26	так и в	1	2
27	в одном из	1	2
28	а тем более	2	2
29	в качестве таковой	1	2
30	прежде всего к	1	2
31	не может быть	2	2
32	в большинстве случаев	1	2
33	в данном случае	11	2
34	заключается в том	1	2
35	имеет место в	1	2
36	друг от друга	1	2
37	в свою очередь	7	2
38	с другой стороны	7	2
39	не более чем	2	2
40	из того что	1	2
41	не говоря уже	1	2
42	во многих отношениях	2	1
43	хотя и не	1	1
44	в противном случае	2	1
45	в одной из	2	1
46	именно потому что	1	1
47	то есть в	1	1
48	дело в том	3	1
49	смысле этого слова	1	1
50	пределах одного и	1	1
51	речь идет о	2	1
52	не сводится к	1	1
53	но и в	2	1
54	во второй его	1	1
55	в полной мере	3	1
56	качестве одного из	1	1
57	в этом мире	1	1
58	тех или иных	1	1
59	и далее в	1	1
60	и тем самым	2	1
61	в соответствии с	2	1
62	в отличие от	5	1
63	в себе не	1	1
64	то что с	1	1
65	в отношении которого	1	1
66	и того же	4	1
67	тех случаях когда	1	1
68	один и тот	1	1
69	не могут быть	1	1
70	следует оговориться что	1	1
71	мог бы дать	1	1
72	мы не станем	1	1
73	что же касается	1	1
74	в связи с	1	1
75	как это случается	1	1
76	и тот же	1	1
77	же время в	2	1
78	в пределах одного	1	1
79	но как бы	1	1
80	что мы знаем	1	1
81	говоря уже о	1	1
82	существенное значение в	1	1
83	в то время	1	1
84	что в этом	1	1
85	принадлежат к числу	1	1
86	в значительной степени	3	1
87	в качестве одного	1	1
88	на этот вопрос	1	1
89	в тех случаях	1	1
90	к тому же	7	1
91	совершенно очевидно что	2	1
92	одного и того	4	1
93	и в эту	1	1
