N	3gram	Medvedev_U	Istorich
1	с другой стороны	3	46
2	до сих пор	2	30
3	в этом случае	1	29
4	с одной стороны	1	28
5	в том что	2	25
6	не может быть	4	24
7	мы имеем в	1	19
8	не только в	1	19
9	в данном случае	1	15
10	на то что	1	14
11	друг с другом	1	9
12	более или менее	1	9
13	то же самое	2	8
14	и то что	2	8
15	с тем что	1	7
16	на первый взгляд	1	7
17	но это не	1	6
18	в своей работе	1	6
19	все же не	1	6
20	так или иначе	1	4
21	же самое что	1	4
22	тем что он	1	4
23	можно сказать что	1	4
24	не в том	1	3
25	само по себе	1	3
26	то ни было	3	3
27	бы то ни	3	3
28	еще ничего не	2	3
29	и не только	1	3
30	она все же	1	2
31	в самом деле	2	2
32	быть не может	1	2
33	сам по себе	1	2
34	имеются не только	1	2
35	а не только	1	2
36	на первый план	1	2
37	может быть в	1	2
38	не могут быть	2	2
39	том что она	1	2
40	и в конце	1	2
41	и прежде всего	1	2
42	в изобразительном искусстве	1	2
43	то что было	1	2
44	большей или меньшей	1	2
45	равно как и	1	2
46	дело конечно не	1	2
47	другой стороны в	1	2
48	это было бы	1	2
49	это не вполне	1	1
50	но не могут	1	1
51	они до сих	1	1
52	этого не было	1	1
53	таким образом на	1	1
54	и у других	1	1
55	то что еще	1	1
56	в ней не	1	1
57	если бы это	1	1
58	что она все	1	1
59	в отдельности и	1	1
60	о нем но	1	1
61	свойственна не только	1	1
62	по существу то	1	1
63	не входит в	1	1
64	а как живой	1	1
65	и с другой	1	1
66	вот почему и	1	1
67	это не все	1	1
68	оно все же	1	1
69	этого сложного и	1	1
70	в буквальном смысле	1	1
71	и в различных	1	1
72	вообще очень часто	1	1
73	в частности с	1	1
74	есть ли для	1	1
75	но он уже	1	1
76	в этом смысле	2	1
77	уже знакомый нам	1	1
78	нас до сих	1	1
79	и не случайно	1	1
80	он может быть	1	1
81	и в частности	2	1
82	у нас в	1	1
83	и только этот	1	1
84	что по его	1	1
85	для тех кто	1	1
86	на своем месте	1	1
87	для всех этих	1	1
88	никогда не может	1	1
89	все это в	1	1
90	в большей или	1	1
91	кого бы то	1	1
92	еще один пример	1	1
93	она сводится к	1	1
94	сводится к следующему	1	1
95	то что все	1	1
96	в этом отношении	2	1
97	у нас до	1	1
98	но прежде всего	1	1
99	тех или иных	2	1
100	не случайно и	1	1
101	это верно но	1	1
102	то же время	3	1
103	часто встречается у	1	1
104	в широком смысле	1	1
105	ли для этого	1	1
106	одним из самых	1	1
107	в сторону от	1	1
108	конечно не в	1	1
109	только в этом	1	1
110	в то же	3	1
111	все же остается	1	1
112	в противном случае	2	1
113	они находятся в	1	1
114	он прежде всего	1	1
115	но в то	1	1
116	часто бывает что	1	1
117	они относятся к	1	1
118	и все они	1	1
