N	3gram	Bakhtin_Pr	Komedia
1	в том что	10	29
2	в то же	10	16
3	то же время	10	16
4	до сих пор	3	16
5	в самом деле	5	13
6	о том что	5	13
7	для того чтобы	3	11
8	в то время	3	11
9	по отношению к	17	9
10	то время как	2	9
11	с другой стороны	3	8
12	и в самом	1	8
13	бы то ни	3	7
14	в конце концов	7	7
15	то ни было	2	7
16	с самого начала	3	7
17	во всяком случае	3	7
18	в отличие от	3	6
19	в том числе	1	6
20	с точки зрения	21	6
21	хоть и не	1	6
22	то же самое	1	5
23	в этом отношении	7	5
24	тем не менее	1	5
25	том что он	4	5
26	в самом начале	3	4
27	в одном из	3	4
28	что у него	1	4
29	именно потому что	3	4
30	к тому что	1	4
31	но все же	3	4
32	по сравнению с	2	4
33	независимо от того	1	4
34	можно было бы	4	4
35	что и в	1	4
36	мы можем судить	1	4
37	в той же	3	3
38	то что он	1	3
39	друг от друга	2	3
40	более или менее	1	3
41	друг с другом	4	3
42	хотя и не	1	3
43	в высшей степени	2	3
44	равно как и	1	3
45	на протяжении всего	2	3
46	в чем же	1	3
47	может быть даже	2	3
48	таким образом в	2	3
49	в новое время	1	3
50	том числе и	1	3
51	мере в какой	1	2
52	а может быть	2	2
53	с полным правом	1	2
54	как будто бы	1	2
55	и даже не	1	2
56	в большинстве случаев	3	2
57	в каждом из	2	2
58	в этом смысле	12	2
59	же что и	1	2
60	с этой точки	1	2
61	он и не	3	2
62	всю свою жизнь	1	2
63	или может быть	1	2
64	так и в	1	2
65	у него в	1	2
66	каждый из них	1	2
67	в первом случае	1	2
68	в отношении к	1	2
69	в зависимости от	5	2
70	друг за другом	1	2
71	точно так же	1	2
72	и в то	3	2
73	из них не	1	2
74	у него не	1	2
75	видеть в нем	1	2
76	и в том	2	2
77	друг друга и	2	2
78	так и не	1	2
79	и в дальнейшем	1	2
80	этой точки зрения	3	2
81	ни одной из	1	2
82	таким образом и	1	2
83	подобно тому как	5	2
84	так же как	4	2
85	имеем в виду	2	2
86	не только в	2	2
87	мы имеем в	2	2
88	в этом случае	1	2
89	как мы видели	3	2
90	тем более что	2	2
91	ни в одном	1	2
92	ставит нас перед	1	2
93	потому что по	1	2
94	что он говорит	1	1
95	но все эти	1	1
96	как мы их	1	1
97	не может служить	1	1
98	но и не	2	1
99	в этот период	1	1
