N	2gram	Voloshinov	IolandNe
1	стр и	1	7
2	стр не	1	4
3	стр а	1	3
4	что в	3	2
5	так напр	1	2
6	бы что	1	2
7	и не	8	2
8	в этом	2	2
9	говорить о	3	1
10	все эти	2	1
11	для того	1	1
12	а в	2	1
13	и о	1	1
14	для него	2	1
15	вплоть до	1	1
16	тем что	2	1
17	только что	1	1
18	того же	1	1
19	явлений стр	1	1
20	художественного творчества	1	1
21	и др	2	1
22	и задача	2	1
23	с другой	2	1
24	но когда	1	1
25	в целом	2	1
26	точно и	1	1
27	значительной мере	1	1
28	другой стороны	2	1
29	произведения и	1	1
30	в материале	5	1
31	что при	1	1
32	если бы	2	1
33	отношению к	3	1
34	по поводу	1	1
35	и тот	1	1
36	а также	2	1
37	так и	3	1
38	художественном творчестве	1	1
39	автора и	1	1
40	в основе	1	1
41	в значительной	1	1
42	ничего в	1	1
43	следовательно в	1	1
44	от этого	2	1
45	того чтобы	1	1
46	другое дело	1	1
47	бы в	2	1
48	и в	13	1
49	никогда не	3	1
50	все это	4	1
51	по отношению	3	1
52	со всеми	1	1
53	как о	1	1
54	в них	2	1
