N	4gram	Vygotskiy_	Tvorches
1	в то же время	1	24
2	дело в том что	2	4
3	в том что в	2	3
4	заключается в том что	6	2
5	с такой силой как	2	1
6	не что иное как	2	1
7	равно как и на	1	1
8	и в романе мы	1	1
9	а с другой стороны	3	1
10	в конце концов к	1	1
11	сами по себе не	1	1
12	и мы знаем что	1	1
13	и что в нем	2	1
14	ясно как день что	1	1
15	одна и та же	2	1
16	ни в чем не	1	1
17	одного и того же	2	1
18	и в самом деле	2	1
19	и т д и	1	1
20	т д и т	1	1
21	ответ на этот вопрос	2	1
22	что у нас не	1	1
23	в самом деле как	1	1
24	бы то ни было	1	1
25	которые сами по себе	1	1
26	что с точки зрения	1	1
27	так же как и	1	1
28	столь же ясно что	1	1
29	и та же самая	1	1
30	д и т д	1	1
31	и в свою очередь	1	1
