N	3gram	Nazirov_Vr	Formalny
1	с точки зрения	2	40
2	не может быть	2	29
3	то же время	4	20
4	в то же	4	20
5	в связи с	3	16
6	во всяком случае	1	16
7	в этом отношении	1	11
8	с другой стороны	1	9
9	и не может	1	9
10	до сих пор	1	8
11	в высшей степени	1	7
12	в свою очередь	1	7
13	и в этом	1	7
14	в том что	2	6
15	и в то	1	6
16	не только не	1	6
17	может быть и	1	6
18	в этом смысле	1	5
19	связи с этим	1	5
20	в той же	1	4
21	тем не менее	1	4
22	в конце концов	1	4
23	быть и речи	1	3
24	на первый план	1	3
25	равно как и	1	3
26	но в то	2	3
27	о том как	1	2
28	но при этом	1	2
29	но в этом	1	2
30	и все же	5	2
31	в это время	1	2
32	же время и	1	2
33	так же как	1	2
34	что в нем	1	2
35	это то что	1	1
36	в этот период	1	1
37	такая же как	1	1
38	можно говорить об	1	1
39	в литературе и	1	1
40	что в ней	1	1
41	одним из первых	1	1
42	он и не	1	1
43	что они не	1	1
44	в том же	1	1
45	то что они	1	1
46	а с точки	1	1
47	и то же	1	1
48	с помощью которых	1	1
49	все же в	1	1
50	это не просто	1	1
51	в конце жизни	1	1
52	и никогда не	1	1
53	а с другой	1	1
54	они как бы	1	1
55	к вопросу о	1	1
56	но не менее	1	1
57	в литературной среде	1	1
58	на то что	1	1
59	не с точки	1	1
60	о том что	1	1
61	по крайней мере	1	1
62	и в самом	1	1
63	а следовательно и	1	1
64	идет не об	1	1
65	в то время	1	1
66	все же не	1	1
67	но для нас	1	1
68	не было бы	1	1
69	по преимуществу на	1	1
70	одно и то	1	1
71	заключается в том	1	1
72	и что в	2	1
73	тем что он	1	1
74	более того в	1	1
75	это и есть	1	1
76	между прочим и	1	1
77	его отношение к	1	1
