N	2gram	Trubetskoy	VelikijI
1	во имя	3	32
2	и не	9	20
3	и в	24	16
4	так как	7	9
5	то что	18	9
6	в истории	3	8
7	еще не	6	8
8	и потому	3	7
9	что они	2	7
10	а не	1	7
11	на земле	3	7
12	не есть	4	6
13	хотя и	4	5
14	того что	7	5
15	все это	13	5
16	по пути	1	5
17	как бы	10	5
18	на себя	1	5
19	в мире	6	5
20	но и	11	5
21	все что	10	4
22	в котором	2	4
23	в этом	13	4
24	что мы	4	4
25	потому что	9	4
26	в его	5	4
27	в ней	3	4
28	всех существ	1	4
29	так и	10	4
30	говорить о	2	4
31	и все	9	4
32	что все	5	4
33	как и	10	4
34	что он	7	4
35	мира от	1	4
36	и я	1	4
37	в нем	3	4
38	во всех	10	3
39	что в	9	3
40	нет ничего	1	3
41	за ним	1	3
42	то это	1	3
43	в конце	4	3
44	должно быть	5	3
45	хотя бы	4	3
46	в том	31	3
47	тому что	2	3
48	от которого	2	3
49	не в	9	3
50	и что	9	3
51	что и	7	3
52	в этих	3	3
53	в них	2	3
54	в вопросе	2	3
55	не было	2	3
56	лишь в	5	3
57	что во	1	3
58	и будет	2	3
59	в жизни	3	3
60	что я	1	3
61	по этому	2	3
62	как не	2	3
63	их от	1	3
64	их в	2	3
65	в своей	1	3
66	должна быть	6	3
67	с его	1	3
68	от этого	1	3
69	не имеет	2	3
70	и для	6	3
71	жизни и	2	3
72	все эти	19	3
73	тот же	3	3
74	но в	5	3
75	к тому	8	3
76	за то	1	3
77	никогда не	4	3
78	человечества на	1	2
79	всего в	1	2
80	во всяком	2	2
81	от него	3	2
82	государство не	1	2
83	ее и	4	2
84	мире если	1	2
85	что от	1	2
86	а к	2	2
87	один из	1	2
88	мы и	2	2
89	они и	1	2
90	самого себя	4	2
91	которые не	3	2
92	и люди	1	2
93	на том	2	2
94	не создает	1	2
95	не так	4	2
96	того чтобы	8	2
97	это не	3	2
98	это все	1	2
99	вместо того	1	2
100	между тем	12	2
101	не только	10	2
102	для него	2	2
103	с ним	6	2
104	на этих	1	2
105	не будет	5	2
106	основанную на	2	2
107	ее в	1	2
108	для нас	3	2
109	и то	4	2
110	своей истории	1	2
111	на нас	3	2
112	прежде всего	3	2
113	а есть	1	2
114	лишь из	1	2
115	можно было	1	2
116	людей и	1	2
117	а между	8	2
118	ценности и	2	2
119	и это	3	2
120	от этих	1	2
121	мы не	1	2
122	конечно не	3	2
123	только в	6	2
124	а с	4	2
125	те которые	1	2
126	а в	3	2
127	будет уже	1	2
128	в духе	1	2
129	в прошлом	1	2
130	истории и	1	2
131	и сам	2	2
132	человечества а	1	2
133	более всех	1	2
134	человечество не	1	2
135	нет и	1	2
136	раз навсегда	1	2
137	но не	3	2
138	у людей	1	2
139	и будут	1	2
140	тем что	1	2
141	по которым	1	2
142	могут быть	1	2
143	с тем	4	2
144	давно уже	2	2
145	о высшем	1	2
146	будут считать	1	2
147	одна из	2	2
148	стало возможным	1	2
149	его к	1	2
150	не могут	4	2
151	да и	1	2
152	том что	20	2
153	для их	1	2
154	но мы	1	2
155	в себя	2	2
156	что их	3	2
157	уже не	1	2
158	вопросе о	2	2
159	мира в	1	2
160	не к	1	2
161	от своей	2	2
162	основанной на	1	1
163	с которыми	2	1
164	в самом	8	1
165	во всем	3	1
166	же часто	1	1
167	бы то	3	1
168	ли они	1	1
169	в религиозном	1	1
170	перестает быть	1	1
171	и другие	1	1
172	то есть	2	1
173	люди что	1	1
174	а потому	5	1
175	но как	2	1
176	все в	2	1
177	мы видим	1	1
178	что оно	3	1
179	всех частей	1	1
180	на котором	1	1
181	сами же	1	1
182	будто бы	1	1
183	и на	6	1
184	ничем не	5	1
185	она и	1	1
186	вопрос о	3	1
187	без такого	1	1
188	и которую	1	1
189	на этом	2	1
190	же и	1	1
191	может быть	17	1
192	чтобы заставить	1	1
193	они не	2	1
194	признают себя	1	1
195	видим что	1	1
196	между собою	5	1
197	современной культуры	1	1
198	и свою	1	1
199	если в	1	1
200	и нам	1	1
201	ее на	1	1
202	быте и	1	1
203	одно целое	1	1
204	того как	1	1
205	эта не	1	1
206	нас но	1	1
207	и вообще	3	1
208	всего можно	1	1
209	человечество и	1	1
210	забота о	1	1
211	и вот	1	1
212	она не	2	1
