N	4gram	Tiupa_Lite	Narrotol
1	в то же время	12	8
2	состоит в том что	6	6
3	мы имеем дело с	1	5
4	дело в том что	2	3
5	дело не только в	2	2
6	и не может быть	1	2
7	едва ли не наиболее	1	2
8	и в то же	1	2
9	одного и того же	1	2
10	в войне и мире	1	2
11	между двумя или несколькими	1	2
12	одно и то же	1	2
13	человеческого я в мире	1	2
14	остается неизвестен и который	1	1
15	стать и пребывать самим	1	1
16	с этой точки зрения	3	1
17	присутствия я в мире	1	1
18	с одной стороны и	1	1
19	креативного и рецептивного сознаний	1	1
20	состоит при этом в	1	1
21	литературная классика xix столетия	1	1
22	первого и второго лица	1	1
23	бы то ни было	1	1
24	то же время у	1	1
25	который всегда всему свету	1	1
26	его знакомых и друзей	1	1
27	по образованию филолог но	1	1
28	который известен только им	1	1
29	и который известен только	1	1
30	в формах художественного письма	3	1
31	к себе самому и	1	1
32	свету остается неизвестен и	1	1
33	в том что он	1	1
34	но служит в банке	1	1
35	пребывания в мире а	1	1
36	не несет в себе	1	1
37	всему свету остается неизвестен	1	1
38	от первого лица в	1	1
39	согласно весьма точной характеристике	1	1
40	он не может быть	1	1
41	неизвестен и который известен	1	1
42	одним и тем же	1	1
43	во всяком случае в	1	1
44	филолог но служит в	1	1
45	какой бы то ни	1	1
46	в не меньшей степени	1	1
47	образованию филолог но служит	1	1
48	всегда всему свету остается	1	1
49	без другого в этом	1	1
