N	3gram	Vinokur_Vv	Sovremen
1	с точки зрения	4	5
2	в зависимости от	3	4
3	не может быть	10	4
4	не может не	1	3
5	с самого начала	1	3
6	в свою очередь	2	2
7	то же самое	3	2
8	во всяком случае	5	2
9	тем не менее	9	2
10	в отличие от	4	2
11	в настоящее время	1	2
12	может быть и	2	2
13	есть не что	3	1
14	все же в	1	1
15	все же это	1	1
16	не было бы	1	1
17	всяком случае не	2	1
18	то ни было	1	1
19	xix в и	1	1
20	только так как	1	1
21	в том что	15	1
22	и именно в	3	1
23	на самом деле	1	1
24	не могут быть	2	1
25	в и в	1	1
26	но это уже	1	1
27	до сих пор	7	1
28	одной стороны и	3	1
29	мы говорим о	1	1
30	влечет за собой	2	1
31	до наших дней	2	1
32	в свое время	3	1
33	представление о том	1	1
34	но уже в	1	1
35	не что иное	5	1
36	в связи с	2	1
37	может быть в	2	1
38	в обоих случаях	1	1
39	в самом деле	6	1
40	какой бы то	1	1
41	дело в том	3	1
42	тот факт что	1	1
43	и могут быть	1	1
44	как мы видим	1	1
45	той или иной	3	1
46	что иное как	5	1
47	в данном случае	4	1
48	все это делает	1	1
49	но все же	4	1
50	мы уже знаем	2	1
51	таким образом вся	1	1
52	это то же	1	1
53	и прежде всего	1	1
54	и той же	2	1
55	но если мы	1	1
56	когда мы говорим	1	1
57	с одной стороны	4	1
58	одной и той	2	1
59	в известном смысле	3	1
60	в одном случае	1	1
61	так же как	1	1
62	то же время	6	1
63	не в том	2	1
64	что в ней	1	1
65	а не только	1	1
66	и что следовательно	2	1
67	из этих двух	1	1
68	быть и речи	1	1
69	по отношению к	4	1
70	в том как	1	1
71	в то же	6	1
72	но ведь это	1	1
73	бы то ни	1	1
74	заключает в себе	1	1
75	как он выражается	2	1
76	на этот вопрос	5	1
77	не вытекает из	1	1
78	и в этом	4	1
79	данном случае и	1	1
80	по крайней мере	4	1
81	и его представители	1	1
82	в этом случае	6	1
83	и есть то	1	1
84	же самое что	2	1
85	можно было бы	4	1
86	в этом смысле	10	1
87	цель и в	1	1
88	из которых в	1	1
89	же это не	1	1
90	может быть только	1	1
