N	2gram	Nazirov_Tr	Retstnzi
1	не может	5	4
2	и в	18	3
3	достоевского и	1	2
4	в центре	1	2
5	один из	3	2
6	в особенности	1	1
7	несмотря на	5	1
8	может быть	7	1
9	не только	8	1
10	событий и	1	1
11	для него	3	1
12	ситуации и	1	1
13	в ней	1	1
14	связи с	1	1
15	не из	1	1
16	по делу	1	1
17	в его	3	1
18	не менее	1	1
19	но и	4	1
20	впадает в	1	1
21	мы видим	1	1
22	второй части	1	1
23	к тому	2	1
24	не смог	1	1
25	тому что	1	1
26	как искусство	1	1
27	в то	5	1
28	он в	1	1
29	же время	6	1
30	то же	5	1
31	а не	1	1
32	бы в	1	1
33	и должно	1	1
34	и не	7	1
35	на нее	1	1
36	и все	4	1
37	и на	7	1
38	русской литературы	2	1
