N	4gram	Trubetskoy	KulturaY
1	в то же время	2	6
2	с этой точки зрения	1	5
3	не говоря уже о	1	5
4	состоит в том что	1	4
5	одного и того же	3	4
6	до сих пор еще	1	4
7	заключается в том что	3	4
8	но для того чтобы	1	3
9	в том случае если	4	3
10	говоря уже о том	1	3
11	только в том случае	1	3
12	уже о том что	1	3
13	лишь в том случае	2	3
14	в том что он	1	3
15	но с другой стороны	1	3
16	в тех случаях когда	1	3
17	не в том что	1	3
18	о котором идет речь	5	2
19	для того чтобы быть	2	2
20	в каждый данный момент	3	2
21	а в том что	1	2
22	одной и той же	1	2
23	в самом широком смысле	1	2
24	на то обстоятельство что	1	2
25	в том что оно	1	2
26	в том что так	1	1
27	по отношению к таким	1	1
28	в том и в	1	1
29	что это действительно так	1	1
30	что же касается до	2	1
31	и в голову не	1	1
32	в широком смысле слова	1	1
33	которой мы говорили выше	1	1
34	в самом деле ведь	1	1
35	ни то ни другое	1	1
36	том и в другом	1	1
37	что тот или иной	1	1
38	одно и то же	1	1
39	то это потому что	1	1
40	дело в том что	1	1
41	и не может быть	1	1
42	между тем вопрос о	1	1
43	котором идет речь в	1	1
44	которое на самом деле	1	1
45	о том что он	1	1
46	в то время как	1	1
47	указание на то что	1	1
48	также и то что	1	1
49	друг от друга в	1	1
50	а может быть и	1	1
51	то же самое что	1	1
52	стоит в связи с	1	1
53	и в другом случае	1	1
54	есть ничто иное как	1	1
55	в том или ином	1	1
56	и в том и	1	1
57	несмотря на то что	2	1
58	на самом деле есть	1	1
59	который как мы видели	1	1
60	том случае если бы	1	1
61	не трудно видеть что	1	1
62	бы то ни было	3	1
63	и с точки зрения	1	1
64	в этом последнем случае	1	1
65	в целом ряде случаев	1	1
66	о которых идет речь	3	1
67	приводит к тому что	1	1
68	в зависимости от среды	1	1
69	о которой мы говорили	2	1
70	как мы видели выше	1	1
71	если бы нам удалось	1	1
