N	3gram	Potebnia_M	Hudozhes
1	по отношению к	10	10
2	в том что	22	8
3	в то же	8	7
4	то же время	8	7
5	с другой стороны	4	6
6	более или менее	6	6
7	для того чтобы	5	5
8	состоит в том	1	5
9	так или иначе	1	4
10	не может быть	7	4
11	с точки зрения	2	3
12	в этом смысле	2	3
13	и в самом	3	3
14	тем не менее	7	3
15	можно сказать что	3	3
16	и то же	7	3
17	одного и того	2	3
18	одно и то	7	3
19	подобно тому как	3	3
20	и того же	2	3
21	с одной стороны	4	3
22	в свою очередь	6	2
23	бы то ни	1	2
24	искусства может быть	1	2
25	в том и	1	2
26	в самом деле	1	2
27	в таком случае	2	2
28	в противном случае	1	2
29	том и состоит	1	2
30	том что он	2	2
31	то ни было	1	2
32	на наших глазах	1	2
33	значении этого слова	1	2
34	сама по себе	3	2
35	к тому что	3	2
36	может быть названо	1	2
37	может быть и	1	2
38	быть не может	2	1
39	что он не	3	1
40	может и не	1	1
41	в художественном произведении	1	1
42	то же художественное	1	1
43	а можно только	1	1
44	и как бы	2	1
45	все то что	2	1
46	то есть в	1	1
47	может быть назван	3	1
48	себе еще не	1	1
49	и тем же	4	1
50	по себе а	4	1
51	себя и что	1	1
52	ни прибавить ни	1	1
53	заключающее в себе	1	1
54	форма в которой	3	1
55	заключает в себе	10	1
56	единиц различного объема	1	1
57	себе отчет в	1	1
58	по крайней мере	8	1
59	заключается в том	1	1
60	к субъекту и	1	1
61	к нему как	2	1
62	но в таком	1	1
63	не была бы	1	1
64	о том что	5	1
65	в душе хотя	1	1
66	в свое время	1	1
67	одной стороны и	1	1
68	отчет в том	1	1
69	как и в	3	1
70	не только к	1	1
71	место в системе	2	1
72	как один из	1	1
73	для себя и	1	1
74	состоит не в	2	1
75	в таких случаях	2	1
76	не в состоянии	4	1
77	в том в	1	1
78	не об отсутствии	1	1
79	на свое место	1	1
80	тем и другим	2	1
81	художественное произведение и	1	1
82	в этих случаях	1	1
83	друг от друга	2	1
84	в настоящее время	1	1
85	в то время	7	1
86	но на деле	1	1
87	отношению к нему	1	1
88	том что она	1	1
89	бы ни был	2	1
90	прибавить ни убавить	1	1
91	в чем состоит	1	1
92	по поводу этой	1	1
93	того что не	1	1
94	то есть от	2	1
95	в себе никаких	1	1
96	несмотря на свою	1	1
97	в том случае	2	1
98	в себе самом	1	1
99	именно потому что	1	1
100	не что иное	1	1
101	одним и тем	4	1
102	таким образом и	1	1
103	таким образом что	2	1
104	он ни был	1	1
105	и состоит чтобы	1	1
106	в сравнении с	1	1
107	не менее не	1	1
108	по себе еще	1	1
109	в его сознании	1	1
110	а тем более	2	1
111	и тем самым	1	1
112	соединению с другими	1	1
113	связи с чем	1	1
114	в этом случае	2	1
115	их отношении к	1	1
116	а в том	5	1
117	к тому же	1	1
118	в каком мы	1	1
119	есть не что	1	1
120	в его сознание	1	1
121	но не в	1	1
122	и в слове	3	1
123	в себе в	1	1
124	не могут быть	3	1
125	заключать в себе	1	1
126	на первый взгляд	1	1
127	в произведении искусства	3	1
128	то же самое	3	1
129	но только не	1	1
130	том случае если	1	1
131	а не с	1	1
132	что даже в	1	1
133	при всей своей	1	1
134	что иное как	1	1
135	легко может быть	1	1
136	тогда как в	2	1
137	к вопросу о	1	1
138	только то что	1	1
139	в их отношении	1	1
140	не принадлежат к	1	1
141	только о том	1	1
142	и не дает	1	1
143	из того что	1	1
144	точки зрения и	1	1
145	имея в виду	1	1
146	отношения к миру	1	1
147	и в том	3	1
148	со своей стороны	1	1
149	могли бы быть	2	1
150	тому что его	1	1
151	лично для себя	1	1
152	это было бы	1	1
