N	2gram	Nazirov_Tv	Dialekti
1	не есть	2	181
2	т е	1	159
3	и не	12	120
4	и т	14	82
5	по себе	2	79
6	а не	9	78
7	и в	40	77
8	т д	10	75
9	может быть	11	71
10	не только	16	66
11	значит что	3	61
12	то что	9	59
13	и есть	2	55
14	это значит	1	54
15	ничего не	3	54
16	не может	9	53
17	и даже	8	47
18	что это	1	46
19	так как	6	46
20	потому что	10	45
21	не просто	1	44
22	как бы	26	43
23	и что	2	42
24	ни в	2	42
25	не имеет	2	41
26	вовсе не	5	41
27	в том	13	40
28	в этом	11	39
29	то же	19	39
30	что такое	1	39
31	что она	5	38
32	это есть	1	38
33	в себе	3	38
34	что он	11	37
35	том что	14	37
36	прежде всего	10	37
37	так что	4	36
38	это не	9	36
39	что в	17	34
40	в нем	4	34
41	и все	6	33
42	того что	3	33
43	но и	10	32
44	ясно что	1	31
45	все это	14	31
46	сказать что	3	30
47	отнюдь не	9	30
48	и как	5	30
49	было бы	2	29
50	так и	5	29
51	как и	16	28
52	никогда не	13	27
53	в виду	3	26
54	крайней мере	4	26
55	не в	3	26
56	по крайней	4	26
57	говорить о	1	25
58	учение о	1	25
59	есть только	1	25
60	есть не	2	25
61	но это	10	24
62	если бы	4	24
63	таким образом	14	23
64	в то	23	23
65	это и	4	23
66	что оно	2	23
67	и вот	2	23
68	но что	1	22
69	я не	5	22
70	что не	5	21
71	в чем	4	21
72	личности и	2	21
73	она не	2	21
74	и с	9	20
75	о том	9	20
76	что и	3	20
77	что все	4	20
78	в таком	4	20
79	только в	7	20
80	уже не	6	20
81	как раз	2	20
82	в самом	6	19
83	не менее	8	19
84	не существует	3	19
85	в своем	4	19
86	и притом	2	19
87	и это	2	19
88	как это	2	19
89	и его	14	19
90	же время	18	18
91	хотя бы	5	18
92	не что	1	18
93	с другой	4	18
94	что иное	1	18
95	ни на	3	18
96	что же	1	18
97	жизни и	3	18
98	иное как	1	18
99	можно сказать	2	17
100	в сущности	1	17
101	той или	1	17
102	должно быть	1	17
103	в основе	3	17
104	но если	4	17
105	кроме того	1	16
106	то это	2	16
107	к нему	1	16
108	только не	1	16
109	тем не	2	16
110	в своей	8	16
111	да и	1	16
112	нет ничего	1	16
113	мы не	3	16
114	об этом	4	16
115	же и	2	15
116	только что	2	15
117	все же	9	15
118	так же	6	15
119	то в	2	15
120	и мы	1	15
121	мы уже	2	15
122	но только	3	15
123	не мешает	1	15
124	самом деле	4	15
125	хотя и	5	15
126	в виде	4	15
127	личности в	3	15
128	также и	1	15
129	и о	2	15
130	на то	1	15
131	или нет	1	14
132	даже и	1	14
133	с ним	4	14
134	не было	3	14
135	д и	1	14
136	и ее	1	14
137	пространства и	2	14
138	таком случае	2	14
139	жизнь и	2	14
140	на свете	3	14
141	и потому	4	14
142	и только	2	14
143	же это	1	14
144	и к	1	13
145	говорит о	3	13
146	другой стороны	2	13
147	отличается от	1	13
148	не то	2	13
149	что они	3	13
150	время как	1	13
151	в смысле	1	13
152	он не	10	13
153	и та	2	13
154	с ее	3	13
155	ни о	1	13
156	но в	11	13
157	мы находим	2	13
158	не могу	2	13
159	в ней	2	13
160	именно в	6	12
161	с этим	2	12
162	не говорит	1	12
163	но не	7	12
164	высших сил	1	12
165	могут быть	4	12
166	никак не	1	12
167	не могут	2	12
168	перед нами	3	12
169	еще не	5	12
170	и если	3	12
171	и тогда	2	12
172	и тут	2	12
173	все равно	1	12
174	все эти	3	12
175	тем более	1	12
176	и ни	1	12
177	а в	10	12
178	что если	1	11
179	в них	1	11
180	как только	1	11
181	в данном	2	11
182	только на	2	11
183	что я	4	11
184	быть в	1	11
185	не о	1	11
186	и тем	2	11
187	из них	4	11
188	не значит	2	11
189	можно только	1	11
190	та же	4	11
191	себе не	3	11
192	мы говорим	1	11
