N	3gram	Voloshinov	EvropaiC
1	в том что	9	16
2	до сих пор	10	15
3	по отношению к	9	11
4	друг с другом	2	9
5	с точки зрения	31	8
6	более или менее	3	8
7	а между тем	1	8
8	на то что	2	7
9	для того чтобы	7	7
10	на самом деле	5	7
11	друг от друга	1	6
12	сих пор не	1	5
13	по сравнению с	1	5
14	в самом деле	13	5
15	так или иначе	2	5
16	к тому же	2	5
17	не может быть	23	4
18	о том что	2	4
19	и без того	1	4
20	тем не менее	3	4
21	совершенно так же	1	4
22	с другой стороны	6	4
23	о которых мы	1	4
24	начало и конец	1	4
25	в конце концов	3	4
26	в этом случае	3	4
27	может быть и	8	4
28	никогда не будет	1	3
29	в целом ряде	1	3
30	в настоящее время	6	3
31	таким образом в	1	3
32	все же не	1	3
33	одного и того	9	3
34	так же как	2	3
35	то ни было	11	3
36	и того же	9	3
37	в связи с	12	3
38	бы то ни	11	3
39	слагается из элементов	1	3
40	мы все же	1	2
41	в свою очередь	5	2
42	рано или поздно	2	2
43	в нашем случае	1	2
44	во всяком случае	4	2
45	во всех этих	1	2
46	несмотря на то	1	2
47	у него с	1	2
48	что же касается	1	2
49	как и в	1	2
50	а следовательно и	2	2
51	без того уже	1	2
52	в то же	7	2
53	ничего общего с	2	2
54	как и все	2	2
55	между этими двумя	2	2
56	том что он	3	2
57	же касается до	2	2
58	в высшей степени	5	2
59	но все же	4	2
60	с одной стороны	2	2
61	то же время	7	2
62	и в том	1	2
63	мы видели что	1	1
64	не только по	1	1
65	при более внимательном	1	1
66	в моем сознании	1	1
67	целый ряд вопросов	1	1
68	и в сознании	1	1
69	а может быть	1	1
70	а как бы	1	1
71	широком смысле слова	1	1
72	только по отношению	1	1
73	что и для	1	1
74	поколения в поколение	1	1
75	социальной группы и	2	1
76	мы уже знаем	2	1
77	в этом направлении	1	1
78	становится как бы	1	1
79	и на тех	1	1
80	вопрос мы должны	1	1
81	в противоречие с	1	1
82	как мы знаем	6	1
83	бы в его	1	1
84	по крайней мере	1	1
85	в данный момент	2	1
86	и в другом	1	1
87	этом последнем случае	1	1
88	таким образом по	1	1
89	и более или	1	1
90	и все другие	1	1
91	из поколения в	1	1
92	на каждом этапе	1	1
93	смысле слова т.е	1	1
94	этой точки зрения	1	1
95	нет ничего общего	1	1
96	в себе и	1	1
97	если мы возьмем	2	1
98	с этой точки	1	1
99	так и от	3	1
100	и в нем	1	1
101	в том числе	3	1
102	и той же	2	1
103	они не могут	1	1
104	но для того	1	1
105	нами в начале	2	1
106	не имеет никакой	1	1
107	только в этом	1	1
108	в этом и	1	1
109	самом деле если	2	1
110	независимо от того	1	1
111	до тех пор	2	1
112	между тем мы	1	1
113	с такою же	1	1
114	хотя бы с	1	1
115	говоря уже о	1	1
116	не говоря уже	1	1
117	во многих отношениях	1	1
118	только мы дадим	1	1
119	всяком случае за	1	1
120	но при этом	2	1
121	жизни если бы	1	1
122	каких бы то	3	1
123	ни одна из	1	1
124	в тот же	1	1
125	между тем этот	1	1
126	все же они	1	1
127	и с точки	1	1
128	в других областях	1	1
129	дело в том	1	1
130	смысле этого слова	6	1
131	одно и то	3	1
132	иметь не может	1	1
133	что все эти	1	1
134	как мы видели	4	1
135	мы только что	1	1
136	в зависимости от	2	1
137	как мы сказали	4	1
138	таким образом оказывается	1	1
139	одной и той	2	1
140	том числе и	3	1
141	и для самого	1	1
142	можно было бы	2	1
143	уже говорили что	1	1
144	все остальное в	1	1
145	при этом однако	1	1
146	лежит за пределами	1	1
147	и это не	1	1
148	как бы ни	1	1
149	не менее в	1	1
150	общи у него	1	1
151	а в том	1	1
152	с самого начала	9	1
153	что во всех	2	1
154	и то же	3	1
155	самом деле ведь	2	1
156	не только не	1	1
157	с и т.д	1	1
158	с этим на	1	1
159	вступить в противоречие	1	1
160	же самое что	1	1
161	потому-то и не	1	1
162	уже о том	1	1
163	в широком смысле	2	1
164	а не в	3	1
165	то же самое	8	1
166	для этого необходимо	1	1
167	оно существует в	1	1
168	к тому что	4	1
169	ее до сих	1	1
170	и только при	1	1
171	вместо того чтобы	1	1
172	для многих других	1	1
173	все это делает	1	1
174	мы уже говорили	1	1
175	приводит к тому	1	1
176	таким образом и	1	1
177	является одним из	2	1
178	и пр эта	1	1
179	теперь мы должны	2	1
180	нет и не	2	1
181	таким образом как	1	1
182	тот или иной	2	1
183	были бы в	1	1
184	в другом случае	1	1
185	и не может	11	1
186	в этом последнем	2	1
187	мы уже сказали	1	1
188	именно в том	1	1
189	они вступают в	1	1
190	и не имеет	1	1
