N	2gram	Potebnia_M	slovoVRo
1	и в	48	92
2	и т	12	82
3	т п	7	72
4	то есть	53	64
5	может быть	46	59
6	и его	4	59
7	в нем	16	59
8	и не	28	51
9	не только	32	44
10	не может	18	41
11	но и	30	39
12	в этом	19	36
13	а не	22	34
14	во всех	1	32
15	точки зрения	4	30
16	так и	17	30
17	языка и	5	29
18	могут быть	6	29
19	и др	1	29
20	в пределах	1	29
21	в его	6	27
22	слова в	7	26
23	языка в	6	25
24	все это	4	25
25	как бы	10	24
26	слова и	8	24
27	слово в	6	24
28	то же	35	23
29	и на	5	22
30	языков и	2	22
31	в сущности	3	21
32	как в	17	21
33	не в	24	21
34	вовсе не	13	21
35	в процессе	2	20
36	в то	16	20
37	его слово	1	19
38	прежде всего	6	19
39	как мы	8	19
40	с ним	10	18
41	как и	22	18
42	же время	8	18
43	себя в	1	18
44	таким образом	24	17
45	оно не	7	17
46	и даже	3	17
47	все же	3	17
48	в истории	2	17
49	все эти	1	17
50	в большинстве	2	17
51	при этом	6	16
52	в них	9	16
53	к своему	3	16
54	отличие от	2	16
55	но в	8	16
56	в той	2	15
57	и с	4	15
58	человек и	2	15
59	с точки	3	15
60	со своим	2	15
61	там где	6	15
62	романа и	1	14
63	только в	29	14
64	так сказать	6	14
65	отношении к	3	13
66	в слове	41	13
67	это не	2	13
68	с другой	8	13
69	с его	1	13
70	рядом с	2	13
71	и следовательно	3	13
72	и к	5	12
73	еще не	9	12
74	во всяком	4	12
75	слово как	5	12
76	никогда не	2	12
77	и потому	9	12
78	или в	4	12
79	словом и	6	12
80	точек зрения	1	12
81	а в	14	12
82	отношение к	2	12
83	и наконец	3	12
84	один из	7	11
85	в этих	2	11
86	большинстве случаев	2	11
87	с ними	6	11
88	для него	14	11
89	с одной	8	11
90	языка как	1	11
91	язык в	1	11
92	на его	4	11
93	одной стороны	4	11
94	в языке	19	10
95	и их	4	10
96	и все	5	10
97	уже не	11	10
98	лишь в	2	10
99	своего языка	1	10
100	т д	5	10
101	в своем	6	10
102	может не	1	10
103	в том	47	10
104	с другими	9	10
105	она не	4	10
106	языку и	2	10
107	в себе	26	10
108	далеко не	5	10
109	более или	6	9
110	в своей	2	9
111	конечно не	2	9
112	сказать что	8	9
113	этом случае	2	9
114	так как	20	9
115	его в	6	9
116	в их	2	9
117	в смысле	4	9
118	или менее	6	9
119	и других	3	9
120	он не	4	9
121	языком и	3	9
122	быть и	1	9
123	одним из	3	9
124	и от	5	9
125	но не	8	9
126	к нему	7	9
