N	2gram	Vygotskiy_	Retstnzi
1	не может	23	4
2	и в	47	3
3	если в	6	2
4	в центре	2	2
5	один из	3	2
6	может и	3	1
7	несмотря на	2	1
8	может быть	20	1
9	не только	36	1
10	точки зрения	39	1
11	с точки	31	1
12	может не	1	1
13	для него	6	1
14	с теми	2	1
15	ситуации и	3	1
16	в ней	5	1
17	в каждом	3	1
18	связи с	4	1
19	не из	2	1
20	на месте	1	1
21	с другими	5	1
22	или иными	1	1
23	его от	2	1
24	в анализе	1	1
25	лежащие в	1	1
26	если бы	8	1
27	в школе	5	1
28	исходя из	1	1
29	вещей и	1	1
30	на примере	1	1
31	в его	7	1
32	не менее	6	1
33	деятельности в	3	1
34	от общей	2	1
35	речь и	5	1
36	но и	19	1
37	в выборе	1	1
38	мы видим	10	1
39	к тому	13	1
40	анализа и	1	1
41	во второй	5	1
42	тому что	14	1
43	и можно	1	1
44	языка как	1	1
45	от связи	1	1
46	речевых форм	1	1
47	теми или	1	1
48	в конкретном	1	1
49	в то	10	1
50	из этих	6	1
51	и больше	2	1
52	он в	1	1
53	же время	1	1
54	то же	16	1
55	по своим	2	1
56	при анализе	1	1
57	а не	7	1
58	бы в	7	1
59	нет и	4	1
60	в лингвистике	1	1
61	и должно	1	1
62	в системе	3	1
63	и не	27	1
64	язык как	1	1
65	и все	5	1
66	истории но	1	1
67	и на	4	1
68	себя от	2	1
69	в противоположную	1	1
70	это направление	1	1
