N	3gram	Trubetskoy	Vladivir
1	в том что	7	29
2	о том что	2	22
3	тем не менее	1	18
4	и то что	3	14
5	дело в том	1	13
6	во всяком случае	6	12
7	в связи с	1	12
8	более или менее	4	11
9	в конце концов	3	11
10	к тому же	1	11
11	не может быть	4	10
12	в то же	10	10
13	вместе с тем	3	10
14	с точки зрения	9	10
15	то же время	10	9
16	на то что	4	8
17	никогда не был	1	7
18	точно так же	2	7
19	в данном случае	3	6
20	также и то	1	6
21	и в этом	1	6
22	в настоящее время	2	6
23	но даже и	1	5
24	бы то ни	4	5
25	само собой разумеется	1	5
26	и в том	2	5
27	в том же	1	4
28	для того чтобы	6	4
29	в этом отношении	1	4
30	и вместе с	2	4
31	в том чтобы	1	4
32	по крайней мере	1	4
33	заключается в том	1	4
34	в себе и	2	4
35	можно было бы	3	4
36	что он не	2	3
37	в самом деле	1	3
38	в том числе	1	3
39	во что бы	3	3
40	в том случае	4	3
41	даже и в	1	3
42	а в том	1	3
43	к тому что	2	3
44	только то что	1	3
45	ко всему этому	1	3
46	в свою очередь	1	3
47	собой разумеется что	1	3
48	несмотря на все	1	3
49	только в том	2	3
50	тем более что	1	3
51	что бы то	3	3
52	и в частности	1	3
53	с самого начала	1	3
54	между прочим и	1	3
55	то ни стало	3	3
56	в согласии с	1	3
57	так же как	1	2
58	от того чтобы	1	2
59	то это есть	1	2
60	не подлежит никакому	1	2
61	но из этого	1	2
62	на том же	1	2
63	критическом отношении к	1	2
64	подлежит никакому сомнению	1	2
65	до сих пор	5	2
66	с ним в	1	2
67	и прежде всего	1	2
68	к которой он	4	2
69	так как это	1	2
70	мы уже знаем	1	2
71	то ни было	1	2
72	не может не	3	2
73	жизни и деятельности	2	2
74	свидетельствуют о том	1	2
75	для нас важно	1	2
76	речь шла о	1	2
77	в себе черты	1	2
78	к богу а	1	2
79	в том и	2	2
80	за то что	1	2
81	а следовательно и	2	2
82	об этом и	1	2
83	только в виде	1	2
84	но в то	1	2
85	и в своем	1	2
86	так же и	1	2
87	в этом случае	3	2
88	это конечно не	1	2
89	при таких условиях	3	2
90	и что в	1	2
91	и все же	1	2
92	том случае если	3	2
93	не был и	1	2
94	это и есть	1	2
95	сводится к тому	1	2
96	нечего и говорить	1	2
97	том случае когда	1	1
98	лишь в том	2	1
99	во имя своих	1	1
100	и в жизни	1	1
101	и как бы	1	1
102	может быть назван	1	1
103	и если в	3	1
104	он еще не	1	1
105	что же это	1	1
106	мы прежде всего	1	1
107	отнюдь не является	1	1
108	до известной степени	1	1
109	к одному из	1	1
110	иначе и не	1	1
111	ничего подобного не	1	1
112	содержат в себе	1	1
113	о которых мы	1	1
114	он не может	1	1
115	стремления во что	1	1
116	указывает на то	1	1
117	что все это	1	1
118	имеет в себе	1	1
119	то есть не	1	1
120	бы для него	1	1
121	только с точки	1	1
122	которую можно назвать	1	1
123	говорить не о	1	1
124	с тем чтобы	3	1
125	всех не только	1	1
126	той или иной	3	1
127	последнее время в	1	1
128	и тем самым	2	1
129	во многих случаях	1	1
130	лишь при условии	2	1
131	ни на каком	1	1
132	том что только	1	1
133	в его жизни	1	1
134	в самом себе	2	1
135	не может иметь	1	1
136	уже знаем что	1	1
137	с ярко выраженной	1	1
138	из всего этого	1	1
139	то что для	1	1
140	то же самое	1	1
141	в этих последних	1	1
142	сама по себе	2	1
143	заключается не в	1	1
144	лишь постольку поскольку	1	1
145	приходится признать что	1	1
146	но все же	1	1
147	все они имеют	1	1
148	к чему не	1	1
149	перед нами не	1	1
150	не просто в	1	1
151	если стоять на	1	1
152	для россии и	1	1
153	в прежнее время	1	1
154	что в последние	1	1
155	своей жизни в	1	1
156	может остановиться на	1	1
157	если только не	1	1
158	случае когда оно	1	1
159	и не допускает	1	1
160	является для них	1	1
161	в значительной мере	2	1
162	и должно быть	1	1
163	и во всяком	2	1
164	прежде всего на	1	1
165	и только в	1	1
166	не только от	1	1
167	в последние дни	5	1
168	не есть только	1	1
169	что не только	1	1
170	том что вся	1	1
171	но как бы	1	1
172	все что может	2	1
173	еще не было	1	1
174	что для этого	1	1
175	говорить о том	1	1
176	на этот вопрос	1	1
177	то и другое	1	1
178	можно сказать только	1	1
179	состоит в том	1	1
180	себе представить как	1	1
181	в противном случае	1	1
182	в россию только	1	1
183	смысле этого слова	1	1
184	никогда не было	1	1
185	как и следовало	1	1
186	человека с богом	1	1
187	в данном вопросе	2	1
188	самое большее что	1	1
189	но можно ли	1	1
190	именно так как	1	1
191	и то и	1	1
192	а в действительном	1	1
193	при этом надо	1	1
194	что касается до	1	1
195	на точке зрения	1	1
196	никак не могла	1	1
197	представить себе что	1	1
198	а во имя	1	1
199	ни к чему	2	1
200	все же у	1	1
201	не дала бы	1	1
202	и не может	3	1
203	вопрос о том	1	1
204	и следовало ожидать	1	1
205	и потому тоже	1	1
206	в том виде	1	1
207	и не только	1	1
208	в такой обстановке	1	1
209	но и для	1	1
210	потому что они	1	1
