N	2gram	Medvedev_U	Mirosoze
1	и в	14	97
2	может быть	6	64
3	не только	10	63
4	в этом	7	55
5	но и	4	54
6	он не	1	53
7	а не	10	53
8	в нем	1	49
9	не может	7	49
10	у него	1	47
11	и не	8	39
12	никогда не	1	38
13	в ней	1	37
14	не было	1	36
15	не в	2	34
16	для него	3	31
17	не есть	2	30
18	но он	1	30
19	как и	3	29
20	прежде всего	8	29
21	но в	3	27
22	человека и	1	26
23	в своей	3	25
24	он был	1	25
25	и это	1	25
26	переходит в	1	24
27	и все	1	24
28	у нас	3	24
29	в своем	1	23
30	что в	1	23
31	что он	2	22
32	в самом	2	21
33	достоевского и	1	21
34	в себе	2	20
35	в россии	4	19
36	до конца	1	19
37	в его	2	18
38	того что	1	17
39	и потому	1	17
40	том что	2	16
41	если нет	1	16
42	в том	2	16
43	то что	7	16
44	было бы	3	16
45	в котором	1	15
46	в этой	4	15
47	в конце	2	14
48	она не	1	14
49	и у	2	12
50	но не	2	12
51	это не	3	12
52	все это	5	12
53	с тем	1	11
54	уже не	1	11
55	хотя бы	5	11
56	в которой	1	11
57	только в	2	11
58	но это	2	11
59	и для	2	11
60	то же	5	10
61	должна быть	2	10
62	не могут	2	10
63	все что	1	9
64	из самых	1	9
65	должно быть	1	9
66	что и	2	9
67	он уже	1	9
68	то есть	1	9
69	бы и	2	9
70	и с	2	8
71	тем что	2	8
72	о том	1	8
73	за пределы	1	8
74	нет и	1	8
75	с его	2	8
76	ничего не	2	8
77	не существует	1	7
78	что все	2	7
79	все в	1	7
80	что она	2	7
81	более чем	2	7
82	он в	1	7
83	но если	1	7
84	не как	3	6
85	его на	1	6
86	если бы	2	6
87	в которых	1	6
88	того как	1	6
89	на то	1	6
90	бы в	1	5
91	с самим	1	5
92	одно из	1	5
93	для этого	3	5
94	сказать что	1	5
95	сих пор	2	5
96	вопроса о	2	5
97	в то	3	5
98	до сих	2	5
99	его и	2	5
100	той же	1	5
101	тот же	1	5
102	этот процесс	1	5
103	не для	1	5
104	так и	1	5
105	в их	4	5
106	в той	1	4
107	что было	1	4
108	нас в	2	4
109	и даже	1	4
110	него не	1	4
111	л толстого	1	4
112	и через	2	4
113	а для	1	4
114	и что	1	4
115	не случайно	2	4
116	тогда когда	1	4
117	вряд ли	3	4
118	на своем	1	4
119	к которой	1	4
120	могут быть	2	4
121	мы не	2	4
122	не все	2	4
123	и только	5	4
124	конце концов	2	4
125	является в	2	3
126	которой все	1	3
127	это значит	1	3
128	о чем	2	3
129	в виду	1	3
130	все же	3	3
131	даже и	2	3
132	входит в	1	3
133	в этот	1	3
134	превращается в	2	3
135	конечно не	4	3
136	не вполне	1	3
137	знает только	1	3
138	к этому	1	3
139	одним из	2	3
140	же как	1	3
141	остается в	1	3
142	и быть	1	3
143	между тем	2	3
144	этот путь	1	3
145	не значит	1	3
146	для себя	1	3
147	но также	1	3
148	это уже	2	3
149	все его	1	3
150	их и	2	3
151	в пределах	1	3
152	приводит к	1	3
153	в значительной	1	3
154	что же	1	3
155	он может	1	3
156	л толстой	1	3
157	литературы и	2	3
158	и то	3	3
159	пафос его	1	3
160	и эта	1	3
161	на его	1	3
162	об этом	1	3
163	он знает	1	3
164	ничего подобного	1	3
165	но для	1	3
166	на большую	1	2
167	с которыми	1	2
168	не столько	2	2
169	по себе	2	2
170	и возвращается	1	2
171	находит себе	1	2
172	только для	1	2
173	вот почему	7	2
174	много в	1	2
175	всего что	1	2
176	с другой	4	2
177	ее как	1	2
178	быть в	1	2
179	есть ли	1	2
180	она в	1	2
181	начала и	1	2
182	что такое	4	2
183	это верно	1	2
184	не о	3	2
185	могли бы	2	2
186	себя на	1	2
187	верно и	1	2
188	всего только	1	2
189	а как	2	2
190	так всегда	1	2
191	сам по	1	2
192	находятся в	1	2
193	если не	2	2
194	самом деле	2	2
195	и единственно	1	2
196	их в	1	2
197	и действительно	1	2
198	что мы	2	2
199	относится к	1	2
200	во мне	1	2
201	быть не	1	2
202	пишет он	2	2
203	у других	1	2
204	в сфере	1	2
205	его как	1	2
206	и искусства	1	2
207	тому чтобы	1	2
208	этом отношении	2	2
209	он и	1	2
210	о нем	1	2
211	ее в	1	2
212	же не	2	2
213	смысле этого	2	2
214	это было	2	2
215	бы ни	1	2
216	бы это	1	2
217	отказ от	1	2
218	этого не	1	2
219	у кого	1	2
220	у розанова	1	2
221	для всех	2	1
222	никогда и	1	1
223	только этот	1	1
224	сам автор	1	1
225	другой стороны	3	1
226	но что	1	1
227	у пушкина	1	1
228	пределов и	1	1
229	разрыв с	1	1
230	существенным для	1	1
231	на эту	2	1
232	и истории	1	1
233	завоевать себе	1	1
234	искусство и	1	1
235	обращение к	1	1
236	определяется не	1	1
237	перестает быть	5	1
238	тем в	1	1
239	все и	1	1
240	в противовес	2	1
241	что этот	1	1
242	представляется не	1	1
243	но даже	2	1
244	одной стороны	1	1
245	к проблеме	1	1
246	с проблемой	2	1
247	может служить	1	1
248	которых она	1	1
249	а между	2	1
250	художественном творчестве	2	1
251	как на	1	1
252	еще ничего	2	1
253	тут мы	1	1
254	он прежде	1	1
255	не то	1	1
256	от смысла	1	1
257	толстого и	1	1
258	и всей	1	1
259	с одной	1	1
260	они до	1	1
261	они в	1	1
262	случилось с	1	1
263	бы только	1	1
264	изжит и	1	1
265	всех у	1	1
266	наука о	1	1
267	он ставит	1	1
268	точном смысле	1	1
269	в таком	1	1
270	так много	1	1
271	быть материалом	1	1
272	представляется нам	2	1
273	в сторону	2	1
274	формы в	3	1
275	к лицу	1	1
276	друг с	1	1
277	о необходимости	1	1
278	в системе	2	1
279	было сделать	1	1
280	не внешне	1	1
281	что для	1	1
282	и др	1	1
283	независимо от	1	1
284	всех этих	2	1
285	имеет свою	1	1
286	искусства в	1	1
287	и этого	1	1
288	с каждым	1	1
289	закон и	1	1
290	и делает	1	1
291	и форм	1	1
292	претендует на	1	1
293	он будет	1	1
294	что такой	1	1
295	к созданию	1	1
296	пушкина но	1	1
297	в словах	1	1
298	было у	1	1
299	все они	2	1
300	признать что	1	1
301	то и	1	1
302	мыслей о	1	1
303	на конкретную	1	1
304	и вся	1	1
305	всего лишь	1	1
306	идет не	1	1
307	же время	3	1
308	для подлинно	1	1
309	литературы в	1	1
310	она все	1	1
311	имеем в	1	1
312	впервые в	1	1
313	от которой	1	1
314	из первых	1	1
315	материал и	1	1
316	связаны и	1	1
317	в период	1	1
318	формы и	2	1
319	в свое	1	1
320	что ему	1	1
321	без них	1	1
322	он становится	1	1
323	мы имеем	1	1
324	не без	1	1
325	а это	1	1
326	что только	1	1
327	в первую	1	1
328	слова а	1	1
329	ценность в	1	1
330	в виде	1	1
331	к построению	1	1
332	ее нельзя	2	1
333	а о	2	1
334	у толстого	1	1
335	по существу	2	1
336	его раскрывает	1	1
337	но по	1	1
338	с другом	1	1
339	тем более	1	1
340	но идея	1	1
341	а где	1	1
342	которые могли	1	1
343	у тех	1	1
344	поднимается до	1	1
345	она должна	1	1
346	произведения искусства	3	1
347	до предела	1	1
348	в течение	1	1
349	в искусстве	6	1
350	в частности	3	1
351	исторической но	1	1
352	к области	2	1
353	но такое	1	1
354	же в	1	1
355	и прежде	1	1
356	в области	3	1
357	чем к	1	1
358	это в	1	1
359	пишет в	1	1
360	как живой	1	1
361	или точнее	3	1
362	такова уж	1	1
