N	2gram	Bakhtin_Fr	VerxiiNi
1	и в	67	26
2	таким образом	20	22
3	с тем	3	18
4	в этом	27	15
5	вместе с	5	15
6	точки зрения	7	13
7	как бы	18	12
8	в том	16	11
9	не только	23	10
10	и с	18	10
11	может быть	4	10
12	из этих	4	10
13	что в	14	9
14	так как	16	9
15	связи с	7	9
16	но и	23	9
17	в области	2	9
18	в общем	5	8
19	и у	7	8
20	и не	23	8
21	как на	6	8
22	с другой	3	8
23	но не	6	8
24	с одной	2	7
25	но все	2	7
26	в эпоху	17	7
27	связанные с	7	7
28	том что	13	7
29	потому что	8	7
30	одной стороны	2	7
31	а с	1	7
32	то что	9	7
33	но в	20	7
34	из них	5	7
35	к нему	5	7
36	так и	14	6
37	в конце	12	6
38	несмотря на	3	6
39	все это	15	6
40	что и	8	6
41	в отношении	2	6
42	все эти	12	6
43	все же	7	6
44	к тому	4	6
45	о том	8	6
46	во всяком	1	6
47	и потому	1	6
48	и т.д	2	6
49	с точки	5	6
50	в себе	3	6
51	того же	6	6
52	и к	7	5
53	до сих	3	5
54	том числе	6	5
55	в его	17	5
56	к жизни	1	5
57	тому же	5	5
58	более или	2	5
59	в мире	1	5
60	не имеет	4	5
61	с другом	2	5
62	или менее	2	5
63	сих пор	3	5
64	того чтобы	9	5
65	для того	8	5
66	так же	13	5
67	лишь в	3	5
68	отношение к	1	5
69	одной из	6	5
70	образом в	4	5
71	в силу	1	5
72	друг с	2	5
73	а не	6	5
74	и для	4	5
75	никогда не	6	5
76	в самом	7	4
77	ничем не	1	4
78	то есть	49	4
79	и по	3	4
80	то же	18	4
81	только в	6	4
82	должен был	1	4
83	с другими	3	4
84	целый ряд	2	4
85	что он	7	4
86	в которых	3	4
87	к своим	1	4
88	в смысле	1	4
89	в котором	3	4
90	в течение	3	4
91	и тогда	1	4
92	он не	9	4
93	и что	3	4
94	далеко не	6	4
95	а в	4	4
96	очень мало	1	4
97	в этой	13	4
98	числе и	3	4
