N	2gram	Medvedev_F	Russkaja
1	не может	26	22
2	и не	34	19
3	в этом	39	17
4	в том	17	17
5	и в	54	14
6	то что	14	13
7	самим собой	1	12
8	таким образом	28	11
9	то же	16	11
10	точки зрения	21	11
11	но и	18	10
12	же время	13	10
13	в то	14	10
14	не только	14	9
15	с точки	17	9
16	том что	3	9
17	во всяком	6	9
18	может быть	30	9
19	в себе	4	9
20	прежде всего	34	8
21	того чтобы	4	8
22	как на	5	8
23	не будет	2	7
24	ни к	1	7
25	самом деле	12	7
26	к тому	6	7
27	о том	1	7
28	в данном	2	7
29	и если	2	7
30	и с	17	7
31	отнюдь не	13	7
32	и к	7	6
33	для всех	2	6
34	если в	3	6
35	для него	9	6
36	все это	11	6
37	на самом	8	6
38	в своих	3	6
39	если бы	8	6
40	и для	5	6
41	в россии	4	6
42	с тем	11	6
43	что он	8	6
44	для того	3	6
45	к которой	1	6
46	в своем	12	6
47	всяком случае	6	6
48	до сих	7	5
49	и на	10	5
50	из которых	1	5
51	только в	6	5
52	или иной	1	5
53	по существу	8	5
54	в своей	16	5
55	жизни в	2	5
56	между собой	1	5
57	во всех	9	5
58	сих пор	7	5
59	и только	5	5
60	вопрос о	3	5
61	хотя бы	10	5
62	потому что	2	5
63	в нем	25	5
64	между тем	4	5
65	он не	8	5
66	а между	1	5
67	конечно не	5	5
68	а в	11	5
69	при этом	14	5
70	было бы	10	5
71	на то	2	5
72	он должен	4	5
73	никогда не	6	5
74	что в	10	4
75	во всем	3	4
76	бы то	4	4
77	и то	1	4
78	так как	4	4
79	возможно лишь	2	4
80	к этой	4	4
81	быть самим	1	4
82	в его	30	4
83	при таких	2	4
84	тому чтобы	2	4
85	не могут	8	4
86	его в	5	4
87	более или	7	4
88	не в	16	4
89	при том	1	4
90	лишь к	1	4
91	в корне	6	4
92	вместе с	8	4
93	как и	18	4
94	в мире	4	4
95	все же	8	4
96	приводит к	4	4
97	в их	16	4
98	к вопросу	2	4
99	со стороны	7	4
100	или менее	7	4
