N	3gram	Bakhtin_Fr	Vvedenie
1	для того чтобы	5	22
2	в том что	2	15
3	о том что	3	13
4	не может быть	2	10
5	но также и	1	10
6	до сих пор	6	7
7	в применении к	1	6
8	в то же	13	6
9	в этом случае	1	6
10	то же время	13	6
11	в том чтобы	1	5
12	не что иное	1	5
13	что иное как	1	5
14	с другой стороны	5	5
15	во всяком случае	2	5
16	по отношению к	2	4
17	с точки зрения	4	4
18	по сравнению с	2	4
19	и в особенности	1	4
20	само по себе	1	4
21	можно было бы	2	4
22	не только в	3	4
23	в данном случае	3	4
24	в отличие от	3	4
25	но все же	2	4
26	с одной стороны	4	4
27	в этом отношении	4	4
28	и в этом	1	4
29	одной стороны и	2	3
30	той или иной	2	3
31	большей или меньшей	3	3
32	заключается в том	1	3
33	в чем же	1	3
34	в собственном смысле	1	3
35	и в самом	1	3
36	в свое время	1	3
37	можно сказать что	2	3
38	в строгом смысле	1	3
39	именно в этом	1	3
40	дело в том	2	3
41	но в то	7	3
42	как мы видели	4	3
43	тех или иных	2	3
44	и то что	1	3
45	есть не что	1	3
46	также и в	1	3
47	что может быть	1	3
48	как она есть	1	2
49	в свою очередь	2	2
50	как будто бы	1	2
51	в значительной мере	1	2
52	дело не с	1	2
53	на том что	1	2
54	имеют дело с	1	2
55	и со стороны	1	2
56	до наших дней	5	2
57	хотя бы и	1	2
58	может быть в	2	2
59	и той же	2	2
60	как мы уже	8	2
61	смысле этого слова	2	2
62	в первом случае	1	2
63	в конце концов	3	2
64	одной и той	2	2
65	чтобы он мог	1	2
66	что в нем	1	2
67	и того же	1	2
68	подобно тому как	2	2
69	в связи с	5	2
70	во второй половине	1	2
71	в другом месте	1	2
72	одного и того	1	2
73	после того как	1	2
74	вовсе не в	2	2
75	а также и	4	2
76	может быть и	2	2
77	самое существенное в	1	1
78	в эпоху возрождения	1	1
79	но ведь это	1	1
80	что в ней	1	1
81	в той или	2	1
82	в этой системе	2	1
83	как своего рода	1	1
84	бы и не	1	1
85	в том же	3	1
86	все то что	2	1
87	и др в	1	1
88	имеет дело не	1	1
89	это может быть	1	1
90	в одном месте	2	1
91	и прямо заявляет	1	1
92	иметь дело в	1	1
93	или иной степени	1	1
94	и до наших	1	1
95	как она отразилась	1	1
96	но и в	4	1
97	потому что это	1	1
98	как мы знаем	2	1
99	имеется в виду	1	1
100	и в дальнейшем	1	1
101	на самом деле	5	1
102	в более широком	1	1
103	во всех отношениях	1	1
104	его отношение к	2	1
105	истории и в	1	1
106	какой бы то	1	1
107	она отразилась в	1	1
108	в том числе	4	1
109	быть и не	2	1
110	в средние века	1	1
111	которые остаются за	1	1
112	связи с этим	1	1
113	на нее не	1	1
114	прямо заявляет что	1	1
115	более или менее	1	1
116	в большей или	2	1
117	в тех или	1	1
118	особое отношение к	1	1
119	при известных условиях	1	1
120	и как они	1	1
121	так как она	1	1
122	может быть только	1	1
123	в них не	1	1
124	все же в	2	1
125	именно в этой	1	1
126	и в более	1	1
127	в особенности в	1	1
128	это в сущности	1	1
129	в настоящее время	2	1
130	по своему характеру	1	1
131	как мы видим	2	1
132	значит не только	1	1
133	как раз в	3	1
134	такой точки зрения	1	1
135	также и с	1	1
136	и так называемые	1	1
137	еще не исчерпывается	1	1
138	второй половине xix	1	1
139	уже и в	2	1
140	до нас дошел	2	1
141	или меньшей степени	2	1
142	имеем в виду	2	1
143	в области изучения	1	1
144	и прежде всего	3	1
145	мы имеем в	2	1
146	том что в	1	1
147	в них в	1	1
148	с самого начала	1	1
149	именно для того	1	1
150	может быть названа	1	1
151	этого целого и	1	1
152	то ни было	1	1
153	с полной ясностью	2	1
154	имен и названий	1	1
155	и филологическое изучение	2	1
156	только первый из	1	1
157	для научной работы	1	1
158	ее в сущности	1	1
159	языка но и	1	1
160	это в свою	1	1
161	в точном смысле	1	1
162	ни к какому	1	1
163	только то что	2	1
164	лицом к лицу	1	1
165	притом не только	1	1
166	и это особенно	1	1
167	свое самостоятельное существование	1	1
168	в таких случаях	1	1
169	бы то ни	1	1
170	между прочим и	1	1
171	точки зрения на	1	1
172	только тогда когда	1	1
173	имея в виду	1	1
174	в значительной степени	2	1
175	это прежде всего	1	1
176	прежде всего в	1	1
177	то что в	1	1
178	так как в	1	1
179	на эту тему	1	1
180	в нем есть	1	1
181	более широкого и	1	1
