N	4gram	Vinokur_St	Vvedenie
1	той мере в какой	2	6
2	в той мере в	2	6
3	в то же время	5	6
4	не трудно видеть что	1	5
5	и т д но	4	5
6	на вопрос о том	1	4
7	и в самом деле	2	3
8	вопрос о том что	1	3
9	дело в том что	7	3
10	в том отношении что	2	3
11	но в то же	2	3
12	но также и в	1	2
13	заключается в том что	3	2
14	и в том отношении	1	2
15	во всяком случае не	2	2
16	одно и то же	1	2
17	только в применении к	1	2
18	второй половины xix в	1	2
19	и т д в	1	2
20	сомнений в том что	2	2
21	по тем или иным	1	2
22	так или иначе но	1	2
23	ответ на этот вопрос	1	2
24	как раз ко времени	1	1
25	только в том что	1	1
26	того чтобы можно было	2	1
27	но если таким образом	1	1
28	невозможно сомневаться в том	1	1
29	не только в том	1	1
30	когда мы имеем дело	1	1
31	для того чтобы лучше	1	1
32	в том-то и дело	2	1
33	нечего и говорить о	1	1
34	если принять во внимание	1	1
35	дело не только в	1	1
36	до сих пор и	1	1
37	и т д иными	1	1
38	есть существенная разница между	1	1
39	также в том что	1	1
40	том-то и дело что	1	1
41	и т д и	2	1
42	но в том-то и	1	1
43	виде в каком он	2	1
44	может быть и речи	1	1
45	ответ на вопрос о	2	1
46	жизни и творчества пушкина	2	1
47	сих пор и в	1	1
48	в том что он	3	1
49	том что нет вообще	1	1
50	для того чтобы можно	2	1
51	т д иными словами	1	1
52	но с другой стороны	2	1
53	в том смысле что	2	1
54	и говорить о том	1	1
55	заключается вовсе не в	1	1
56	бы то ни было	1	1
57	в том чтобы выяснить	1	1
58	говоря уже о том	1	1
59	тот факт что история	1	1
60	сомневаться в том что	2	1
61	важный но все же	1	1
62	но все же только	1	1
63	в той или иной	1	1
64	не может быть и	1	1
65	говорить о том что	1	1
66	уже о том что	2	1
67	в том что в	3	1
68	т е не только	1	1
69	вовсе не в том	1	1
70	не говоря уже о	2	1
71	и в этом отношении	1	1
72	мы имеем дело с	1	1
73	то что могло оказаться	1	1
74	но нужно сказать что	1	1
75	достаточно для того чтобы	3	1
76	точно так же как	1	1
77	понимать в том смысле	1	1
78	в ее отношении к	1	1
79	на тему о том	1	1
80	также и то что	1	1
