N	3gram	Vygotskiy_	Poddanst
1	то же время	1	7
2	в то же	1	7
3	в том что	30	4
4	не только в	5	4
5	сами по себе	2	3
6	с точки зрения	5	3
7	с одной стороны	15	3
8	и если бы	1	2
9	и как раз	1	2
10	в полной мере	1	2
11	заключается в том	9	2
12	не только это	1	2
13	заключает в себе	6	2
14	в значительной мере	1	2
15	и в то	1	2
16	и не только	1	2
17	одной стороны и	1	2
18	имеет не только	1	2
19	мы все же	3	1
20	и т д	6	1
21	и есть с	1	1
22	там где он	1	1
23	друг с другом	6	1
24	как она есть	2	1
25	совершенно ясно что	7	1
26	именно потому что	3	1
27	и в частности	2	1
28	за то что	3	1
29	чуть ли не	1	1
30	как возможность не	1	1
31	вместе с тем	4	1
32	в применении к	1	1
33	само по себе	3	1
34	если бы мы	5	1
35	мы знаем что	3	1
36	думается что в	1	1
37	не может быть	4	1
38	о котором говорит	4	1
39	во многих случаях	1	1
40	мы видим в	2	1
41	том что в	2	1
42	в отличие от	3	1
43	в этом смысле	3	1
44	по сравнению с	4	1
45	тех пор пока	2	1
46	можем представить себе	1	1
47	и то что	4	1
48	что в этом	6	1
49	есть как бы	2	1
50	и именно в	2	1
51	в собственном смысле	2	1
52	но в этом	1	1
53	значило бы что	1	1
54	во всяком случае	1	1
55	мы можем представить	1	1
56	что с точки	1	1
57	для того чтобы	41	1
58	сводится к следующему	1	1
59	может не только	1	1
60	и тем более	1	1
61	с другой стороны	8	1
62	не в том	1	1
63	в том виде	1	1
64	да и не	1	1
65	более или менее	1	1
66	каждый в отдельности	1	1
67	так же как	3	1
68	до тех пор	2	1
69	в частности в	1	1
70	и в этом	2	1
71	одно из важнейших	1	1
