N	3gram	Losev_Vesc	Tragedij
1	то же время	4	5
2	в то же	5	5
3	в том что	9	2
4	и как бы	1	2
5	и в частности	2	2
6	но в то	1	2
7	в данном случае	2	2
8	о том что	4	2
9	и в самом	1	2
10	но все же	2	2
11	ничего не значит	2	1
12	сам по себе	4	1
13	что когда я	1	1
14	общем смысле этого	1	1
15	том что он	2	1
16	одно из самых	1	1
17	что он не	1	1
18	бы и не	1	1
19	смысле этого слова	1	1
20	в конце концов	2	1
21	это может быть	1	1
22	она все же	1	1
23	вместо того чтобы	1	1
24	что уже не	1	1
25	в применении к	2	1
26	нет это не	2	1
27	самое большее что	1	1
28	в той же	1	1
29	и вместе с	1	1
30	что в ней	3	1
31	то что он	2	1
32	не может быть	22	1
33	от самой действительности	1	1
34	прежде всего против	1	1
35	я не хочу	1	1
36	в этом случае	1	1
37	что это значит?	4	1
38	по сравнению с	7	1
39	в чем же	5	1
40	это было в	1	1
41	и то что	5	1
42	не только не	4	1
43	в xix веке	1	1
44	у него нет	1	1
45	что нужно для	3	1
46	во всех видах	1	1
47	хотя бы и	2	1
48	в связи с	1	1
49	и все же	1	1
50	в самом деле	7	1
51	важно но если	1	1
52	не только к	2	1
53	во всяком случае	2	1
54	к тому что	2	1
55	что все это	1	1
56	тем не менее	11	1
57	несмотря на все	1	1
58	в этой связи	1	1
59	на вопрос о	1	1
60	это и есть	4	1
61	по природе своей	2	1
62	и в сфере	1	1
63	все же не	3	1
64	еще ничего не	1	1
65	и не может	1	1
66	и в этом	2	1
