N	4gram	Ircho_Kome	Mirosoze
1	в то время как	6	4
2	не что иное как	1	4
3	одна и та же	1	3
4	в том что он	4	3
5	так же как и	1	3
6	ни в чем не	1	2
7	и в конце концов	1	2
8	с такой силой как	1	1
9	с той целью чтобы	1	1
10	в том случае если	1	1
11	с утра до вечера	1	1
12	претендовали на то что	1	1
13	сомневаться в том что	2	1
14	в то же время	5	1
15	только в начале xx	1	1
16	и еще в одном	1	1
17	и в тех случаях	1	1
18	не раскрывается с такой	1	1
19	после того как в	2	1
20	в тех случаях когда	1	1
21	раскрывается с такой силой	1	1
22	до сих пор не	1	1
