N	3gram	Vinokur_Vv	Myshleni
1	в том что	15	133
2	с точки зрения	4	89
3	для того чтобы	22	78
4	заключается в том	3	51
5	по сравнению с	4	45
6	по отношению к	4	42
7	так же как	1	39
8	с одной стороны	4	39
9	с самого начала	1	36
10	то же самое	3	31
11	в этом отношении	4	30
12	можно было бы	4	28
13	в этом случае	6	27
14	в собственном смысле	3	26
15	вместе с тем	3	26
16	с другой стороны	5	26
17	о том что	13	25
18	не может быть	10	23
19	смысле этого слова	2	22
20	к тому что	1	22
21	в зависимости от	3	22
22	можно сказать что	3	21
23	как уже сказано	1	20
24	в самом деле	6	19
25	из того что	1	19
26	в отличие от	4	18
27	состоит в том	2	18
28	во всяком случае	5	18
29	в этом смысле	10	18
30	до сих пор	7	17
31	и того же	2	17
32	этой точки зрения	2	17
33	как мы видели	3	17
34	в связи с	2	17
35	одного и того	2	17
36	с этой точки	2	16
37	бы сказать что	1	15
38	и то что	3	15
39	в данном случае	4	15
40	в известном смысле	3	15
41	и той же	2	15
42	одной и той	2	15
43	на этот вопрос	5	14
44	потому что он	2	14
45	собственном смысле этого	1	14
46	в свою очередь	2	14
47	к выводу что	6	14
48	подобно тому как	2	14
49	точно так же	2	13
50	в другом месте	2	13
51	и то же	2	12
52	в том чтобы	5	12
53	тем не менее	9	12
54	одно и то	2	12
55	как мы уже	2	11
56	том что в	1	11
57	то обстоятельство что	1	11
58	только тогда когда	1	11
59	одной стороны и	3	10
60	не иначе как	1	10
61	то что в	1	10
62	тот факт что	1	10
63	от того что	1	10
64	но вместе с	2	10
65	в том числе	1	10
66	так как она	1	9
67	сама по себе	3	9
68	собственном смысле слова	1	9
69	с тем что	3	9
70	на вопрос о	4	9
71	более или менее	1	9
72	на самом деле	1	9
73	именно в этом	3	9
74	том что он	1	9
75	само по себе	4	9
76	свое выражение в	1	8
77	только в том	2	8
78	в целом но	1	8
79	сам по себе	2	8
80	по самой своей	2	8
81	той или иной	3	8
82	не могут быть	2	8
83	в том же	1	8
84	по этому поводу	3	7
85	как раз в	1	7
86	же самое что	2	7
87	вопрос о том	5	7
88	в том виде	3	7
89	по своему значению	2	7
90	в первом случае	2	7
91	и тогда когда	1	6
92	к образованию понятий	1	6
93	то о чем	1	6
94	в обоих случаях	1	6
95	и т.д и	1	6
96	заключает в себе	1	6
97	потому что в	1	6
98	именно потому что	1	6
99	самой своей природе	2	6
100	в лучшем случае	1	6
101	и том же	1	6
102	только то что	1	6
103	одном и том	1	6
104	в том смысле	1	6
105	не что иное	5	6
106	что иное как	5	6
107	мере в какой	6	5
108	приходит к выводу	1	5
109	как если бы	1	5
110	той мере в	6	5
111	что в этом	2	5
112	но все же	4	5
113	так как в	1	5
114	находит свое выражение	1	5
115	того чтобы сделать	1	5
116	в той мере	6	5
117	прежде всего в	1	5
118	том смысле что	1	5
119	таким образом мы	1	5
120	но с точки	1	5
121	в конце концов	2	5
122	в этом пункте	1	5
123	не может не	1	5
124	показывает что в	1	5
125	и в этом	4	5
126	что представляет собой	3	5
127	когда мы говорим	1	5
128	в свое время	3	5
129	в то же	6	5
130	ответ на этот	2	5
131	только потому что	1	5
132	не только в	4	5
133	принять во внимание	2	5
134	представление о том	1	5
135	с полным основанием	1	4
136	влечет за собой	2	4
137	не могут не	2	4
138	виде в каком	1	4
139	не потому что	1	4
140	имеет дело с	2	4
141	не то что	1	4
142	мы имеем дело	1	4
143	но и в	1	4
144	было бы назвать	1	4
145	вопрос о природе	1	4
146	его отношение к	1	4
147	сомнений в том	2	4
148	есть не что	3	4
149	в значительной степени	1	4
150	том виде как	1	4
151	если бы оно	1	4
152	если принять во	1	4
153	связь между отдельными	1	4
154	о чем говорится	3	4
155	не до конца	2	4
156	в гораздо большей	1	4
157	в предисловии к	1	4
158	то увидим что	1	4
159	после того как	2	4
160	заключенного в нем	1	3
161	в применении к	6	3
162	никак не может	1	3
163	чем говорится в	1	3
164	на том что	2	3
165	то ни было	1	3
166	что оно имеет	1	3
167	он мог бы	1	3
168	мы говорим о	1	3
169	хотя бы и	2	3
170	логической точки зрения	1	3
171	и как они	1	3
172	сказать что в	1	3
173	в их развитии	1	3
174	в своих исследованиях	1	3
175	ничего не может	1	3
176	ее отношения к	1	3
177	то же время	6	3
178	но не может	2	3
179	в целом ряде	2	3
180	связи с этим	1	3
181	дело в том	3	3
182	по поводу того	1	3
183	того или иного	1	3
184	мы имеем в	1	3
185	и не могут	2	3
186	из которых каждый	1	3
187	не только как	4	3
188	что обе эти	1	3
189	и в результате	1	3
190	не остается ничего	1	3
191	и со стороны	2	3
192	ответить на этот	1	3
193	но если мы	1	3
194	в известной мере	2	3
195	представить себе что	2	3
196	том виде в	1	3
197	вообще не может	2	3
198	и в конце	1	3
199	совершенно то же	1	3
200	все же в	1	3
201	и потому что	2	3
202	слова таким образом	1	3
203	то положение что	1	3
204	тех или иных	3	3
205	в соответствии с	2	3
206	а потому что	1	3
207	на одно из	1	3
208	бы то ни	1	3
209	теми или иными	1	3
210	внимание на то	1	3
211	в слове но	1	3
212	в значительной мере	2	3
213	та или иная	1	3
214	в большей мере	2	3
215	и в самом	3	3
216	в настоящее время	1	3
217	и что следовательно	2	3
218	в этом ее	1	3
219	того что в	1	3
220	имеем в виду	1	3
221	имеем дело с	1	3
222	потому что они	1	3
223	в той или	1	2
224	в одном и	1	2
225	что идет от	1	2
226	который мог бы	1	2
227	наряду с этим	1	2
228	потому что она	1	2
229	того чтобы понять	3	2
230	в достаточной мере	1	2
231	в частности в	1	2
232	именно в этой	1	2
233	что находится у	1	2
234	если таким образом	2	2
235	чтобы убедиться в	1	2
236	иначе как через	1	2
237	но в этом	1	2
238	то что у	1	2
239	при известных условиях	1	2
240	ни при каких	1	2
241	представляет собой нечто	1	2
242	приводят к тому	1	2
243	значение только в	1	2
244	вопрос о связи	1	2
245	в чем же	3	2
246	не мог не	1	2
247	таким образом по	2	2
248	что не только	1	2
249	может быть в	2	2
250	имеет еще и	1	2
251	один из важнейших	1	2
252	сказать что они	1	2
253	в одном случае	1	2
254	уже и в	1	2
255	точки зрения между	1	2
256	тем или иным	2	2
257	гораздо большей мере	1	2
258	заключенное в нем	1	2
259	что может быть	3	2
260	нельзя не признать	3	2
261	о котором мы	1	2
262	том же направлении	1	2
263	учение о формальной	1	2
264	в тех областях	1	2
265	вовсе не в	2	2
266	из этих двух	1	2
267	нужно было бы	1	2
268	может быть не	1	2
269	сомневаться в том	1	2
270	же в них	1	2
271	того обстоятельства что	1	2
272	не могли не	1	2
273	и обратно в	1	2
274	то что этот	1	2
275	в известной части	1	2
276	дело заключается в	1	2
277	и никогда не	1	2
278	но в силу	1	2
279	по себе не	1	2
280	каждой из этих	1	2
281	точки зрения на	1	2
282	потому что и	1	2
283	было бы с	1	2
284	приходим к выводу	4	2
285	в этих случаях	2	2
286	так как если	1	2
287	тем что в	1	2
288	прийти к выводу	1	2
289	он должен быть	1	2
290	в том отношении	3	2
291	и именно в	3	2
292	здесь как и	1	2
293	так как эта	1	2
294	ту или иную	1	2
295	вообще в этом	1	2
296	в указании на	1	2
297	и вопрос о	1	2
298	что мы можем	1	2
299	самом деле как	2	2
300	зависимости от того	1	2
301	в одном отношении	1	2
302	не только по	1	2
303	как одна из	1	2
304	другой стороны как	1	2
305	точки зрения совершенно	1	2
306	одной из основных	1	2
307	и т.д в	2	2
308	чтобы увидеть что	1	2
309	могут быть названы	2	2
310	на этом пути	1	2
311	каждой из двух	2	2
312	представляет собой еще	1	1
313	выходящее за пределы	1	1
314	но ведь это	1	1
315	в известных пределах	1	1
316	к действительности а	1	1
317	ему не остается	1	1
318	все то что	1	1
319	мы уже знаем	2	1
320	но независимо от	1	1
321	всего того что	1	1
322	все свое значение	1	1
323	том отношении что	3	1
324	из наиболее важных	1	1
325	было бы в	1	1
326	уже в начале	1	1
327	в том или	2	1
328	в заключение нашего	1	1
329	том что если	1	1
330	по вопросу о	1	1
331	понятно что и	1	1
332	если же мы	1	1
333	в прямом смысле	4	1
334	своему значению для	1	1
335	большая или меньшая	1	1
336	говоря уже о	1	1
337	дело не в	1	1
338	представляют собой не	1	1
339	действительности а именно	1	1
